"HomeTeam","AwayTeam","HomeWin","AwayWin","Draw","GameID","AwayWinOT","HomeWinOT"
"San Jose Sharks","Anaheim Ducks",0.368453809246164,0.391849341723966,0.23969684902987,2024020037,0.12411695868464,0.11557989034523
"Boston Bruins","Los Angeles Kings",0.46569546234612,0.287494450500516,0.246810087153363,2024020024,0.11641719653713,0.130392890616233
"Buffalo Sabres","Florida Panthers",0.294732666621713,0.47007787018673,0.235189463191557,2024020025,0.129835971335626,0.105353491855931
"Calgary Flames","Philadelphia Flyers",0.479676278276459,0.291880298551468,0.228443423172073,2024020035,0.107485760099445,0.120957663072628
"Tampa Bay Lightning","Carolina Hurricanes",0.355368145206851,0.411342469200412,0.233289385592738,2024020029,0.12249874022692,0.110790645365817
"Edmonton Oilers","Chicago Blackhawks",0.712179759574258,0.125544562968009,0.162275677457733,2024020036,0.0635638723169497,0.098711805140783
"Colorado Avalanche","Columbus Blue Jackets",0.658628481029872,0.176724803070374,0.164646715899754,2024020034,0.0679969782735607,0.0966497376261932
"Dallas Stars","New York Islanders",0.513350094711582,0.256578232181067,0.230071673107351,2024020032,0.104675957243536,0.125395715863815
"Detroit Red Wings","Nashville Predators",0.365598318551654,0.40486861052389,0.229533070924456,2024020028,0.119653807270088,0.109879263654367
"Minnesota Wild","Seattle Kraken",0.418038247638184,0.332646368826586,0.24931538353523,2024020033,0.122882012623808,0.126433370911422
"Montreal Canadiens","Ottawa Senators",0.357136909871547,0.419019646806477,0.223843443321976,2024020027,0.117798367502096,0.10604507581988
"Washington Capitals","New Jersey Devils",0.365160348212802,0.400352515127079,0.234487136660119,2024020031,0.122034180900024,0.112452955760095
"New York Rangers","Utah Hockey Club",0.586397946375888,0.210865946212375,0.202736107411737,2024020030,0.0874295448598518,0.115306562551886
"Toronto Maple Leafs","Pittsburgh Penguins",0.492992281228733,0.289761375508626,0.217246343262641,2024020026,0.10160889919906,0.115637444063581
