"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1976-04-09","Cleveland Crusaders","3","New England Whalers","5","","","",""
"2","1976-04-09","San Diego Mariners","2","Phoenix Roadrunners","3","OT","","",""
"3","1976-04-09","Edmonton Oilers","3","Winnipeg Jets","7","","","",""
"4","1976-04-10","New England Whalers","6","Cleveland Crusaders","1","","","",""
"5","1976-04-10","Calgary Cowboys","3","Quebec Nordiques","1","","","",""
"6","1976-04-10","Phoenix Roadrunners","2","San Diego Mariners","4","","","",""
"7","1976-04-11","New England Whalers","3","Cleveland Crusaders","2","","","",""
"8","1976-04-11","Calgary Cowboys","8","Quebec Nordiques","4","","","",""
"9","1976-04-11","Edmonton Oilers","4","Winnipeg Jets","5","OT","","",""
"10","1976-04-13","San Diego Mariners","4","Phoenix Roadrunners","6","","","",""
"11","1976-04-14","Quebec Nordiques","2","Calgary Cowboys","3","","","",""
"12","1976-04-14","Winnipeg Jets","3","Edmonton Oilers","2","","","",""
"13","1976-04-15","Phoenix Roadrunners","1","San Diego Mariners","5","","","",""
"14","1976-04-16","Quebec Nordiques","4","Calgary Cowboys","3","","","",""
"15","1976-04-16","Winnipeg Jets","7","Edmonton Oilers","2","","","",""
"16","1976-04-16","New England Whalers","4","Indianapolis Racers","1","","","",""
"17","1976-04-17","New England Whalers","0","Indianapolis Racers","4","","","",""
"18","1976-04-17","San Diego Mariners","2","Phoenix Roadrunners","1","","","",""
"19","1976-04-18","Calgary Cowboys","6","Quebec Nordiques","4","","","",""
"20","1976-04-21","San Diego Mariners","6","Houston Aeros","8","","","",""
"21","1976-04-21","Indianapolis Racers","0","New England Whalers","3","","","",""
"22","1976-04-23","San Diego Mariners","1","Houston Aeros","3","","","",""
"23","1976-04-23","Indianapolis Racers","1","New England Whalers","2","","","",""
"24","1976-04-23","Calgary Cowboys","1","Winnipeg Jets","6","","","",""
"25","1976-04-24","New England Whalers","0","Indianapolis Racers","4","","","",""
"26","1976-04-25","Houston Aeros","8","San Diego Mariners","4","","","",""
"27","1976-04-25","Calgary Cowboys","2","Winnipeg Jets","3","","","",""
"28","1976-04-27","Indianapolis Racers","5","New England Whalers","3","","","",""
"29","1976-04-27","Houston Aeros","2","San Diego Mariners","3","","","",""
"30","1976-04-28","Winnipeg Jets","6","Calgary Cowboys","3","","","",""
"31","1976-04-28","San Diego Mariners","3","Houston Aeros","2","","","",""
"32","1976-04-29","New England Whalers","6","Indianapolis Racers","0","","","",""
"33","1976-04-30","Winnipeg Jets","3","Calgary Cowboys","7","","","",""
"34","1976-04-30","Houston Aeros","3","San Diego Mariners","2","","","",""
"35","1976-05-02","Calgary Cowboys","0","Winnipeg Jets","4","","","",""
"36","1976-05-05","New England Whalers","4","Houston Aeros","2","","","",""
"37","1976-05-07","New England Whalers","2","Houston Aeros","5","","","",""
"38","1976-05-09","Houston Aeros","1","New England Whalers","4","","","",""
"39","1976-05-11","Houston Aeros","4","New England Whalers","3","","","",""
"40","1976-05-13","New England Whalers","2","Houston Aeros","4","","","",""
"41","1976-05-15","Houston Aeros","1","New England Whalers","6","","","",""
"42","1976-05-16","New England Whalers","0","Houston Aeros","2","","","",""
"43","1976-05-20","Winnipeg Jets","4","Houston Aeros","3","","","",""
"44","1976-05-23","Winnipeg Jets","5","Houston Aeros","4","","","",""
"45","1976-05-25","Houston Aeros","3","Winnipeg Jets","6","","","",""
"46","1976-05-27","Houston Aeros","1","Winnipeg Jets","9","","","",""
