"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1941-11-01","Detroit Red Wings","3","Montreal Canadiens","2","","","",""
"2","1941-11-01","New York Rangers","4","Toronto Maple Leafs","3","","","",""
"3","1941-11-02","Brooklyn Americans","3","Detroit Red Wings","3","OT","","",""
"4","1941-11-06","Brooklyn Americans","0","Chicago Black Hawks","1","","","",""
"5","1941-11-08","Chicago Black Hawks","2","Montreal Canadiens","2","OT","","",""
"6","1941-11-08","Boston Bruins","0","Toronto Maple Leafs","2","","","",""
"7","1941-11-09","New York Rangers","3","Detroit Red Wings","1","","","",""
"8","1941-11-13","Chicago Black Hawks","2","Brooklyn Americans","1","","","",""
"9","1941-11-13","Montreal Canadiens","2","Toronto Maple Leafs","4","","","",""
"10","1941-11-15","Brooklyn Americans","4","Montreal Canadiens","2","OT","","",""
"11","1941-11-15","Boston Bruins","2","New York Rangers","1","","","",""
"12","1941-11-15","Detroit Red Wings","1","Toronto Maple Leafs","2","","","",""
"13","1941-11-16","New York Rangers","1","Boston Bruins","2","","","",""
"14","1941-11-16","Montreal Canadiens","2","Brooklyn Americans","3","","","",""
"15","1941-11-16","Detroit Red Wings","2","Chicago Black Hawks","3","","","",""
"16","1941-11-18","Brooklyn Americans","2","Boston Bruins","7","","","",""
"17","1941-11-18","Toronto Maple Leafs","8","New York Rangers","6","","","",""
"18","1941-11-20","Boston Bruins","2","Chicago Black Hawks","3","","","",""
"19","1941-11-20","Toronto Maple Leafs","4","Detroit Red Wings","3","OT","","",""
"20","1941-11-20","Brooklyn Americans","4","New York Rangers","1","","","",""
"21","1941-11-22","Detroit Red Wings","2","Brooklyn Americans","1","","","",""
"22","1941-11-22","New York Rangers","7","Montreal Canadiens","2","","","",""
"23","1941-11-22","Chicago Black Hawks","0","Toronto Maple Leafs","3","","","",""
"24","1941-11-23","Toronto Maple Leafs","2","Chicago Black Hawks","3","","","",""
"25","1941-11-23","Boston Bruins","4","Detroit Red Wings","2","","","",""
"26","1941-11-23","Montreal Canadiens","6","New York Rangers","4","","","",""
"27","1941-11-25","Detroit Red Wings","1","Boston Bruins","7","","","",""
"28","1941-11-25","Chicago Black Hawks","4","New York Rangers","5","OT","","",""
"29","1941-11-27","Boston Bruins","6","Brooklyn Americans","2","OT","","",""
"30","1941-11-27","Chicago Black Hawks","1","Detroit Red Wings","4","","","",""
"31","1941-11-29","Boston Bruins","3","Montreal Canadiens","1","","","",""
"32","1941-11-29","Detroit Red Wings","1","New York Rangers","4","","","",""
"33","1941-11-29","Brooklyn Americans","2","Toronto Maple Leafs","8","","","",""
"34","1941-11-30","Montreal Canadiens","2","Boston Bruins","3","","","",""
"35","1941-11-30","Toronto Maple Leafs","5","Brooklyn Americans","1","","","",""
"36","1941-11-30","New York Rangers","5","Chicago Black Hawks","1","","","",""
"37","1941-12-02","Toronto Maple Leafs","1","Boston Bruins","3","OT","","",""
"38","1941-12-04","Montreal Canadiens","2","Chicago Black Hawks","9","","","",""
"39","1941-12-04","Brooklyn Americans","3","Detroit Red Wings","4","","","",""
"40","1941-12-06","Montreal Canadiens","1","Toronto Maple Leafs","3","","","",""
"41","1941-12-07","Brooklyn Americans","4","Chicago Black Hawks","5","","","",""
"42","1941-12-07","Montreal Canadiens","2","Detroit Red Wings","3","","","",""
"43","1941-12-07","Boston Bruins","4","New York Rangers","5","","","",""
"44","1941-12-09","Chicago Black Hawks","2","Boston Bruins","2","OT","","",""
"45","1941-12-11","New York Rangers","5","Brooklyn Americans","3","","","",""
"46","1941-12-11","Toronto Maple Leafs","1","Montreal Canadiens","2","OT","","",""
"47","1941-12-13","Brooklyn Americans","2","Montreal Canadiens","3","OT","","",""
"48","1941-12-13","New York Rangers","1","Toronto Maple Leafs","2","","","",""
"49","1941-12-14","Montreal Canadiens","4","Brooklyn Americans","2","","","",""
"50","1941-12-14","Boston Bruins","3","Chicago Black Hawks","3","OT","","",""
"51","1941-12-14","Toronto Maple Leafs","4","Detroit Red Wings","0","","","",""
"52","1941-12-16","Montreal Canadiens","0","Boston Bruins","4","","","",""
"53","1941-12-16","Brooklyn Americans","2","New York Rangers","3","OT","","",""
"54","1941-12-18","Detroit Red Wings","3","Brooklyn Americans","4","OT","","",""
"55","1941-12-18","New York Rangers","1","Chicago Black Hawks","5","","","",""
"56","1941-12-20","Boston Bruins","4","Montreal Canadiens","2","OT","","",""
"57","1941-12-20","Chicago Black Hawks","2","Toronto Maple Leafs","0","","","",""
"58","1941-12-21","Toronto Maple Leafs","3","Chicago Black Hawks","0","","","",""
"59","1941-12-21","Boston Bruins","2","Detroit Red Wings","2","OT","","",""
"60","1941-12-21","Montreal Canadiens","3","New York Rangers","4","OT","","",""
"61","1941-12-23","New York Rangers","2","Boston Bruins","3","","","",""
"62","1941-12-23","Chicago Black Hawks","3","Brooklyn Americans","4","","","",""
"63","1941-12-25","Brooklyn Americans","2","Detroit Red Wings","3","OT","","",""
"64","1941-12-25","Chicago Black Hawks","2","New York Rangers","5","","","",""
"65","1941-12-25","Boston Bruins","0","Toronto Maple Leafs","2","","","",""
"66","1941-12-27","New York Rangers","4","Montreal Canadiens","2","","","",""
"67","1941-12-27","Detroit Red Wings","3","Toronto Maple Leafs","5","","","",""
"68","1941-12-28","Toronto Maple Leafs","1","Brooklyn Americans","2","","","",""
"69","1941-12-28","New York Rangers","3","Detroit Red Wings","1","","","",""
"70","1941-12-30","Toronto Maple Leafs","1","Boston Bruins","4","","","",""
"71","1941-12-30","Chicago Black Hawks","3","Montreal Canadiens","5","","","",""
"72","1941-12-31","New York Rangers","4","Brooklyn Americans","3","","","",""
"73","1942-01-01","Brooklyn Americans","4","Boston Bruins","5","","","",""
"74","1942-01-01","Detroit Red Wings","3","Chicago Black Hawks","0","","","",""
"75","1942-01-01","Toronto Maple Leafs","3","New York Rangers","3","OT","","",""
"76","1942-01-03","Detroit Red Wings","1","Montreal Canadiens","4","","","",""
"77","1942-01-03","Brooklyn Americans","2","Toronto Maple Leafs","4","","","",""
"78","1942-01-04","Boston Bruins","2","Brooklyn Americans","3","","","",""
"79","1942-01-04","Montreal Canadiens","0","Detroit Red Wings","10","","","",""
"80","1942-01-06","Chicago Black Hawks","2","Boston Bruins","3","","","",""
"81","1942-01-06","Detroit Red Wings","2","New York Rangers","3","","","",""
"82","1942-01-08","Montreal Canadiens","1","Chicago Black Hawks","5","","","",""
"83","1942-01-09","Detroit Red Wings","4","Brooklyn Americans","5","","","",""
"84","1942-01-10","Brooklyn Americans","2","Montreal Canadiens","0","","","",""
"85","1942-01-10","Detroit Red Wings","6","Toronto Maple Leafs","4","","","",""
"86","1942-01-11","Montreal Canadiens","2","Brooklyn Americans","0","","","",""
"87","1942-01-11","Detroit Red Wings","5","Chicago Black Hawks","6","","","",""
"88","1942-01-13","Detroit Red Wings","1","Boston Bruins","2","","","",""
"89","1942-01-13","Brooklyn Americans","2","New York Rangers","9","","","",""
"90","1942-01-15","Chicago Black Hawks","7","Brooklyn Americans","4","","","",""
"91","1942-01-15","Toronto Maple Leafs","3","Montreal Canadiens","2","OT","","",""
