"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1925-11-26","Pittsburgh Pirates","2","Boston Bruins","1","","","",""
"2","1925-11-28","Pittsburgh Pirates","1","Montreal Canadiens","0","","","",""
"3","1925-11-28","Montreal Maroons","2","Ottawa Senators","3","","","",""
"4","1925-11-28","Boston Bruins","3","Toronto St. Patricks","2","","","",""
"5","1925-12-01","Montreal Canadiens","3","Boston Bruins","2","","","",""
"6","1925-12-01","Toronto St. Patricks","2","Montreal Maroons","4","","","",""
"7","1925-12-02","New York Americans","2","Pittsburgh Pirates","1","OT","","",""
"8","1925-12-03","Montreal Maroons","3","Montreal Canadiens","2","","","",""
"9","1925-12-03","Boston Bruins","0","Ottawa Senators","2","","","",""
"10","1925-12-05","Boston Bruins","0","Montreal Maroons","4","","","",""
"11","1925-12-05","Pittsburgh Pirates","0","Ottawa Senators","1","","","",""
"12","1925-12-05","New York Americans","3","Toronto St. Patricks","5","","","",""
"13","1925-12-08","Montreal Maroons","2","Boston Bruins","3","","","",""
"14","1925-12-08","New York Americans","6","Montreal Canadiens","2","","","",""
"15","1925-12-09","Toronto St. Patricks","3","Pittsburgh Pirates","6","","","",""
"16","1925-12-10","New York Americans","0","Ottawa Senators","3","","","",""
"17","1925-12-11","Boston Bruins","3","Pittsburgh Pirates","5","","","",""
"18","1925-12-12","Ottawa Senators","2","Montreal Maroons","5","","","",""
"19","1925-12-12","Montreal Canadiens","0","Toronto St. Patricks","4","","","",""
"20","1925-12-15","Ottawa Senators","2","Boston Bruins","1","","","",""
"21","1925-12-15","Montreal Canadiens","3","New York Americans","1","","","",""
"22","1925-12-16","Montreal Maroons","4","Pittsburgh Pirates","2","","","",""
"23","1925-12-17","Montreal Canadiens","0","Ottawa Senators","3","","","",""
"24","1925-12-18","New York Americans","2","Pittsburgh Pirates","3","","","",""
"25","1925-12-19","Boston Bruins","5","Montreal Canadiens","6","OT","","",""
"26","1925-12-19","Montreal Maroons","4","New York Americans","1","","","",""
"27","1925-12-19","Pittsburgh Pirates","1","Toronto St. Patricks","1","OT","","",""
"28","1925-12-22","New York Americans","3","Boston Bruins","2","","","",""
"29","1925-12-23","Pittsburgh Pirates","0","Montreal Maroons","1","OT","","",""
"30","1925-12-23","Toronto St. Patricks","2","Ottawa Senators","4","","","",""
"31","1925-12-26","Ottawa Senators","3","Montreal Canadiens","0","","","",""
"32","1925-12-26","Pittsburgh Pirates","1","New York Americans","3","","","",""
"33","1925-12-26","Montreal Maroons","2","Toronto St. Patricks","0","","","",""
"34","1925-12-29","Toronto St. Patricks","0","Boston Bruins","3","","","",""
"35","1925-12-30","Montreal Canadiens","7","Montreal Maroons","4","","","",""
"36","1925-12-30","Toronto St. Patricks","1","New York Americans","2","OT","","",""
"37","1925-12-30","Ottawa Senators","5","Pittsburgh Pirates","0","","","",""
"38","1926-01-01","Montreal Canadiens","2","Pittsburgh Pirates","1","","","",""
"39","1926-01-01","Ottawa Senators","0","Toronto St. Patricks","3","","","",""
"40","1926-01-02","New York Americans","2","Montreal Maroons","3","OT","","",""
"41","1926-01-05","Pittsburgh Pirates","0","Boston Bruins","3","","","",""
