"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1936-03-24","Toronto Maple Leafs","0","Boston Bruins","3","","","",""
"2","1936-03-24","Detroit Red Wings","1","Montreal Maroons","0","6OT","","",""
"3","1936-03-24","Chicago Black Hawks","0","New York Americans","3","","","",""
"4","1936-03-26","New York Americans","4","Chicago Black Hawks","5","","","",""
"5","1936-03-26","Detroit Red Wings","3","Montreal Maroons","0","","","",""
"6","1936-03-26","Boston Bruins","3","Toronto Maple Leafs","8","","","",""
"7","1936-03-28","Montreal Maroons","1","Detroit Red Wings","2","","","",""
"8","1936-03-28","New York Americans","1","Toronto Maple Leafs","3","","","",""
"9","1936-03-31","Toronto Maple Leafs","0","New York Americans","1","","","",""
"10","1936-04-02","New York Americans","1","Toronto Maple Leafs","3","","","",""
"11","1936-04-05","Toronto Maple Leafs","1","Detroit Red Wings","3","","","",""
"12","1936-04-07","Toronto Maple Leafs","4","Detroit Red Wings","9","","","",""
"13","1936-04-09","Detroit Red Wings","3","Toronto Maple Leafs","4","OT","","",""
"14","1936-04-11","Detroit Red Wings","3","Toronto Maple Leafs","2","","","",""
