"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1964-10-12","New York Rangers","6","Boston Bruins","2","","","",""
"2","1964-10-13","Montreal Canadiens","3","New York Rangers","0","","","",""
"3","1964-10-14","Boston Bruins","0","Chicago Black Hawks","3","","","",""
"4","1964-10-15","Toronto Maple Leafs","5","Detroit Red Wings","3","","","",""
"5","1964-10-17","Detroit Red Wings","2","Chicago Black Hawks","4","","","",""
"6","1964-10-17","New York Rangers","2","Montreal Canadiens","2","","","",""
"7","1964-10-17","Boston Bruins","2","Toronto Maple Leafs","7","","","",""
"8","1964-10-18","Montreal Canadiens","3","Boston Bruins","1","","","",""
"9","1964-10-18","Chicago Black Hawks","2","Detroit Red Wings","3","","","",""
"10","1964-10-18","Toronto Maple Leafs","3","New York Rangers","3","","","",""
"11","1964-10-21","Chicago Black Hawks","5","Montreal Canadiens","5","","","",""
"12","1964-10-21","Detroit Red Wings","1","New York Rangers","0","","","",""
"13","1964-10-22","Toronto Maple Leafs","2","Boston Bruins","2","","","",""
"14","1964-10-24","Detroit Red Wings","1","Montreal Canadiens","1","","","",""
"15","1964-10-24","New York Rangers","1","Toronto Maple Leafs","1","","","",""
"16","1964-10-25","Detroit Red Wings","4","Boston Bruins","0","","","",""
"17","1964-10-25","Chicago Black Hawks","5","New York Rangers","2","","","",""
"18","1964-10-27","Toronto Maple Leafs","3","Chicago Black Hawks","2","","","",""
"19","1964-10-28","Boston Bruins","1","New York Rangers","3","","","",""
"20","1964-10-28","Montreal Canadiens","5","Toronto Maple Leafs","2","","","",""
"21","1964-10-29","Boston Bruins","0","Detroit Red Wings","2","","","",""
"22","1964-10-31","Boston Bruins","2","Montreal Canadiens","6","","","",""
"23","1964-10-31","Chicago Black Hawks","1","Toronto Maple Leafs","5","","","",""
"24","1964-11-01","Chicago Black Hawks","2","Boston Bruins","5","","","",""
"25","1964-11-01","Toronto Maple Leafs","2","Detroit Red Wings","4","","","",""
"26","1964-11-01","Montreal Canadiens","1","New York Rangers","3","","","",""
"27","1964-11-03","New York Rangers","1","Chicago Black Hawks","2","","","",""
"28","1964-11-05","New York Rangers","1","Detroit Red Wings","3","","","",""
"29","1964-11-05","Toronto Maple Leafs","2","Montreal Canadiens","2","","","",""
"30","1964-11-07","Chicago Black Hawks","3","Montreal Canadiens","1","","","",""
"31","1964-11-07","New York Rangers","1","Toronto Maple Leafs","0","","","",""
"32","1964-11-08","Chicago Black Hawks","2","Boston Bruins","3","","","",""
"33","1964-11-08","Montreal Canadiens","1","Detroit Red Wings","2","","","",""
"34","1964-11-10","Detroit Red Wings","3","Boston Bruins","3","","","",""
"35","1964-11-11","Montreal Canadiens","4","Chicago Black Hawks","1","","","",""
"36","1964-11-11","Boston Bruins","2","New York Rangers","4","","","",""
"37","1964-11-11","Detroit Red Wings","1","Toronto Maple Leafs","3","","","",""
"38","1964-11-14","Detroit Red Wings","2","Montreal Canadiens","4","","","",""
"39","1964-11-14","Boston Bruins","3","Toronto Maple Leafs","1","","","",""
"40","1964-11-15","Montreal Canadiens","2","Boston Bruins","2","","","",""
"41","1964-11-15","Toronto Maple Leafs","2","Chicago Black Hawks","4","","","",""
"42","1964-11-15","Detroit Red Wings","6","New York Rangers","2","","","",""
"43","1964-11-17","New York Rangers","2","Detroit Red Wings","1","","","",""
"44","1964-11-18","Detroit Red Wings","1","Chicago Black Hawks","3","","","",""
"45","1964-11-18","Montreal Canadiens","1","Toronto Maple Leafs","3","","","",""
"46","1964-11-21","Detroit Red Wings","3","Boston Bruins","1","","","",""
"47","1964-11-21","Chicago Black Hawks","0","Toronto Maple Leafs","1","","","",""
"48","1964-11-22","Toronto Maple Leafs","3","Boston Bruins","1","","","",""
"49","1964-11-22","Montreal Canadiens","2","Chicago Black Hawks","6","","","",""
"50","1964-11-22","Detroit Red Wings","3","New York Rangers","3","","","",""
"51","1964-11-25","Toronto Maple Leafs","3","New York Rangers","6","","","",""
"52","1964-11-26","New York Rangers","1","Boston Bruins","6","","","",""
"53","1964-11-26","Toronto Maple Leafs","4","Chicago Black Hawks","2","","","",""
"54","1964-11-26","Montreal Canadiens","1","Detroit Red Wings","3","","","",""
"55","1964-11-28","Boston Bruins","1","Montreal Canadiens","2","","","",""
"56","1964-11-28","New York Rangers","4","Toronto Maple Leafs","1","","","",""
"57","1964-11-29","Boston Bruins","4","Chicago Black Hawks","3","","","",""
"58","1964-11-29","Toronto Maple Leafs","1","Detroit Red Wings","1","","","",""
"59","1964-11-29","Montreal Canadiens","5","New York Rangers","2","","","",""
"60","1964-12-02","Chicago Black Hawks","3","New York Rangers","3","","","",""
"61","1964-12-03","Boston Bruins","2","Detroit Red Wings","4","","","",""
"62","1964-12-03","Toronto Maple Leafs","2","Montreal Canadiens","4","","","",""
"63","1964-12-05","New York Rangers","3","Boston Bruins","3","","","",""
"64","1964-12-05","Chicago Black Hawks","3","Montreal Canadiens","5","","","",""
"65","1964-12-05","Detroit Red Wings","2","Toronto Maple Leafs","10","","","",""
"66","1964-12-06","New York Rangers","4","Chicago Black Hawks","1","","","",""
"67","1964-12-06","Montreal Canadiens","1","Detroit Red Wings","4","","","",""
"68","1964-12-09","Chicago Black Hawks","6","New York Rangers","1","","","",""
"69","1964-12-09","Montreal Canadiens","3","Toronto Maple Leafs","2","","","",""
"70","1964-12-10","Chicago Black Hawks","5","Boston Bruins","1","","","",""
"71","1964-12-12","Chicago Black Hawks","3","Detroit Red Wings","2","","","",""
"72","1964-12-12","New York Rangers","1","Montreal Canadiens","7","","","",""
"73","1964-12-12","Boston Bruins","3","Toronto Maple Leafs","6","","","",""
"74","1964-12-13","Montreal Canadiens","5","Boston Bruins","4","","","",""
"75","1964-12-13","Detroit Red Wings","0","Chicago Black Hawks","5","","","",""
"76","1964-12-13","Toronto Maple Leafs","3","New York Rangers","3","","","",""
