"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1939-11-02","Detroit Red Wings","2","Chicago Black Hawks","3","","","",""
"2","1939-11-04","Boston Bruins","0","Toronto Maple Leafs","5","","","",""
"3","1939-11-05","New York Rangers","1","Detroit Red Wings","1","OT","","",""
"4","1939-11-05","Chicago Black Hawks","2","Montreal Canadiens","8","","","",""
"5","1939-11-09","New York Americans","0","Montreal Canadiens","2","","","",""
"6","1939-11-11","New York Rangers","1","Toronto Maple Leafs","1","OT","","",""
"7","1939-11-12","New York Americans","1","Chicago Black Hawks","2","","","",""
"8","1939-11-12","Boston Bruins","1","Detroit Red Wings","2","","","",""
"9","1939-11-12","Toronto Maple Leafs","1","New York Rangers","0","","","",""
"10","1939-11-14","Chicago Black Hawks","1","Boston Bruins","3","OT","","",""
"11","1939-11-14","Detroit Red Wings","4","New York Americans","2","","","",""
"12","1939-11-16","Boston Bruins","3","Montreal Canadiens","3","OT","","",""
"13","1939-11-16","Chicago Black Hawks","3","New York Rangers","2","","","",""
"14","1939-11-18","New York Rangers","3","New York Americans","1","","","",""
"15","1939-11-18","Detroit Red Wings","0","Toronto Maple Leafs","3","","","",""
"16","1939-11-19","Boston Bruins","2","Chicago Black Hawks","0","","","",""
"17","1939-11-19","Toronto Maple Leafs","7","Detroit Red Wings","1","","","",""
"18","1939-11-19","Montreal Canadiens","2","New York Rangers","1","OT","","",""
"19","1939-11-21","Montreal Canadiens","2","Boston Bruins","1","","","",""
"20","1939-11-23","New York Americans","2","Detroit Red Wings","3","","","",""
"21","1939-11-23","New York Rangers","1","Montreal Canadiens","1","OT","","",""
"22","1939-11-25","Detroit Red Wings","6","Montreal Canadiens","4","","","",""
"23","1939-11-25","New York Americans","3","Toronto Maple Leafs","4","","","",""
"24","1939-11-26","New York Rangers","2","Boston Bruins","2","OT","","",""
"25","1939-11-26","Chicago Black Hawks","4","Detroit Red Wings","2","OT","","",""
"26","1939-11-26","Toronto Maple Leafs","1","New York Americans","2","OT","","",""
"27","1939-11-28","Toronto Maple Leafs","2","Boston Bruins","6","","","",""
"28","1939-11-28","Detroit Red Wings","1","New York Rangers","4","","","",""
"29","1939-11-30","New York Rangers","7","Chicago Black Hawks","2","","","",""
"30","1939-11-30","Montreal Canadiens","2","New York Americans","5","","","",""
"31","1939-12-02","New York Americans","1","New York Rangers","1","OT","","",""
"32","1939-12-02","Chicago Black Hawks","3","Toronto Maple Leafs","3","OT","","",""
"33","1939-12-03","Toronto Maple Leafs","3","Chicago Black Hawks","1","OT","","",""
"34","1939-12-03","Montreal Canadiens","3","Detroit Red Wings","0","","","",""
