"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1979-04-10","Toronto Maple Leafs","2","Atlanta Flames","1","","","",""
"2","1979-04-10","Pittsburgh Penguins","4","Buffalo Sabres","3","","","",""
"3","1979-04-10","Los Angeles Kings","1","New York Rangers","7","","","",""
"4","1979-04-10","Vancouver Canucks","3","Philadelphia Flyers","2","","","",""
"5","1979-04-12","New York Rangers","2","Los Angeles Kings","1","OT","","",""
"6","1979-04-12","Buffalo Sabres","3","Pittsburgh Penguins","1","","","",""
"7","1979-04-12","Atlanta Flames","4","Toronto Maple Leafs","7","","","",""
"8","1979-04-12","Philadelphia Flyers","6","Vancouver Canucks","4","","","",""
"9","1979-04-14","Pittsburgh Penguins","4","Buffalo Sabres","3","OT","","",""
"10","1979-04-14","Vancouver Canucks","2","Philadelphia Flyers","7","","","",""
"11","1979-04-16","Pittsburgh Penguins","2","Boston Bruins","6","","","",""
"12","1979-04-16","Toronto Maple Leafs","2","Montreal Canadiens","5","","","",""
"13","1979-04-16","Chicago Black Hawks","2","New York Islanders","6","","","",""
"14","1979-04-16","New York Rangers","2","Philadelphia Flyers","3","OT","","",""
"15","1979-04-18","Pittsburgh Penguins","3","Boston Bruins","4","","","",""
"16","1979-04-18","Toronto Maple Leafs","1","Montreal Canadiens","5","","","",""
"17","1979-04-18","Chicago Black Hawks","0","New York Islanders","1","OT","","",""
"18","1979-04-18","New York Rangers","7","Philadelphia Flyers","1","","","",""
"19","1979-04-20","New York Islanders","4","Chicago Black Hawks","0","","","",""
"20","1979-04-20","Philadelphia Flyers","1","New York Rangers","5","","","",""
"21","1979-04-21","Boston Bruins","2","Pittsburgh Penguins","1","","","",""
"22","1979-04-21","Montreal Canadiens","4","Toronto Maple Leafs","3","2OT","","",""
"23","1979-04-22","New York Islanders","3","Chicago Black Hawks","1","","","",""
"24","1979-04-22","Philadelphia Flyers","0","New York Rangers","6","","","",""
"25","1979-04-22","Boston Bruins","4","Pittsburgh Penguins","1","","","",""
"26","1979-04-22","Montreal Canadiens","5","Toronto Maple Leafs","4","OT","","",""
"27","1979-04-24","New York Rangers","8","Philadelphia Flyers","3","","","",""
"28","1979-04-26","Boston Bruins","2","Montreal Canadiens","4","","","",""
"29","1979-04-26","New York Rangers","4","New York Islanders","1","","","",""
"30","1979-04-28","Boston Bruins","2","Montreal Canadiens","5","","","",""
"31","1979-04-28","New York Rangers","3","New York Islanders","4","OT","","",""
"32","1979-05-01","Montreal Canadiens","1","Boston Bruins","2","","","",""
"33","1979-05-01","New York Islanders","1","New York Rangers","3","","","",""
"34","1979-05-03","Montreal Canadiens","3","Boston Bruins","4","OT","","",""
"35","1979-05-03","New York Islanders","3","New York Rangers","2","OT","","",""
"36","1979-05-05","Boston Bruins","1","Montreal Canadiens","5","","","",""
"37","1979-05-05","New York Rangers","4","New York Islanders","3","","","",""
"38","1979-05-08","Montreal Canadiens","2","Boston Bruins","5","","","",""
"39","1979-05-08","New York Islanders","1","New York Rangers","2","","","",""
"40","1979-05-10","Boston Bruins","4","Montreal Canadiens","5","OT","","",""
"41","1979-05-13","New York Rangers","4","Montreal Canadiens","1","","","",""
"42","1979-05-15","New York Rangers","2","Montreal Canadiens","6","","","",""
"43","1979-05-17","Montreal Canadiens","4","New York Rangers","1","","","",""
"44","1979-05-19","Montreal Canadiens","4","New York Rangers","3","OT","","",""
"45","1979-05-21","New York Rangers","1","Montreal Canadiens","4","","","",""
