"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1944-10-28","Boston Bruins","2","Montreal Canadiens","3","","","",""
"2","1944-10-28","New York Rangers","1","Toronto Maple Leafs","2","","","",""
"3","1944-10-29","Toronto Maple Leafs","11","Chicago Black Hawks","5","","","",""
"4","1944-10-29","Boston Bruins","1","Detroit Red Wings","7","","","",""
"5","1944-11-01","New York Rangers","3","Chicago Black Hawks","8","","","",""
"6","1944-11-02","New York Rangers","3","Detroit Red Wings","10","","","",""
"7","1944-11-02","Toronto Maple Leafs","4","Montreal Canadiens","1","","","",""
"8","1944-11-04","Detroit Red Wings","2","Montreal Canadiens","3","","","",""
"9","1944-11-04","Boston Bruins","2","Toronto Maple Leafs","7","","","",""
"10","1944-11-05","Boston Bruins","6","Chicago Black Hawks","3","","","",""
"11","1944-11-05","Montreal Canadiens","3","Detroit Red Wings","2","","","",""
"12","1944-11-09","Chicago Black Hawks","2","Montreal Canadiens","9","","","",""
"13","1944-11-09","Toronto Maple Leafs","6","New York Rangers","3","","","",""
"14","1944-11-11","Detroit Red Wings","2","New York Rangers","5","","","",""
"15","1944-11-11","Montreal Canadiens","1","Toronto Maple Leafs","3","","","",""
"16","1944-11-12","Montreal Canadiens","4","Chicago Black Hawks","2","","","",""
"17","1944-11-12","Toronto Maple Leafs","2","Detroit Red Wings","4","","","",""
"18","1944-11-12","Boston Bruins","5","New York Rangers","5","","","",""
"19","1944-11-14","Chicago Black Hawks","5","Boston Bruins","7","","","",""
"20","1944-11-15","Detroit Red Wings","8","Toronto Maple Leafs","4","","","",""
"21","1944-11-18","Boston Bruins","3","Montreal Canadiens","6","","","",""
"22","1944-11-18","Detroit Red Wings","2","New York Rangers","2","","","",""
"23","1944-11-18","Chicago Black Hawks","4","Toronto Maple Leafs","5","","","",""
"24","1944-11-19","Toronto Maple Leafs","4","Chicago Black Hawks","3","","","",""
"25","1944-11-19","Boston Bruins","3","Detroit Red Wings","4","","","",""
"26","1944-11-19","Montreal Canadiens","6","New York Rangers","2","","","",""
"27","1944-11-21","Montreal Canadiens","4","Boston Bruins","1","","","",""
"28","1944-11-23","Toronto Maple Leafs","1","Boston Bruins","5","","","",""
"29","1944-11-23","New York Rangers","4","Chicago Black Hawks","4","","","",""
"30","1944-11-23","Montreal Canadiens","3","Detroit Red Wings","3","","","",""
"31","1944-11-25","Chicago Black Hawks","4","Detroit Red Wings","7","","","",""
"32","1944-11-25","Montreal Canadiens","0","Toronto Maple Leafs","2","","","",""
"33","1944-11-26","New York Rangers","4","Boston Bruins","8","","","",""
"34","1944-11-26","Detroit Red Wings","5","Chicago Black Hawks","6","","","",""
"35","1944-11-26","Toronto Maple Leafs","1","Montreal Canadiens","4","","","",""
"36","1944-11-29","Detroit Red Wings","6","Boston Bruins","3","","","",""
"37","1944-11-30","Boston Bruins","7","Chicago Black Hawks","2","","","",""
"38","1944-11-30","New York Rangers","7","Montreal Canadiens","5","","","",""
"39","1944-12-02","New York Rangers","3","Toronto Maple Leafs","4","","","",""
"40","1944-12-03","Toronto Maple Leafs","4","Boston Bruins","5","","","",""
"41","1944-12-03","Montreal Canadiens","2","Chicago Black Hawks","1","","","",""
"42","1944-12-05","Montreal Canadiens","4","Boston Bruins","1","","","",""
"43","1944-12-07","Detroit Red Wings","3","New York Rangers","2","","","",""
"44","1944-12-09","Boston Bruins","5","Toronto Maple Leafs","3","","","",""
"45","1944-12-10","Boston Bruins","6","Detroit Red Wings","7","","","",""
"46","1944-12-10","Chicago Black Hawks","1","New York Rangers","1","","","",""
"47","1944-12-12","New York Rangers","5","Boston Bruins","7","","","",""
"48","1944-12-14","Toronto Maple Leafs","2","Montreal Canadiens","2","","","",""
"49","1944-12-16","Boston Bruins","5","Montreal Canadiens","8","","","",""
"50","1944-12-16","Detroit Red Wings","1","Toronto Maple Leafs","1","","","",""
"51","1944-12-17","Detroit Red Wings","1","Chicago Black Hawks","2","","","",""
"52","1944-12-17","Montreal Canadiens","4","New York Rangers","1","","","",""
"53","1944-12-19","Detroit Red Wings","6","Boston Bruins","3","","","",""
"54","1944-12-20","New York Rangers","3","Chicago Black Hawks","1","","","",""
"55","1944-12-21","New York Rangers","3","Detroit Red Wings","11","","","",""
"56","1944-12-23","Chicago Black Hawks","1","Montreal Canadiens","2","","","",""
"57","1944-12-23","Detroit Red Wings","5","Toronto Maple Leafs","4","","","",""
"58","1944-12-24","Chicago Black Hawks","3","New York Rangers","3","","","",""
"59","1944-12-25","Toronto Maple Leafs","4","Detroit Red Wings","6","","","",""
"60","1944-12-27","Toronto Maple Leafs","8","New York Rangers","2","","","",""
"61","1944-12-28","Chicago Black Hawks","1","Boston Bruins","2","","","",""
"62","1944-12-28","Detroit Red Wings","1","Montreal Canadiens","9","","","",""
"63","1944-12-30","New York Rangers","1","Montreal Canadiens","4","","","",""
"64","1944-12-30","Chicago Black Hawks","0","Toronto Maple Leafs","4","","","",""
"65","1944-12-31","Chicago Black Hawks","2","Detroit Red Wings","6","","","",""
"66","1944-12-31","Boston Bruins","2","New York Rangers","3","","","",""
"67","1945-01-01","Detroit Red Wings","4","Chicago Black Hawks","2","","","",""
"68","1945-01-02","Montreal Canadiens","6","Boston Bruins","3","","","",""
"69","1945-01-04","Detroit Red Wings","4","New York Rangers","4","","","",""
"70","1945-01-04","Montreal Canadiens","2","Toronto Maple Leafs","4","","","",""
"71","1945-01-06","Chicago Black Hawks","1","Montreal Canadiens","10","","","",""
"72","1945-01-06","Detroit Red Wings","5","Toronto Maple Leafs","2","","","",""
"73","1945-01-07","Boston Bruins","4","Detroit Red Wings","8","","","",""
"74","1945-01-07","Chicago Black Hawks","0","New York Rangers","0","","","",""
"75","1945-01-09","New York Rangers","5","Toronto Maple Leafs","4","","","",""
"76","1945-01-11","Toronto Maple Leafs","4","Montreal Canadiens","7","","","",""
"77","1945-01-11","Boston Bruins","1","New York Rangers","5","","","",""
"78","1945-01-13","Detroit Red Wings","3","Montreal Canadiens","8","","","",""
"79","1945-01-13","Boston Bruins","1","Toronto Maple Leafs","2","","","",""
"80","1945-01-14","Boston Bruins","1","Chicago Black Hawks","4","","","",""
"81","1945-01-14","Toronto Maple Leafs","0","Detroit Red Wings","3","","","",""
"82","1945-01-14","Montreal Canadiens","6","New York Rangers","2","","","",""
"83","1945-01-16","Toronto Maple Leafs","3","Boston Bruins","5","","","",""
"84","1945-01-17","Montreal Canadiens","4","Chicago Black Hawks","2","","","",""
"85","1945-01-18","New York Rangers","3","Detroit Red Wings","7","","","",""
"86","1945-01-20","New York Rangers","2","Montreal Canadiens","5","","","",""
"87","1945-01-20","Chicago Black Hawks","4","Toronto Maple Leafs","8","","","",""
"88","1945-01-21","New York Rangers","3","Boston Bruins","14","","","",""
"89","1945-01-21","Toronto Maple Leafs","0","Chicago Black Hawks","4","","","",""
"90","1945-01-21","Montreal Canadiens","6","Detroit Red Wings","3","","","",""
"91","1945-01-23","Detroit Red Wings","5","Boston Bruins","4","","","",""
"92","1945-01-24","New York Rangers","4","Chicago Black Hawks","3","","","",""
"93","1945-01-27","Chicago Black Hawks","1","Detroit Red Wings","5","","","",""
"94","1945-01-27","Boston Bruins","3","Montreal Canadiens","11","","","",""
"95","1945-01-27","New York Rangers","0","Toronto Maple Leafs","3","","","",""
"96","1945-01-28","Montreal Canadiens","4","Boston Bruins","1","","","",""
"97","1945-01-28","Detroit Red Wings","4","Chicago Black Hawks","2","","","",""
"98","1945-01-28","Toronto Maple Leafs","7","New York Rangers","0","","","",""
"99","1945-01-30","Chicago Black Hawks","5","Boston Bruins","3","","","",""
"100","1945-02-01","Chicago Black Hawks","1","Montreal Canadiens","1","","","",""
"101","1945-02-03","Detroit Red Wings","2","Montreal Canadiens","5","","","",""
"102","1945-02-03","Boston Bruins","4","Toronto Maple Leafs","2","","","",""
"103","1945-02-04","New York Rangers","3","Boston Bruins","3","","","",""
"104","1945-02-04","Toronto Maple Leafs","4","Chicago Black Hawks","3","","","",""
"105","1945-02-04","Montreal Canadiens","3","Detroit Red Wings","1","","","",""
"106","1945-02-06","Toronto Maple Leafs","5","Boston Bruins","1","","","",""
"107","1945-02-08","New York Rangers","4","Montreal Canadiens","9","","","",""
"108","1945-02-10","Detroit Red Wings","2","Montreal Canadiens","5","","","",""
"109","1945-02-10","Chicago Black Hawks","2","Toronto Maple Leafs","1","","","",""
"110","1945-02-11","Detroit Red Wings","3","Boston Bruins","2","","","",""
"111","1945-02-11","Toronto Maple Leafs","1","Chicago Black Hawks","2","","","",""
"112","1945-02-11","Montreal Canadiens","4","New York Rangers","3","","","",""
"113","1945-02-13","Chicago Black Hawks","2","Boston Bruins","3","","","",""
"114","1945-02-14","New York Rangers","2","Detroit Red Wings","4","","","",""
"115","1945-02-15","Chicago Black Hawks","2","New York Rangers","6","","","",""
"116","1945-02-17","New York Rangers","1","Boston Bruins","6","","","",""
"117","1945-02-17","Montreal Canadiens","4","Toronto Maple Leafs","3","","","",""
"118","1945-02-18","Montreal Canadiens","0","Chicago Black Hawks","0","","","",""
"119","1945-02-18","Toronto Maple Leafs","1","Detroit Red Wings","6","","","",""
"120","1945-02-18","Boston Bruins","1","New York Rangers","2","","","",""
"121","1945-02-21","Boston Bruins","0","Chicago Black Hawks","5","","","",""
"122","1945-02-22","Detroit Red Wings","3","New York Rangers","5","","","",""
"123","1945-02-24","Chicago Black Hawks","2","Detroit Red Wings","4","","","",""
"124","1945-02-24","New York Rangers","4","Toronto Maple Leafs","4","","","",""
"125","1945-02-25","Detroit Red Wings","3","Chicago Black Hawks","1","","","",""
"126","1945-02-25","Toronto Maple Leafs","2","Montreal Canadiens","5","","","",""
"127","1945-02-25","Boston Bruins","4","New York Rangers","4","","","",""
"128","1945-02-27","Chicago Black Hawks","3","Toronto Maple Leafs","3","","","",""
"129","1945-03-01","Chicago Black Hawks","5","New York Rangers","3","","","",""
"130","1945-03-03","Montreal Canadiens","2","Toronto Maple Leafs","3","","","",""
"131","1945-03-04","Montreal Canadiens","4","Chicago Black Hawks","6","","","",""
"132","1945-03-04","Boston Bruins","4","Detroit Red Wings","10","","","",""
"133","1945-03-04","Toronto Maple Leafs","6","New York Rangers","3","","","",""
"134","1945-03-06","Toronto Maple Leafs","5","Boston Bruins","2","","","",""
"135","1945-03-07","New York Rangers","3","Chicago Black Hawks","6","","","",""
"136","1945-03-08","New York Rangers","3","Detroit Red Wings","7","","","",""
"137","1945-03-08","Boston Bruins","2","Montreal Canadiens","3","","","",""
"138","1945-03-10","New York Rangers","3","Montreal Canadiens","7","","","",""
"139","1945-03-10","Boston Bruins","2","Toronto Maple Leafs","9","","","",""
"140","1945-03-11","Chicago Black Hawks","2","Boston Bruins","7","","","",""
"141","1945-03-11","Toronto Maple Leafs","3","Detroit Red Wings","2","","","",""
"142","1945-03-11","Montreal Canadiens","11","New York Rangers","5","","","",""
"143","1945-03-13","Detroit Red Wings","2","Boston Bruins","2","","","",""
"144","1945-03-15","Boston Bruins","5","Chicago Black Hawks","3","","","",""
"145","1945-03-15","Montreal Canadiens","1","Detroit Red Wings","2","","","",""
"146","1945-03-17","Chicago Black Hawks","3","Montreal Canadiens","4","","","",""
"147","1945-03-17","Detroit Red Wings","4","Toronto Maple Leafs","3","","","",""
"148","1945-03-18","Montreal Canadiens","4","Boston Bruins","2","","","",""
"149","1945-03-18","Chicago Black Hawks","5","Detroit Red Wings","3","","","",""
"150","1945-03-18","Toronto Maple Leafs","5","New York Rangers","6","","","",""
