"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1936-11-05","New York Americans","1","Chicago Black Hawks","1","OT","","",""
"2","1936-11-05","Detroit Red Wings","3","Toronto Maple Leafs","1","","","",""
"3","1936-11-07","Boston Bruins","0","Montreal Canadiens","2","","","",""
"4","1936-11-07","New York Americans","3","Toronto Maple Leafs","2","","","",""
"5","1936-11-08","New York Rangers","2","Detroit Red Wings","5","","","",""
"6","1936-11-10","New York Rangers","4","Montreal Maroons","1","","","",""
"7","1936-11-12","Montreal Maroons","1","Montreal Canadiens","2","","","",""
"8","1936-11-12","Chicago Black Hawks","0","New York Americans","0","OT","","",""
"9","1936-11-14","Detroit Red Wings","2","Montreal Maroons","2","OT","","",""
"10","1936-11-14","Chicago Black Hawks","2","Toronto Maple Leafs","6","","","",""
"11","1936-11-15","Montreal Canadiens","1","Boston Bruins","2","","","",""
"12","1936-11-15","Toronto Maple Leafs","1","Chicago Black Hawks","1","OT","","",""
"13","1936-11-15","Montreal Maroons","2","Detroit Red Wings","2","OT","","",""
"14","1936-11-15","New York Americans","2","New York Rangers","1","","","",""
"15","1936-11-17","New York Rangers","6","Boston Bruins","1","","","",""
"16","1936-11-17","Montreal Canadiens","2","New York Americans","5","","","",""
"17","1936-11-19","Montreal Maroons","4","Chicago Black Hawks","0","","","",""
"18","1936-11-19","New York Americans","2","Montreal Canadiens","3","","","",""
"19","1936-11-19","Detroit Red Wings","0","New York Rangers","1","","","",""
"20","1936-11-21","New York Rangers","1","Montreal Canadiens","3","OT","","",""
"21","1936-11-21","Boston Bruins","4","Toronto Maple Leafs","3","","","",""
"22","1936-11-22","Boston Bruins","2","Chicago Black Hawks","1","","","",""
"23","1936-11-22","Toronto Maple Leafs","2","Detroit Red Wings","4","","","",""
"24","1936-11-22","Montreal Maroons","2","New York Americans","3","","","",""
"25","1936-11-24","Chicago Black Hawks","1","Boston Bruins","1","OT","","",""
"26","1936-11-24","Montreal Canadiens","2","Montreal Maroons","2","OT","","",""
"27","1936-11-24","Toronto Maple Leafs","1","New York Rangers","5","","","",""
"28","1936-11-26","Montreal Maroons","2","Boston Bruins","3","OT","","",""
"29","1936-11-26","Chicago Black Hawks","2","Detroit Red Wings","0","","","",""
"30","1936-11-26","Toronto Maple Leafs","4","Montreal Canadiens","2","","","",""
"31","1936-11-26","New York Rangers","3","New York Americans","1","","","",""
"32","1936-11-28","New York Americans","2","Montreal Maroons","3","","","",""
"33","1936-11-28","Boston Bruins","2","New York Rangers","2","OT","","",""
"34","1936-11-28","Montreal Canadiens","2","Toronto Maple Leafs","4","","","",""
"35","1936-11-29","Montreal Canadiens","2","Chicago Black Hawks","1","","","",""
"36","1936-11-29","New York Americans","2","Detroit Red Wings","0","","","",""
"37","1936-12-01","Toronto Maple Leafs","2","Montreal Maroons","1","","","",""
"38","1936-12-03","New York Rangers","0","Detroit Red Wings","2","","","",""
"39","1936-12-05","Boston Bruins","3","Montreal Canadiens","4","","","",""
"40","1936-12-05","Montreal Maroons","3","Toronto Maple Leafs","1","","","",""
"41","1936-12-06","New York Rangers","2","Chicago Black Hawks","1","","","",""
"42","1936-12-06","Detroit Red Wings","3","New York Americans","3","OT","","",""
"43","1936-12-08","Detroit Red Wings","4","Boston Bruins","3","","","",""
"44","1936-12-08","Chicago Black Hawks","0","New York Rangers","0","OT","","",""
"45","1936-12-10","Montreal Canadiens","1","Detroit Red Wings","2","","","",""
"46","1936-12-10","Chicago Black Hawks","1","Montreal Maroons","2","","","",""
"47","1936-12-12","Montreal Canadiens","2","Montreal Maroons","2","OT","","",""
"48","1936-12-12","New York Rangers","5","Toronto Maple Leafs","3","OT","","",""
"49","1936-12-13","Detroit Red Wings","2","Chicago Black Hawks","1","OT","","",""
"50","1936-12-13","Boston Bruins","4","New York Americans","3","","","",""
"51","1936-12-15","New York Americans","3","Boston Bruins","5","OT","","",""
"52","1936-12-15","Detroit Red Wings","3","Montreal Canadiens","4","","","",""
"53","1936-12-15","Montreal Maroons","2","New York Rangers","2","OT","","",""
"54","1936-12-17","Boston Bruins","5","Montreal Maroons","0","","","",""
"55","1936-12-17","Toronto Maple Leafs","5","New York Americans","1","","","",""
"56","1936-12-19","New York Rangers","2","Montreal Canadiens","4","OT","","",""
"57","1936-12-19","New York Americans","1","Toronto Maple Leafs","3","","","",""
"58","1936-12-20","New York Americans","1","Chicago Black Hawks","2","","","",""
"59","1936-12-20","Boston Bruins","3","Detroit Red Wings","4","","","",""
"60","1936-12-20","Montreal Canadiens","3","New York Rangers","5","OT","","",""
"61","1936-12-22","Toronto Maple Leafs","4","Boston Bruins","2","","","",""
"62","1936-12-22","Chicago Black Hawks","1","Montreal Canadiens","4","","","",""
"63","1936-12-22","Montreal Maroons","1","New York Americans","3","","","",""
"64","1936-12-25","Chicago Black Hawks","1","Detroit Red Wings","1","OT","","",""
"65","1936-12-26","New York Americans","3","Montreal Maroons","4","OT","","",""
"66","1936-12-26","Boston Bruins","2","Toronto Maple Leafs","1","","","",""
"67","1936-12-27","Montreal Canadiens","5","Detroit Red Wings","2","","","",""
"68","1936-12-27","Chicago Black Hawks","0","New York Rangers","1","","","",""
"69","1936-12-29","Montreal Maroons","0","Boston Bruins","3","","","",""
"70","1936-12-29","Montreal Canadiens","1","Chicago Black Hawks","5","","","",""
"71","1936-12-29","New York Rangers","5","New York Americans","1","","","",""
"72","1936-12-31","New York Americans","2","Detroit Red Wings","4","","","",""
"73","1936-12-31","Toronto Maple Leafs","1","Montreal Maroons","3","OT","","",""
"74","1936-12-31","Boston Bruins","2","New York Rangers","2","OT","","",""
"75","1937-01-01","Detroit Red Wings","2","Chicago Black Hawks","4","","","",""
"76","1937-01-02","New York Americans","1","Montreal Canadiens","5","","","",""
"77","1937-01-02","Montreal Maroons","0","Toronto Maple Leafs","0","OT","","",""
"78","1937-01-03","New York Rangers","2","Boston Bruins","3","","","",""
"79","1937-01-03","Montreal Maroons","3","Chicago Black Hawks","1","","","",""
"80","1937-01-03","Toronto Maple Leafs","2","Detroit Red Wings","4","","","",""
