"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1933-11-09","New York Americans","2","Chicago Black Hawks","2","OT","","",""
"2","1933-11-09","Detroit Red Wings","1","Montreal Canadiens","2","","","",""
"3","1933-11-09","Boston Bruins","1","Toronto Maple Leafs","6","","","",""
"4","1933-11-11","Boston Bruins","2","Montreal Maroons","3","","","",""
"5","1933-11-11","Montreal Canadiens","0","Ottawa Senators","2","","","",""
"6","1933-11-11","New York Rangers","3","Toronto Maple Leafs","4","","","",""
"7","1933-11-12","New York Rangers","0","Chicago Black Hawks","1","","","",""
"8","1933-11-12","New York Americans","2","Detroit Red Wings","5","","","",""
"9","1933-11-14","Detroit Red Wings","4","Boston Bruins","2","","","",""
"10","1933-11-14","Chicago Black Hawks","1","Montreal Canadiens","3","","","",""
"11","1933-11-14","Montreal Maroons","2","Ottawa Senators","4","","","",""
"12","1933-11-16","New York Americans","2","Montreal Maroons","2","OT","","",""
"13","1933-11-16","Detroit Red Wings","1","New York Rangers","2","","","",""
"14","1933-11-16","Chicago Black Hawks","2","Ottawa Senators","1","","","",""
"15","1933-11-18","Boston Bruins","2","Montreal Canadiens","1","","","",""
"16","1933-11-18","Ottawa Senators","1","Toronto Maple Leafs","4","","","",""
"17","1933-11-19","Ottawa Senators","1","Chicago Black Hawks","2","","","",""
"18","1933-11-19","New York Rangers","1","Detroit Red Wings","4","","","",""
"19","1933-11-19","Montreal Maroons","2","New York Americans","2","OT","","",""
"20","1933-11-21","Chicago Black Hawks","0","Boston Bruins","2","","","",""
"21","1933-11-21","Montreal Maroons","0","Montreal Canadiens","5","","","",""
"22","1933-11-21","Toronto Maple Leafs","1","New York Rangers","1","OT","","",""
"23","1933-11-21","Detroit Red Wings","3","Ottawa Senators","2","","","",""
"24","1933-11-23","Boston Bruins","6","Detroit Red Wings","0","","","",""
"25","1933-11-23","Ottawa Senators","0","Montreal Canadiens","1","","","",""
"26","1933-11-23","Chicago Black Hawks","2","New York Americans","0","","","",""
"27","1933-11-25","New York Rangers","0","Montreal Maroons","1","","","",""
"28","1933-11-25","New York Americans","3","Ottawa Senators","2","","","",""
"29","1933-11-25","Montreal Canadiens","1","Toronto Maple Leafs","0","","","",""
"30","1933-11-26","Boston Bruins","0","Chicago Black Hawks","1","","","",""
"31","1933-11-26","Montreal Canadiens","2","Detroit Red Wings","4","","","",""
"32","1933-11-28","Ottawa Senators","1","Boston Bruins","2","","","",""
"33","1933-11-28","Montreal Canadiens","1","Montreal Maroons","4","","","",""
"34","1933-11-28","New York Americans","3","Toronto Maple Leafs","7","","","",""
"35","1933-11-30","Chicago Black Hawks","1","Detroit Red Wings","2","","","",""
"36","1933-11-30","Toronto Maple Leafs","1","Montreal Maroons","0","","","",""
"37","1933-11-30","Boston Bruins","1","Ottawa Senators","2","OT","","",""
"38","1933-12-02","New York Rangers","3","Boston Bruins","0","","","",""
"39","1933-12-02","New York Americans","1","Montreal Canadiens","3","","","",""
"40","1933-12-02","Montreal Maroons","3","Toronto Maple Leafs","8","","","",""
"41","1933-12-03","Toronto Maple Leafs","3","Detroit Red Wings","0","","","",""
"42","1933-12-03","Chicago Black Hawks","0","New York Rangers","1","OT","","",""
"43","1933-12-05","Montreal Canadiens","2","Boston Bruins","5","","","",""
"44","1933-12-05","Detroit Red Wings","1","Montreal Maroons","1","OT","","",""
"45","1933-12-05","Toronto Maple Leafs","9","New York Americans","1","","","",""
"46","1933-12-07","Montreal Maroons","1","Chicago Black Hawks","3","","","",""
"47","1933-12-07","Montreal Canadiens","0","New York Rangers","0","OT","","",""
"48","1933-12-07","Toronto Maple Leafs","1","Ottawa Senators","4","","","",""
"49","1933-12-09","New York Americans","2","Boston Bruins","4","","","",""
"50","1933-12-09","New York Rangers","4","Montreal Canadiens","2","","","",""
"51","1933-12-09","Chicago Black Hawks","0","Toronto Maple Leafs","1","","","",""
"52","1933-12-10","Montreal Maroons","1","Detroit Red Wings","3","","","",""
"53","1933-12-10","Ottawa Senators","5","New York Americans","2","","","",""
"54","1933-12-12","Toronto Maple Leafs","4","Boston Bruins","1","","","",""
"55","1933-12-12","Chicago Black Hawks","1","Detroit Red Wings","4","","","",""
"56","1933-12-12","New York Americans","3","New York Rangers","0","","","",""
"57","1933-12-12","Montreal Canadiens","1","Ottawa Senators","1","OT","","",""
"58","1933-12-14","Detroit Red Wings","0","Chicago Black Hawks","4","","","",""
"59","1933-12-14","Toronto Maple Leafs","0","Montreal Canadiens","2","","","",""
"60","1933-12-14","Boston Bruins","5","New York Americans","4","OT","","",""
