"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1961-03-21","Chicago Black Hawks","2","Montreal Canadiens","6","","","",""
"2","1961-03-22","Detroit Red Wings","2","Toronto Maple Leafs","3","2OT","","",""
"3","1961-03-23","Chicago Black Hawks","4","Montreal Canadiens","3","","","",""
"4","1961-03-25","Detroit Red Wings","4","Toronto Maple Leafs","2","","","",""
"5","1961-03-26","Montreal Canadiens","1","Chicago Black Hawks","2","3OT","","",""
"6","1961-03-26","Toronto Maple Leafs","0","Detroit Red Wings","2","","","",""
"7","1961-03-28","Montreal Canadiens","5","Chicago Black Hawks","2","","","",""
"8","1961-03-28","Toronto Maple Leafs","1","Detroit Red Wings","4","","","",""
"9","1961-04-01","Chicago Black Hawks","3","Montreal Canadiens","0","","","",""
"10","1961-04-01","Detroit Red Wings","3","Toronto Maple Leafs","2","","","",""
"11","1961-04-04","Montreal Canadiens","0","Chicago Black Hawks","3","","","",""
"12","1961-04-06","Detroit Red Wings","2","Chicago Black Hawks","3","","","",""
"13","1961-04-08","Chicago Black Hawks","1","Detroit Red Wings","3","","","",""
"14","1961-04-10","Detroit Red Wings","1","Chicago Black Hawks","3","","","",""
"15","1961-04-12","Chicago Black Hawks","1","Detroit Red Wings","2","","","",""
"16","1961-04-14","Detroit Red Wings","3","Chicago Black Hawks","6","","","",""
"17","1961-04-16","Chicago Black Hawks","5","Detroit Red Wings","1","","","",""
