"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1983-10-04","New York Islanders","3","Quebec Nordiques","7","","","",""
"2","1983-10-04","Pittsburgh Penguins","3","St. Louis Blues","5","","","",""
"3","1983-10-05","Hartford Whalers","3","Buffalo Sabres","5","","","",""
"4","1983-10-05","St. Louis Blues","3","Chicago Black Hawks","4","","","",""
"5","1983-10-05","Toronto Maple Leafs","4","Edmonton Oilers","5","","","",""
"6","1983-10-05","Minnesota North Stars","3","Los Angeles Kings","3","OT","","",""
"7","1983-10-05","New Jersey Devils","2","New York Rangers","6","","","",""
"8","1983-10-05","Calgary Flames","5","Vancouver Canucks","3","","","",""
"9","1983-10-05","Detroit Red Wings","6","Winnipeg Jets","6","OT","","",""
"10","1983-10-06","Quebec Nordiques","3","Boston Bruins","9","","","",""
"11","1983-10-06","New York Islanders","7","Montreal Canadiens","4","","","",""
"12","1983-10-06","Washington Capitals","1","Philadelphia Flyers","4","","","",""
"13","1983-10-07","New York Rangers","3","New Jersey Devils","1","","","",""
"14","1983-10-07","Minnesota North Stars","9","Vancouver Canucks","10","","","",""
"15","1983-10-07","Edmonton Oilers","8","Winnipeg Jets","6","","","",""
"16","1983-10-08","New Jersey Devils","6","Detroit Red Wings","3","","","",""
"17","1983-10-08","Boston Bruins","3","Hartford Whalers","4","","","",""
"18","1983-10-08","Toronto Maple Leafs","6","Los Angeles Kings","3","","","",""
"19","1983-10-08","Philadelphia Flyers","6","Montreal Canadiens","3","","","",""
"20","1983-10-08","New York Rangers","6","Pittsburgh Penguins","1","","","",""
"21","1983-10-08","Buffalo Sabres","2","Quebec Nordiques","9","","","",""
"22","1983-10-08","Chicago Black Hawks","1","St. Louis Blues","4","","","",""
"23","1983-10-08","New York Islanders","8","Washington Capitals","7","OT","","",""
"24","1983-10-09","Hartford Whalers","1","Boston Bruins","4","","","",""
"25","1983-10-09","Washington Capitals","2","Buffalo Sabres","5","","","",""
