"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1974-10-15","New England Whalers","2","Toronto Toros","6","","","",""
"2","1974-10-15","Winnipeg Jets","6","Vancouver Blazers","2","","","",""
"3","1974-10-16","San Diego Mariners","2","Phoenix Roadrunners","8","","","",""
"4","1974-10-16","Houston Aeros","6","Vancouver Blazers","0","","","",""
"5","1974-10-17","Michigan Stags/Baltimore Blades","4","Indianapolis Racers","2","","","",""
"6","1974-10-18","Houston Aeros","4","Phoenix Roadrunners","6","","","",""
"7","1974-10-18","Indianapolis Racers","1","Toronto Toros","3","","","",""
"8","1974-10-18","Chicago Cougars","2","Vancouver Blazers","1","","","",""
"9","1974-10-18","Edmonton Oilers","0","Winnipeg Jets","4","","","",""
"10","1974-10-19","Cleveland Crusaders","3","Minnesota Fighting Saints","1","","","",""
"11","1974-10-19","Michigan Stags/Baltimore Blades","1","New England Whalers","2","OT","","",""
"12","1974-10-19","Houston Aeros","2","San Diego Mariners","6","","","",""
"13","1974-10-20","Cleveland Crusaders","4","Phoenix Roadrunners","4","","","",""
"14","1974-10-20","Indianapolis Racers","1","Quebec Nordiques","4","","","",""
"15","1974-10-20","Michigan Stags/Baltimore Blades","3","Toronto Toros","4","","","",""
"16","1974-10-20","Chicago Cougars","1","Vancouver Blazers","3","","","",""
"17","1974-10-22","Houston Aeros","2","Quebec Nordiques","7","","","",""
"18","1974-10-22","Cleveland Crusaders","2","San Diego Mariners","5","","","",""
"19","1974-10-22","Minnesota Fighting Saints","2","Toronto Toros","11","","","",""
"20","1974-10-23","Houston Aeros","4","New England Whalers","5","","","",""
"21","1974-10-23","Michigan Stags/Baltimore Blades","2","Quebec Nordiques","6","","","",""
"22","1974-10-23","Cleveland Crusaders","1","Vancouver Blazers","4","","","",""
"23","1974-10-24","Minnesota Fighting Saints","3","Indianapolis Racers","2","","","",""
"24","1974-10-24","Phoenix Roadrunners","1","San Diego Mariners","2","","","",""
"25","1974-10-25","Winnipeg Jets","1","Toronto Toros","3","","","",""
"26","1974-10-26","Minnesota Fighting Saints","2","Houston Aeros","3","","","",""
"27","1974-10-26","Indianapolis Racers","1","New England Whalers","6","","","",""
"28","1974-10-26","Phoenix Roadrunners","1","Quebec Nordiques","4","","","",""
"29","1974-10-27","Quebec Nordiques","3","Indianapolis Racers","5","","","",""
"30","1974-10-27","Chicago Cougars","5","Minnesota Fighting Saints","6","OT","","",""
"31","1974-10-27","Michigan Stags/Baltimore Blades","2","Winnipeg Jets","5","","","",""
"32","1974-10-28","Phoenix Roadrunners","3","Toronto Toros","7","","","",""
"33","1974-10-29","Houston Aeros","4","Chicago Cougars","2","","","",""
"34","1974-10-29","Minnesota Fighting Saints","3","Michigan Stags/Baltimore Blades","4","OT","","",""
"35","1974-10-30","Chicago Cougars","0","Houston Aeros","1","","","",""
"36","1974-10-30","Toronto Toros","2","New England Whalers","5","","","",""
"37","1974-10-30","Edmonton Oilers","6","Vancouver Blazers","8","","","",""
"38","1974-10-30","Phoenix Roadrunners","5","Winnipeg Jets","6","OT","","",""
"39","1974-10-31","New England Whalers","6","Indianapolis Racers","1","","","",""
"40","1974-10-31","Cleveland Crusaders","4","Michigan Stags/Baltimore Blades","2","","","",""
"41","1974-10-31","Chicago Cougars","3","San Diego Mariners","4","","","",""
"42","1974-11-01","Toronto Toros","1","Winnipeg Jets","10","","","",""
"43","1974-11-02","Toronto Toros","3","Chicago Cougars","4","OT","","",""
"44","1974-11-02","Edmonton Oilers","4","Cleveland Crusaders","2","","","",""
"45","1974-11-02","Phoenix Roadrunners","2","Houston Aeros","8","","","",""
"46","1974-11-02","Michigan Stags/Baltimore Blades","3","Minnesota Fighting Saints","6","","","",""
"47","1974-11-02","Quebec Nordiques","2","New England Whalers","4","","","",""
"48","1974-11-03","Edmonton Oilers","3","Indianapolis Racers","1","","","",""
"49","1974-11-03","San Diego Mariners","6","Vancouver Blazers","2","","","",""
"50","1974-11-03","Michigan Stags/Baltimore Blades","3","Winnipeg Jets","11","","","",""
"51","1974-11-04","Quebec Nordiques","5","Toronto Toros","3","","","",""
"52","1974-11-05","Vancouver Blazers","5","Chicago Cougars","4","","","",""
"53","1974-11-05","San Diego Mariners","3","Houston Aeros","9","","","",""
"54","1974-11-05","Phoenix Roadrunners","3","Indianapolis Racers","0","","","",""
"55","1974-11-05","Toronto Toros","5","Michigan Stags/Baltimore Blades","2","","","",""
"56","1974-11-05","Minnesota Fighting Saints","4","Winnipeg Jets","6","","","",""
"57","1974-11-06","Vancouver Blazers","3","Quebec Nordiques","5","","","",""
"58","1974-11-07","San Diego Mariners","0","Indianapolis Racers","3","","","",""
"59","1974-11-08","San Diego Mariners","0","New England Whalers","3","","","",""
"60","1974-11-08","Cleveland Crusaders","2","Vancouver Blazers","1","","","",""
