"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2011-10-06","Philadelphia Flyers","2","Boston Bruins","1","","17,565","",""
"2","2011-10-06","Montreal Canadiens","0","Toronto Maple Leafs","2","","19,606","",""
"3","2011-10-06","Pittsburgh Penguins","4","Vancouver Canucks","3","SO","18,860","",""
"4","2011-10-07","Anaheim Ducks","1","Buffalo Sabres","4","","13,349","","at Helsinki, FI"
"5","2011-10-07","Tampa Bay Lightning","5","Carolina Hurricanes","1","","18,680","",""
"6","2011-10-07","Nashville Predators","3","Columbus Blue Jackets","2","","18,247","",""
"7","2011-10-07","Chicago Blackhawks","1","Dallas Stars","2","","15,285","",""
"8","2011-10-07","Ottawa Senators","3","Detroit Red Wings","5","","20,066","",""
"9","2011-10-07","New York Rangers","2","Los Angeles Kings","3","OT","13,800","","at Stockholm, SE"
"10","2011-10-08","New York Rangers","1","Anaheim Ducks","2","SO","13,800","","at Stockholm, SE"
"11","2011-10-08","Tampa Bay Lightning","1","Boston Bruins","4","","17,565","",""
"12","2011-10-08","Pittsburgh Penguins","5","Calgary Flames","3","","19,289","",""
"13","2011-10-08","Dallas Stars","2","Chicago Blackhawks","5","","21,674","",""
"14","2011-10-08","Detroit Red Wings","3","Colorado Avalanche","0","","18,007","",""
"15","2011-10-08","Buffalo Sabres","4","Los Angeles Kings","2","","14,300","","at Berlin, DE"
"16","2011-10-08","Columbus Blue Jackets","2","Minnesota Wild","4","","19,040","",""
"17","2011-10-08","Philadelphia Flyers","3","New Jersey Devils","0","","17,625","",""
"18","2011-10-08","Florida Panthers","2","New York Islanders","0","","16,234","",""
"19","2011-10-08","Phoenix Coyotes","3","San Jose Sharks","6","","17,562","",""
"20","2011-10-08","Nashville Predators","4","St. Louis Blues","2","","19,150","",""
"21","2011-10-08","Ottawa Senators","5","Toronto Maple Leafs","6","","19,324","",""
"22","2011-10-08","Carolina Hurricanes","3","Washington Capitals","4","OT","18,506","",""
"23","2011-10-09","Pittsburgh Penguins","1","Edmonton Oilers","2","SO","16,839","",""
"24","2011-10-09","Montreal Canadiens","5","Winnipeg Jets","1","","15,004","",""
"25","2011-10-10","Colorado Avalanche","1","Boston Bruins","0","","17,565","",""
"26","2011-10-10","Vancouver Canucks","3","Columbus Blue Jackets","2","","9,187","",""
"27","2011-10-10","Phoenix Coyotes","1","Dallas Stars","2","SO","6,306","",""
"28","2011-10-10","Carolina Hurricanes","2","New Jersey Devils","4","","12,096","",""
"29","2011-10-10","Minnesota Wild","1","New York Islanders","2","","11,278","",""
"30","2011-10-10","Calgary Flames","2","St. Louis Blues","5","","19,150","",""
"31","2011-10-10","Tampa Bay Lightning","5","Washington Capitals","6","SO","18,506","",""
"32","2011-10-11","Minnesota Wild","3","Ottawa Senators","4","SO","19,455","",""
"33","2011-10-11","Florida Panthers","2","Pittsburgh Penguins","4","","18,503","",""
"34","2011-10-12","Boston Bruins","2","Carolina Hurricanes","3","","16,483","",""
"35","2011-10-12","Colorado Avalanche","3","Columbus Blue Jackets","2","SO","8,986","",""
"36","2011-10-12","Vancouver Canucks","4","Philadelphia Flyers","5","","19,632","",""
"37","2011-10-13","Winnipeg Jets","3","Chicago Blackhawks","4","","21,175","",""
"38","2011-10-13","St. Louis Blues","2","Dallas Stars","3","","7,949","",""
"39","2011-10-13","Vancouver Canucks","0","Detroit Red Wings","2","","20,066","",""
"40","2011-10-13","Edmonton Oilers","1","Minnesota Wild","2","SO","15,878","",""
"41","2011-10-13","Calgary Flames","4","Montreal Canadiens","1","","21,273","",""
"42","2011-10-13","Los Angeles Kings","1","New Jersey Devils","2","SO","12,256","",""
"43","2011-10-13","Phoenix Coyotes","5","Nashville Predators","2","","17,113","",""
"44","2011-10-13","Tampa Bay Lightning","1","New York Islanders","5","","9,759","",""
"45","2011-10-13","Colorado Avalanche","7","Ottawa Senators","1","","19,239","",""
"46","2011-10-13","Washington Capitals","3","Pittsburgh Penguins","2","OT","18,512","",""
"47","2011-10-14","San Jose Sharks","0","Anaheim Ducks","1","","17,243","",""
"48","2011-10-14","Carolina Hurricanes","4","Buffalo Sabres","3","","18,690","",""
"49","2011-10-15","Boston Bruins","3","Chicago Blackhawks","2","SO","22,073","",""
"50","2011-10-15","Columbus Blue Jackets","2","Dallas Stars","4","","8,305","",""
"51","2011-10-15","Vancouver Canucks","4","Edmonton Oilers","3","","16,839","",""
"52","2011-10-15","Tampa Bay Lightning","2","Florida Panthers","3","SO","18,352","",""
"53","2011-10-15","Detroit Red Wings","3","Minnesota Wild","2","OT","17,104","",""
"54","2011-10-15","Colorado Avalanche","6","Montreal Canadiens","5","SO","21,273","",""
"55","2011-10-15","New Jersey Devils","3","Nashville Predators","2","SO","17,113","",""
"56","2011-10-15","New York Rangers","2","New York Islanders","4","","16,234","",""
"57","2011-10-15","Los Angeles Kings","3","Philadelphia Flyers","2","OT","19,644","",""
"58","2011-10-15","Winnipeg Jets","1","Phoenix Coyotes","4","","17,132","",""
"59","2011-10-15","Buffalo Sabres","3","Pittsburgh Penguins","2","","18,562","",""
"60","2011-10-15","St. Louis Blues","4","San Jose Sharks","2","","17,562","",""
"61","2011-10-15","Calgary Flames","2","Toronto Maple Leafs","3","","19,410","",""
"62","2011-10-15","Ottawa Senators","1","Washington Capitals","2","","18,506","",""
"63","2011-10-16","St. Louis Blues","2","Anaheim Ducks","4","","14,555","",""
"64","2011-10-17","Nashville Predators","1","Edmonton Oilers","3","","16,839","",""
"65","2011-10-17","Anaheim Ducks","3","San Jose Sharks","2","","17,562","",""
"66","2011-10-17","Florida Panthers","7","Tampa Bay Lightning","4","","19,204","",""
"67","2011-10-17","Colorado Avalanche","3","Toronto Maple Leafs","2","OT","19,359","",""
"68","2011-10-17","Pittsburgh Penguins","1","Winnipeg Jets","2","","15,004","",""
"69","2011-10-18","Carolina Hurricanes","4","Boston Bruins","1","","17,565","",""
"70","2011-10-18","Dallas Stars","3","Columbus Blue Jackets","2","","9,158","",""
"71","2011-10-18","Edmonton Oilers","1","Calgary Flames","2","","19,289","",""
"72","2011-10-18","St. Louis Blues","0","Los Angeles Kings","5","","18,118","",""
"73","2011-10-18","Pittsburgh Penguins","4","Minnesota Wild","2","","17,297","",""
"74","2011-10-18","Buffalo Sabres","3","Montreal Canadiens","1","","21,273","",""
"75","2011-10-18","Philadelphia Flyers","7","Ottawa Senators","2","","18,059","",""
"76","2011-10-18","Chicago Blackhawks","5","Phoenix Coyotes","2","","11,051","",""
"77","2011-10-18","New York Rangers","4","Vancouver Canucks","0","","18,860","",""
"78","2011-10-18","Florida Panthers","0","Washington Capitals","3","","18,506","",""
"79","2011-10-19","Winnipeg Jets","3","Toronto Maple Leafs","4","SO","19,514","",""
"80","2011-10-20","Toronto Maple Leafs","2","Boston Bruins","6","","17,565","",""
"81","2011-10-20","New York Rangers","3","Calgary Flames","2","OT","19,289","",""
"82","2011-10-20","Chicago Blackhawks","3","Colorado Avalanche","1","","17,523","",""
"83","2011-10-20","Minnesota Wild","2","Edmonton Oilers","1","SO","16,839","",""
"84","2011-10-20","Buffalo Sabres","3","Florida Panthers","0","","14,811","",""
"85","2011-10-20","Winnipeg Jets","1","Ottawa Senators","4","","17,919","",""
"86","2011-10-20","Washington Capitals","5","Philadelphia Flyers","2","","19,658","",""
"87","2011-10-20","Los Angeles Kings","2","Phoenix Coyotes","0","","7,128","",""
"88","2011-10-20","Montreal Canadiens","1","Pittsburgh Penguins","3","","18,403","",""
"89","2011-10-20","New York Islanders","1","Tampa Bay Lightning","4","","18,181","",""
"90","2011-10-20","Nashville Predators","1","Vancouver Canucks","5","","18,860","",""
"91","2011-10-21","Dallas Stars","3","Anaheim Ducks","1","","12,919","",""
"92","2011-10-21","Columbus Blue Jackets","2","Detroit Red Wings","5","","20,066","",""
"93","2011-10-21","San Jose Sharks","4","New Jersey Devils","3","SO","14,319","",""
"94","2011-10-21","Carolina Hurricanes","2","St. Louis Blues","3","OT","19,150","",""
"95","2011-10-22","San Jose Sharks","4","Boston Bruins","2","","17,565","",""
"96","2011-10-22","Nashville Predators","2","Calgary Flames","0","","19,289","",""
"97","2011-10-22","Colorado Avalanche","5","Chicago Blackhawks","4","SO","21,328","",""
"98","2011-10-22","New York Rangers","0","Edmonton Oilers","2","","16,839","",""
"99","2011-10-22","New York Islanders","2","Florida Panthers","4","","15,411","",""
"100","2011-10-22","Dallas Stars","0","Los Angeles Kings","1","","18,118","",""
"101","2011-10-22","Toronto Maple Leafs","5","Montreal Canadiens","4","OT","21,273","",""
"102","2011-10-22","Columbus Blue Jackets","3","Ottawa Senators","4","","18,867","",""
"103","2011-10-22","St. Louis Blues","4","Philadelphia Flyers","2","","19,593","",""
"104","2011-10-22","New Jersey Devils","1","Pittsburgh Penguins","4","","18,535","",""
"105","2011-10-22","Buffalo Sabres","0","Tampa Bay Lightning","3","","19,204","",""
"106","2011-10-22","Minnesota Wild","2","Vancouver Canucks","3","OT","18,860","",""
"107","2011-10-22","Carolina Hurricanes","3","Winnipeg Jets","5","","15,004","",""
"108","2011-10-22","Detroit Red Wings","1","Washington Capitals","7","","18,506","",""
"109","2011-10-23","Phoenix Coyotes","5","Anaheim Ducks","4","","13,240","",""
"110","2011-10-24","Florida Panthers","2","Montreal Canadiens","1","","21,273","",""
"111","2011-10-24","Toronto Maple Leafs","2","Philadelphia Flyers","4","","19,569","",""
"112","2011-10-24","New York Rangers","2","Winnipeg Jets","1","","15,004","",""
"113","2011-10-25","Tampa Bay Lightning","4","Buffalo Sabres","3","","18,690","",""
"114","2011-10-25","Ottawa Senators","3","Carolina Hurricanes","2","SO","12,083","",""
"115","2011-10-25","Detroit Red Wings","1","Columbus Blue Jackets","4","","15,100","",""
"116","2011-10-25","Anaheim Ducks","2","Chicago Blackhawks","3","SO","21,247","",""
"117","2011-10-25","Vancouver Canucks","2","Edmonton Oilers","3","","16,839","",""
"118","2011-10-25","New Jersey Devils","3","Los Angeles Kings","0","","18,118","",""
"119","2011-10-25","San Jose Sharks","3","Nashville Predators","1","","15,121","",""
"120","2011-10-25","Pittsburgh Penguins","3","New York Islanders","0","","10,681","",""
"121","2011-10-25","Dallas Stars","3","Phoenix Coyotes","2","SO","6,948","",""
"122","2011-10-26","Colorado Avalanche","2","Calgary Flames","4","","19,289","",""
"123","2011-10-26","Philadelphia Flyers","1","Montreal Canadiens","5","","21,273","",""
"124","2011-10-26","St. Louis Blues","3","Vancouver Canucks","0","","18,860","",""
