"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1978-04-14","Edmonton Oilers","4","New England Whalers","6","","","",""
"2","1978-04-14","Birmingham Bulls","3","Winnipeg Jets","9","","","",""
"3","1978-04-16","Quebec Nordiques","3","Houston Aeros","4","OT","","",""
"4","1978-04-16","Edmonton Oilers","1","New England Whalers","4","","","",""
"5","1978-04-16","Birmingham Bulls","3","Winnipeg Jets","8","","","",""
"6","1978-04-18","Quebec Nordiques","5","Houston Aeros","4","OT","","",""
"7","1978-04-19","Winnipeg Jets","2","Birmingham Bulls","3","","","",""
"8","1978-04-19","New England Whalers","0","Edmonton Oilers","2","","","",""
"9","1978-04-20","Houston Aeros","1","Quebec Nordiques","5","","","",""
"10","1978-04-21","Winnipeg Jets","5","Birmingham Bulls","1","","","",""
"11","1978-04-21","New England Whalers","9","Edmonton Oilers","1","","","",""
"12","1978-04-21","Houston Aeros","0","Quebec Nordiques","3","","","",""
"13","1978-04-23","Quebec Nordiques","2","Houston Aeros","5","","","",""
"14","1978-04-23","Edmonton Oilers","1","New England Whalers","4","","","",""
"15","1978-04-23","Birmingham Bulls","2","Winnipeg Jets","5","","","",""
"16","1978-04-25","Houston Aeros","2","Quebec Nordiques","11","","","",""
"17","1978-04-28","Quebec Nordiques","1","New England Whalers","5","","","",""
"18","1978-04-30","Quebec Nordiques","3","New England Whalers","2","","","",""
"19","1978-05-03","New England Whalers","5","Quebec Nordiques","4","","","",""
"20","1978-05-05","New England Whalers","7","Quebec Nordiques","3","","","",""
"21","1978-05-07","Quebec Nordiques","3","New England Whalers","6","","","",""
"22","1978-05-12","Winnipeg Jets","4","New England Whalers","1","","","",""
"23","1978-05-14","Winnipeg Jets","5","New England Whalers","2","","","",""
"24","1978-05-19","New England Whalers","2","Winnipeg Jets","10","","","",""
"25","1978-05-22","New England Whalers","3","Winnipeg Jets","5","","","",""
