"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1934-03-20","New York Rangers","0","Montreal Maroons","0","","","",""
"2","1934-03-22","Chicago Black Hawks","3","Montreal Canadiens","2","","","",""
"3","1934-03-22","Detroit Red Wings","2","Toronto Maple Leafs","1","OT","","",""
"4","1934-03-24","Detroit Red Wings","6","Toronto Maple Leafs","3","","","",""
"5","1934-03-25","Montreal Canadiens","1","Chicago Black Hawks","1","OT","","",""
"6","1934-03-25","Montreal Maroons","2","New York Rangers","1","","","",""
"7","1934-03-26","Toronto Maple Leafs","3","Detroit Red Wings","1","","","",""
"8","1934-03-28","Toronto Maple Leafs","5","Detroit Red Wings","1","","","",""
"9","1934-03-28","Chicago Black Hawks","3","Montreal Maroons","0","","","",""
"10","1934-03-30","Toronto Maple Leafs","0","Detroit Red Wings","1","","","",""
"11","1934-04-01","Montreal Maroons","2","Chicago Black Hawks","3","","","",""
"12","1934-04-03","Chicago Black Hawks","2","Detroit Red Wings","1","2OT","","",""
"13","1934-04-05","Chicago Black Hawks","4","Detroit Red Wings","1","","","",""
"14","1934-04-08","Detroit Red Wings","5","Chicago Black Hawks","2","","","",""
"15","1934-04-10","Detroit Red Wings","0","Chicago Black Hawks","1","2OT","","",""
