"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1950-10-11","New York Rangers","2","Detroit Red Wings","3","","","",""
"2","1950-10-12","Chicago Black Hawks","3","Montreal Canadiens","3","","","",""
"3","1950-10-14","Boston Bruins","1","Montreal Canadiens","1","","","",""
"4","1950-10-14","Chicago Black Hawks","2","Toronto Maple Leafs","1","","","",""
"5","1950-10-15","Montreal Canadiens","2","Boston Bruins","1","","","",""
"6","1950-10-15","New York Rangers","3","Chicago Black Hawks","2","","","",""
"7","1950-10-15","Toronto Maple Leafs","4","Detroit Red Wings","4","","","",""
"8","1950-10-18","Toronto Maple Leafs","2","Boston Bruins","0","","","",""
"9","1950-10-19","New York Rangers","0","Montreal Canadiens","4","","","",""
"10","1950-10-21","Detroit Red Wings","0","Montreal Canadiens","2","","","",""
"11","1950-10-21","New York Rangers","0","Toronto Maple Leafs","5","","","",""
"12","1950-10-22","New York Rangers","0","Boston Bruins","0","","","",""
"13","1950-10-22","Toronto Maple Leafs","5","Chicago Black Hawks","3","","","",""
"14","1950-10-22","Montreal Canadiens","2","Detroit Red Wings","3","","","",""
"15","1950-10-25","Boston Bruins","1","New York Rangers","1","","","",""
"16","1950-10-25","Detroit Red Wings","0","Toronto Maple Leafs","1","","","",""
"17","1950-10-26","Montreal Canadiens","1","Chicago Black Hawks","5","","","",""
"18","1950-10-28","Chicago Black Hawks","1","Detroit Red Wings","3","","","",""
"19","1950-10-28","New York Rangers","1","Montreal Canadiens","5","","","",""
"20","1950-10-28","Boston Bruins","2","Toronto Maple Leafs","4","","","",""
"21","1950-10-29","Toronto Maple Leafs","3","Chicago Black Hawks","3","","","",""
"22","1950-10-29","Boston Bruins","0","Detroit Red Wings","2","","","",""
"23","1950-10-29","Montreal Canadiens","2","New York Rangers","2","","","",""
"24","1950-11-01","Montreal Canadiens","3","Toronto Maple Leafs","5","","","",""
"25","1950-11-02","Boston Bruins","2","Chicago Black Hawks","5","","","",""
"26","1950-11-02","New York Rangers","2","Detroit Red Wings","2","","","",""
"27","1950-11-02","Toronto Maple Leafs","2","Montreal Canadiens","1","","","",""
"28","1950-11-04","Boston Bruins","3","Montreal Canadiens","2","","","",""
"29","1950-11-04","New York Rangers","2","Toronto Maple Leafs","2","","","",""
"30","1950-11-05","New York Rangers","1","Chicago Black Hawks","3","","","",""
"31","1950-11-05","Boston Bruins","2","Detroit Red Wings","4","","","",""
"32","1950-11-08","Detroit Red Wings","3","Boston Bruins","3","","","",""
"33","1950-11-08","Toronto Maple Leafs","5","New York Rangers","3","","","",""
"34","1950-11-09","Montreal Canadiens","1","Chicago Black Hawks","2","","","",""
"35","1950-11-11","Chicago Black Hawks","4","Boston Bruins","2","","","",""
"36","1950-11-11","New York Rangers","1","Montreal Canadiens","1","","","",""
"37","1950-11-11","Detroit Red Wings","3","Toronto Maple Leafs","1","","","",""
"38","1950-11-12","Toronto Maple Leafs","7","Boston Bruins","0","","","",""
"39","1950-11-12","Montreal Canadiens","0","Detroit Red Wings","4","","","",""
"40","1950-11-12","Chicago Black Hawks","4","New York Rangers","1","","","",""
"41","1950-11-15","Boston Bruins","4","New York Rangers","3","","","",""
"42","1950-11-16","Detroit Red Wings","5","Chicago Black Hawks","1","","","",""
"43","1950-11-16","Toronto Maple Leafs","2","Montreal Canadiens","5","","","",""
"44","1950-11-18","Detroit Red Wings","2","Boston Bruins","1","","","",""
"45","1950-11-18","Chicago Black Hawks","2","Montreal Canadiens","3","","","",""
"46","1950-11-18","New York Rangers","4","Toronto Maple Leafs","5","","","",""
"47","1950-11-19","Toronto Maple Leafs","1","Boston Bruins","3","","","",""
"48","1950-11-19","Montreal Canadiens","3","Chicago Black Hawks","0","","","",""
"49","1950-11-19","Detroit Red Wings","3","New York Rangers","3","","","",""
"50","1950-11-22","Montreal Canadiens","2","New York Rangers","3","","","",""
"51","1950-11-22","Chicago Black Hawks","2","Toronto Maple Leafs","5","","","",""
"52","1950-11-23","Boston Bruins","1","Chicago Black Hawks","4","","","",""
"53","1950-11-23","Toronto Maple Leafs","2","Detroit Red Wings","1","","","",""
"54","1950-11-25","New York Rangers","3","Boston Bruins","3","","","",""
"55","1950-11-25","Chicago Black Hawks","1","Detroit Red Wings","4","","","",""
"56","1950-11-25","Montreal Canadiens","1","Toronto Maple Leafs","4","","","",""
"57","1950-11-26","Montreal Canadiens","3","Boston Bruins","1","","","",""
"58","1950-11-26","Detroit Red Wings","0","Chicago Black Hawks","5","","","",""
"59","1950-11-26","Toronto Maple Leafs","3","New York Rangers","2","","","",""
"60","1950-11-29","Detroit Red Wings","3","Boston Bruins","6","","","",""
"61","1950-11-29","Chicago Black Hawks","1","New York Rangers","1","","","",""
"62","1950-11-30","Toronto Maple Leafs","0","Montreal Canadiens","0","","","",""
"63","1950-12-02","New York Rangers","3","Boston Bruins","2","","","",""
"64","1950-12-02","Detroit Red Wings","7","Montreal Canadiens","1","","","",""
"65","1950-12-02","Chicago Black Hawks","0","Toronto Maple Leafs","0","","","",""
"66","1950-12-03","Toronto Maple Leafs","3","Chicago Black Hawks","3","","","",""
"67","1950-12-03","Montreal Canadiens","4","Detroit Red Wings","1","","","",""
"68","1950-12-03","Boston Bruins","5","New York Rangers","3","","","",""
"69","1950-12-06","Chicago Black Hawks","4","Boston Bruins","5","","","",""
"70","1950-12-06","Detroit Red Wings","9","New York Rangers","0","","","",""
"71","1950-12-06","Montreal Canadiens","1","Toronto Maple Leafs","3","","","",""
"72","1950-12-07","Boston Bruins","3","Montreal Canadiens","0","","","",""
"73","1950-12-09","New York Rangers","0","Detroit Red Wings","5","","","",""
"74","1950-12-09","Chicago Black Hawks","5","Montreal Canadiens","0","","","",""
"75","1950-12-09","Boston Bruins","1","Toronto Maple Leafs","8","","","",""
