"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1918-12-21","Ottawa Senators","5","Montreal Canadiens","2","","","",""
"2","1918-12-23","Montreal Canadiens","4","Toronto Arenas","3","","","",""
"3","1918-12-26","Toronto Arenas","2","Ottawa Senators","5","","","",""
"4","1918-12-28","Toronto Arenas","3","Montreal Canadiens","6","","","",""
"5","1918-12-31","Ottawa Senators","2","Toronto Arenas","4","","","",""
"6","1919-01-02","Montreal Canadiens","2","Ottawa Senators","7","","","",""
"7","1919-01-04","Ottawa Senators","2","Montreal Canadiens","5","","","",""
"8","1919-01-07","Montreal Canadiens","7","Toronto Arenas","6","","","",""
"9","1919-01-09","Toronto Arenas","2","Ottawa Senators","4","","","",""
"10","1919-01-11","Toronto Arenas","4","Montreal Canadiens","13","","","",""
"11","1919-01-14","Ottawa Senators","2","Toronto Arenas","5","","","",""
"12","1919-01-16","Montreal Canadiens","10","Ottawa Senators","6","","","",""
"13","1919-01-18","Ottawa Senators","3","Montreal Canadiens","5","","","",""
"14","1919-01-21","Montreal Canadiens","3","Toronto Arenas","11","","","",""
"15","1919-01-23","Toronto Arenas","2","Ottawa Senators","3","","","",""
"16","1919-01-25","Ottawa Senators","1","Montreal Canadiens","0","","","",""
"17","1919-01-28","Ottawa Senators","2","Toronto Arenas","1","OT","","",""
"18","1919-01-30","Montreal Canadiens","2","Ottawa Senators","3","OT","","",""
"19","1919-02-01","Toronto Arenas","0","Montreal Canadiens","10","","","",""
"20","1919-02-04","Montreal Canadiens","3","Toronto Arenas","6","","","",""
"21","1919-02-06","Toronto Arenas","1","Ottawa Senators","3","","","",""
"22","1919-02-08","Ottawa Senators","3","Montreal Canadiens","4","","","",""
"23","1919-02-11","Montreal Canadiens","4","Toronto Arenas","6","","","",""
"24","1919-02-13","Montreal Canadiens","0","Ottawa Senators","7","","","",""
"25","1919-02-15","Toronto Arenas","2","Montreal Canadiens","8","","","",""
"26","1919-02-18","Ottawa Senators","4","Toronto Arenas","3","OT","","",""
"27","1919-02-20","Toronto Arenas","3","Ottawa Senators","9","","","",""
