"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1956-03-20","Toronto Maple Leafs","2","Detroit Red Wings","3","","","",""
"2","1956-03-20","New York Rangers","1","Montreal Canadiens","7","","","",""
"3","1956-03-22","Toronto Maple Leafs","1","Detroit Red Wings","3","","","",""
"4","1956-03-22","New York Rangers","4","Montreal Canadiens","2","","","",""
"5","1956-03-24","Montreal Canadiens","3","New York Rangers","1","","","",""
"6","1956-03-24","Detroit Red Wings","5","Toronto Maple Leafs","4","OT","","",""
"7","1956-03-25","Montreal Canadiens","5","New York Rangers","3","","","",""
"8","1956-03-27","New York Rangers","0","Montreal Canadiens","7","","","",""
"9","1956-03-27","Detroit Red Wings","0","Toronto Maple Leafs","2","","","",""
"10","1956-03-29","Toronto Maple Leafs","1","Detroit Red Wings","3","","","",""
"11","1956-03-31","Detroit Red Wings","4","Montreal Canadiens","6","","","",""
"12","1956-04-03","Detroit Red Wings","1","Montreal Canadiens","5","","","",""
"13","1956-04-05","Montreal Canadiens","1","Detroit Red Wings","3","","","",""
"14","1956-04-08","Montreal Canadiens","3","Detroit Red Wings","0","","","",""
"15","1956-04-10","Detroit Red Wings","1","Montreal Canadiens","3","","","",""
