"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1979-04-21","Cincinnati Stingers","3","New England Whalers","5","","","",""
"2","1979-04-22","New England Whalers","3","Cincinnati Stingers","6","","","",""
"3","1979-04-23","Winnipeg Jets","6","Quebec Nordiques","3","","","",""
"4","1979-04-24","Cincinnati Stingers","1","New England Whalers","2","","","",""
"5","1979-04-25","Winnipeg Jets","9","Quebec Nordiques","2","","","",""
"6","1979-04-26","New England Whalers","2","Edmonton Oilers","6","","","",""
"7","1979-04-27","New England Whalers","5","Edmonton Oilers","9","","","",""
"8","1979-04-27","Quebec Nordiques","5","Winnipeg Jets","9","","","",""
"9","1979-04-29","Edmonton Oilers","1","New England Whalers","4","","","",""
"10","1979-04-29","Quebec Nordiques","2","Winnipeg Jets","6","","","",""
"11","1979-05-01","Edmonton Oilers","4","New England Whalers","5","","","",""
"12","1979-05-03","New England Whalers","2","Edmonton Oilers","5","","","",""
"13","1979-05-06","Edmonton Oilers","4","New England Whalers","8","","","",""
"14","1979-05-08","New England Whalers","3","Edmonton Oilers","6","","","",""
"15","1979-05-11","Winnipeg Jets","3","Edmonton Oilers","1","","","",""
"16","1979-05-13","Winnipeg Jets","3","Edmonton Oilers","2","","","",""
"17","1979-05-15","Edmonton Oilers","8","Winnipeg Jets","3","","","",""
"18","1979-05-16","Edmonton Oilers","2","Winnipeg Jets","3","","","",""
"19","1979-05-18","Winnipeg Jets","2","Edmonton Oilers","10","","","",""
"20","1979-05-20","Edmonton Oilers","3","Winnipeg Jets","7","","","",""
