"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1935-11-07","New York Americans","1","Chicago Black Hawks","3","","","",""
"2","1935-11-09","New York Americans","5","Toronto Maple Leafs","5","OT","","",""
"3","1935-11-10","New York Rangers","1","Detroit Red Wings","1","OT","","",""
"4","1935-11-12","New York Rangers","2","Montreal Canadiens","1","OT","","",""
"5","1935-11-14","Chicago Black Hawks","0","Detroit Red Wings","0","OT","","",""
"6","1935-11-14","Toronto Maple Leafs","1","New York Rangers","0","","","",""
"7","1935-11-16","Boston Bruins","0","Montreal Maroons","1","","","",""
"8","1935-11-16","New York Rangers","2","Toronto Maple Leafs","3","","","",""
"9","1935-11-17","New York Rangers","0","Chicago Black Hawks","3","","","",""
"10","1935-11-17","Montreal Canadiens","6","New York Americans","0","","","",""
"11","1935-11-19","New York Americans","0","Boston Bruins","1","","","",""
"12","1935-11-19","Toronto Maple Leafs","7","Montreal Canadiens","2","","","",""
"13","1935-11-19","Detroit Red Wings","2","New York Rangers","2","OT","","",""
"14","1935-11-21","Toronto Maple Leafs","3","Chicago Black Hawks","4","","","",""
"15","1935-11-21","Montreal Canadiens","2","Montreal Maroons","1","","","",""
"16","1935-11-21","Detroit Red Wings","1","New York Americans","3","","","",""
"17","1935-11-23","New York Americans","1","Montreal Canadiens","2","","","",""
"18","1935-11-23","Montreal Maroons","5","Toronto Maple Leafs","2","","","",""
"19","1935-11-24","Montreal Maroons","1","Chicago Black Hawks","2","","","",""
"20","1935-11-24","Toronto Maple Leafs","1","Detroit Red Wings","2","","","",""
"21","1935-11-24","Boston Bruins","0","New York Rangers","1","","","",""
"22","1935-11-26","Toronto Maple Leafs","2","Boston Bruins","1","","","",""
"23","1935-11-26","Chicago Black Hawks","1","Montreal Maroons","4","","","",""
"24","1935-11-26","New York Rangers","1","New York Americans","0","","","",""
"25","1935-11-28","Montreal Canadiens","0","Detroit Red Wings","0","OT","","",""
"26","1935-11-28","Chicago Black Hawks","1","New York Rangers","2","","","",""
"27","1935-11-30","Detroit Red Wings","2","Montreal Maroons","3","","","",""
"28","1935-11-30","Boston Bruins","1","New York Americans","2","","","",""
"29","1935-11-30","Montreal Canadiens","3","Toronto Maple Leafs","8","","","",""
"30","1935-12-01","New York Rangers","0","Boston Bruins","2","","","",""
"31","1935-12-01","Montreal Canadiens","0","Chicago Black Hawks","1","","","",""
"32","1935-12-03","Chicago Black Hawks","3","Boston Bruins","1","","","",""
"33","1935-12-03","Montreal Maroons","3","Montreal Canadiens","2","","","",""
"34","1935-12-05","Boston Bruins","1","Detroit Red Wings","2","","","",""
"35","1935-12-05","New York Americans","2","Montreal Maroons","1","","","",""
"36","1935-12-07","Detroit Red Wings","3","Montreal Canadiens","2","","","",""
"37","1935-12-07","Chicago Black Hawks","1","Toronto Maple Leafs","2","OT","","",""
"38","1935-12-08","Boston Bruins","0","Chicago Black Hawks","1","","","",""
"39","1935-12-08","New York Americans","1","Detroit Red Wings","1","OT","","",""
"40","1935-12-08","Montreal Maroons","3","New York Rangers","3","OT","","",""
"41","1935-12-10","Montreal Maroons","0","Boston Bruins","2","","","",""
"42","1935-12-10","Toronto Maple Leafs","2","New York Americans","4","","","",""
"43","1935-12-12","Detroit Red Wings","3","Chicago Black Hawks","1","","","",""
"44","1935-12-12","Boston Bruins","1","Montreal Canadiens","1","OT","","",""
"45","1935-12-12","New York Americans","2","New York Rangers","5","OT","","",""
"46","1935-12-14","New York Rangers","6","Montreal Maroons","2","","","",""
"47","1935-12-14","Detroit Red Wings","4","Toronto Maple Leafs","2","OT","","",""
"48","1935-12-15","Montreal Canadiens","1","Boston Bruins","2","","","",""
"49","1935-12-15","New York Rangers","2","Detroit Red Wings","4","","","",""
"50","1935-12-15","Chicago Black Hawks","0","New York Americans","3","","","",""
"51","1935-12-17","Detroit Red Wings","1","Boston Bruins","4","","","",""
"52","1935-12-17","Toronto Maple Leafs","1","Montreal Maroons","0","","","",""
"53","1935-12-17","Montreal Canadiens","1","New York Rangers","1","OT","","",""
"54","1935-12-19","Chicago Black Hawks","2","Montreal Canadiens","2","OT","","",""
"55","1935-12-19","Detroit Red Wings","3","New York Americans","1","","","",""
"56","1935-12-19","Boston Bruins","0","Toronto Maple Leafs","0","OT","","",""
"57","1935-12-21","Montreal Maroons","2","Montreal Canadiens","1","","","",""
"58","1935-12-21","New York Americans","3","Toronto Maple Leafs","5","","","",""
"59","1935-12-22","New York Americans","3","Chicago Black Hawks","2","OT","","",""
"60","1935-12-22","Montreal Maroons","2","Detroit Red Wings","2","OT","","",""
"61","1935-12-22","Boston Bruins","1","New York Rangers","3","","","",""
"62","1935-12-25","New York Rangers","3","Boston Bruins","2","","","",""
"63","1935-12-25","Chicago Black Hawks","2","Detroit Red Wings","0","","","",""
"64","1935-12-26","Toronto Maple Leafs","2","Montreal Canadiens","0","","","",""
"65","1935-12-26","Montreal Maroons","2","New York Americans","1","","","",""
"66","1935-12-28","Boston Bruins","6","Montreal Maroons","3","","","",""
"67","1935-12-28","New York Rangers","3","Toronto Maple Leafs","9","","","",""
"68","1935-12-29","New York Rangers","1","Chicago Black Hawks","3","","","",""
"69","1935-12-29","Boston Bruins","4","Detroit Red Wings","3","OT","","",""
"70","1935-12-29","Montreal Canadiens","1","New York Americans","5","","","",""
"71","1935-12-31","Montreal Maroons","0","New York Rangers","1","","","",""
"72","1936-01-01","Montreal Canadiens","2","Boston Bruins","0","","","",""
"73","1936-01-01","Detroit Red Wings","4","Chicago Black Hawks","2","","","",""
"74","1936-01-02","Toronto Maple Leafs","2","Montreal Maroons","5","","","",""
"75","1936-01-02","New York Americans","6","New York Rangers","3","","","",""
"76","1936-01-04","Boston Bruins","1","Montreal Canadiens","1","OT","","",""
"77","1936-01-04","Montreal Maroons","1","Toronto Maple Leafs","1","OT","","",""
"78","1936-01-05","Montreal Maroons","3","Chicago Black Hawks","2","","","",""
"79","1936-01-05","Montreal Canadiens","2","Detroit Red Wings","5","","","",""
"80","1936-01-05","New York Rangers","0","New York Americans","0","OT","","",""
"81","1936-01-07","Chicago Black Hawks","0","Boston Bruins","2","","","",""
"82","1936-01-07","Detroit Red Wings","2","New York Rangers","1","","","",""
"83","1936-01-09","Montreal Maroons","1","Montreal Canadiens","1","OT","","",""
"84","1936-01-09","Chicago Black Hawks","4","New York Americans","1","","","",""
"85","1936-01-11","New York Americans","2","Montreal Maroons","3","","","",""
"86","1936-01-11","Montreal Canadiens","7","Toronto Maple Leafs","3","","","",""
"87","1936-01-12","Montreal Canadiens","2","Chicago Black Hawks","1","","","",""
"88","1936-01-12","Montreal Maroons","0","Detroit Red Wings","6","","","",""
"89","1936-01-12","Boston Bruins","6","New York Rangers","3","","","",""
"90","1936-01-14","Toronto Maple Leafs","1","Boston Bruins","4","","","",""
"91","1936-01-14","New York Rangers","2","Montreal Maroons","1","","","",""
"92","1936-01-14","Montreal Canadiens","1","New York Americans","0","","","",""
"93","1936-01-16","Detroit Red Wings","1","Chicago Black Hawks","4","","","",""
"94","1936-01-16","New York Americans","8","Montreal Canadiens","3","","","",""
"95","1936-01-16","Toronto Maple Leafs","0","New York Rangers","1","","","",""
"96","1936-01-18","New York Rangers","1","Montreal Canadiens","3","","","",""
"97","1936-01-18","Boston Bruins","2","Toronto Maple Leafs","5","","","",""
"98","1936-01-19","Boston Bruins","1","Chicago Black Hawks","2","","","",""
"99","1936-01-19","Toronto Maple Leafs","0","Detroit Red Wings","4","","","",""
"100","1936-01-19","Montreal Maroons","2","New York Americans","1","","","",""
"101","1936-01-21","Montreal Maroons","0","Boston Bruins","1","","","",""
"102","1936-01-21","Chicago Black Hawks","1","New York Rangers","0","","","",""
"103","1936-01-23","New York Rangers","2","Detroit Red Wings","4","","","",""
"104","1936-01-23","Chicago Black Hawks","1","Montreal Canadiens","1","OT","","",""
"105","1936-01-23","Toronto Maple Leafs","2","New York Americans","3","OT","","",""
"106","1936-01-25","Montreal Canadiens","1","Montreal Maroons","4","","","",""
"107","1936-01-25","Detroit Red Wings","1","Toronto Maple Leafs","6","","","",""
"108","1936-01-26","New York Rangers","1","Chicago Black Hawks","2","","","",""
"109","1936-01-26","Boston Bruins","2","New York Americans","1","","","",""
"110","1936-01-28","Detroit Red Wings","0","Boston Bruins","2","","","",""
"111","1936-01-28","Montreal Canadiens","2","New York Rangers","3","OT","","",""
"112","1936-01-30","Chicago Black Hawks","4","Detroit Red Wings","3","","","",""
"113","1936-01-30","Toronto Maple Leafs","0","Montreal Canadiens","3","","","",""
"114","1936-01-30","Montreal Maroons","3","New York Americans","2","","","",""
"115","1936-02-01","Detroit Red Wings","3","Montreal Canadiens","1","","","",""
"116","1936-02-01","Chicago Black Hawks","2","Toronto Maple Leafs","3","OT","","",""
"117","1936-02-02","New York Americans","1","Boston Bruins","2","OT","","",""
"118","1936-02-02","Toronto Maple Leafs","0","Chicago Black Hawks","2","","","",""
"119","1936-02-02","Montreal Maroons","2","New York Rangers","4","","","",""
"120","1936-02-04","Toronto Maple Leafs","3","Boston Bruins","0","","","",""
"121","1936-02-04","New York Americans","1","Montreal Maroons","1","OT","","",""
"122","1936-02-04","Detroit Red Wings","4","New York Rangers","4","OT","","",""
"123","1936-02-06","Detroit Red Wings","1","Chicago Black Hawks","0","","","",""
"124","1936-02-06","Boston Bruins","4","Montreal Canadiens","3","","","",""
"125","1936-02-06","Toronto Maple Leafs","3","New York Americans","4","","","",""
"126","1936-02-08","Montreal Canadiens","2","Montreal Maroons","7","","","",""
"127","1936-02-08","New York Americans","0","Toronto Maple Leafs","3","","","",""
"128","1936-02-09","New York Americans","4","Chicago Black Hawks","1","","","",""
"129","1936-02-09","Boston Bruins","0","New York Rangers","2","","","",""
"130","1936-02-11","Chicago Black Hawks","1","Boston Bruins","7","","","",""
"131","1936-02-11","Montreal Maroons","3","Detroit Red Wings","7","","","",""
"132","1936-02-11","New York Rangers","1","Montreal Canadiens","1","OT","","",""
"133","1936-02-13","Boston Bruins","0","Detroit Red Wings","1","","","",""
"134","1936-02-13","Toronto Maple Leafs","1","Montreal Maroons","2","","","",""
"135","1936-02-13","Chicago Black Hawks","2","New York Americans","2","OT","","",""
"136","1936-02-15","New York Americans","4","Montreal Maroons","4","OT","","",""
"137","1936-02-15","Detroit Red Wings","2","Toronto Maple Leafs","3","OT","","",""
"138","1936-02-16","Boston Bruins","2","Chicago Black Hawks","4","","","",""
"139","1936-02-16","Montreal Canadiens","1","New York Rangers","1","OT","","",""
"140","1936-02-18","Detroit Red Wings","2","Boston Bruins","1","","","",""
"141","1936-02-18","Chicago Black Hawks","3","Montreal Canadiens","3","OT","","",""
"142","1936-02-19","Montreal Maroons","8","New York Americans","8","OT","","",""
"143","1936-02-20","Detroit Red Wings","3","Montreal Maroons","6","","","",""
"144","1936-02-20","Chicago Black Hawks","1","New York Rangers","1","OT","","",""
"145","1936-02-20","Montreal Canadiens","1","Toronto Maple Leafs","2","","","",""
"146","1936-02-22","New York Americans","0","Montreal Canadiens","1","","","",""
"147","1936-02-22","Montreal Maroons","0","Toronto Maple Leafs","1","","","",""
"148","1936-02-23","New York Rangers","4","Boston Bruins","3","","","",""
"149","1936-02-23","Toronto Maple Leafs","1","Chicago Black Hawks","5","","","",""
"150","1936-02-23","New York Americans","3","Detroit Red Wings","4","","","",""
"151","1936-02-25","New York Americans","2","Boston Bruins","3","","","",""
"152","1936-02-25","Chicago Black Hawks","2","Montreal Maroons","0","","","",""
"153","1936-02-25","New York Rangers","2","Toronto Maple Leafs","2","OT","","",""
"154","1936-02-27","New York Rangers","2","Detroit Red Wings","4","","","",""
"155","1936-02-27","Boston Bruins","2","Montreal Maroons","1","","","",""
"156","1936-02-29","Montreal Maroons","4","Montreal Canadiens","2","","","",""
"157","1936-02-29","Chicago Black Hawks","2","Toronto Maple Leafs","4","","","",""
"158","1936-03-01","New York Rangers","1","Chicago Black Hawks","2","","","",""
"159","1936-03-01","Montreal Canadiens","1","Detroit Red Wings","3","","","",""
"160","1936-03-01","Boston Bruins","2","New York Americans","5","","","",""
"161","1936-03-03","Montreal Maroons","3","Boston Bruins","3","OT","","",""
"162","1936-03-03","New York Americans","1","Montreal Canadiens","3","","","",""
"163","1936-03-03","Toronto Maple Leafs","0","New York Rangers","0","OT","","",""
"164","1936-03-05","Boston Bruins","2","Chicago Black Hawks","2","OT","","",""
"165","1936-03-05","Detroit Red Wings","4","New York Americans","1","","","",""
"166","1936-03-07","Detroit Red Wings","3","Montreal Maroons","5","","","",""
"167","1936-03-07","Montreal Canadiens","1","Toronto Maple Leafs","8","","","",""
"168","1936-03-08","Montreal Canadiens","0","Chicago Black Hawks","2","","","",""
"169","1936-03-08","Boston Bruins","5","Detroit Red Wings","2","","","",""
"170","1936-03-08","New York Americans","1","New York Rangers","0","","","",""
"171","1936-03-10","Detroit Red Wings","0","Boston Bruins","1","OT","","",""
"172","1936-03-10","New York Rangers","0","Montreal Maroons","0","OT","","",""
