"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1956-10-11","Toronto Maple Leafs","4","Boston Bruins","4","","","",""
"2","1956-10-11","Chicago Black Hawks","1","Detroit Red Wings","3","","","",""
"3","1956-10-12","New York Rangers","3","Chicago Black Hawks","0","","","",""
"4","1956-10-13","Boston Bruins","0","Montreal Canadiens","3","","","",""
"5","1956-10-13","Detroit Red Wings","4","Toronto Maple Leafs","1","","","",""
"6","1956-10-14","Montreal Canadiens","1","Boston Bruins","3","","","",""
"7","1956-10-14","Toronto Maple Leafs","1","Chicago Black Hawks","0","","","",""
"8","1956-10-14","New York Rangers","1","Detroit Red Wings","2","","","",""
"9","1956-10-17","Boston Bruins","0","New York Rangers","2","","","",""
"10","1956-10-18","Toronto Maple Leafs","3","Detroit Red Wings","3","","","",""
"11","1956-10-18","Chicago Black Hawks","1","Montreal Canadiens","1","","","",""
"12","1956-10-20","New York Rangers","0","Montreal Canadiens","5","","","",""
"13","1956-10-20","Boston Bruins","2","Toronto Maple Leafs","2","","","",""
"14","1956-10-21","Boston Bruins","3","Detroit Red Wings","3","","","",""
"15","1956-10-21","Chicago Black Hawks","1","New York Rangers","4","","","",""
"16","1956-10-24","Montreal Canadiens","2","New York Rangers","3","","","",""
"17","1956-10-25","Chicago Black Hawks","1","Detroit Red Wings","3","","","",""
"18","1956-10-25","Toronto Maple Leafs","3","Montreal Canadiens","2","","","",""
"19","1956-10-27","Boston Bruins","1","Montreal Canadiens","0","","","",""
"20","1956-10-27","Chicago Black Hawks","2","Toronto Maple Leafs","5","","","",""
"21","1956-10-28","Montreal Canadiens","1","Detroit Red Wings","4","","","",""
"22","1956-10-28","Toronto Maple Leafs","1","New York Rangers","1","","","",""
"23","1956-10-30","Boston Bruins","0","Chicago Black Hawks","4","","","",""
"24","1956-10-31","New York Rangers","2","Toronto Maple Leafs","7","","","",""
"25","1956-11-01","Chicago Black Hawks","2","Boston Bruins","5","","","",""
"26","1956-11-01","Detroit Red Wings","3","Montreal Canadiens","4","","","",""
