"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1919-12-23","Toronto St. Patricks","0","Ottawa Senators","3","","","",""
"2","1919-12-24","Montreal Canadiens","12","Quebec Athletic Club/Bulldogs","5","","","",""
"3","1919-12-27","Ottawa Senators","2","Montreal Canadiens","0","","","",""
"4","1919-12-27","Quebec Athletic Club/Bulldogs","4","Toronto St. Patricks","7","","","",""
"5","1919-12-31","Montreal Canadiens","1","Toronto St. Patricks","5","","","",""
"6","1920-01-01","Ottawa Senators","3","Quebec Athletic Club/Bulldogs","2","","","",""
"7","1920-01-03","Ottawa Senators","3","Toronto St. Patricks","4","","","",""
"8","1920-01-07","Montreal Canadiens","3","Ottawa Senators","4","","","",""
"9","1920-01-07","Toronto St. Patricks","5","Quebec Athletic Club/Bulldogs","7","","","",""
"10","1920-01-10","Toronto St. Patricks","7","Montreal Canadiens","14","","","",""
"11","1920-01-10","Quebec Athletic Club/Bulldogs","1","Ottawa Senators","7","","","",""
"12","1920-01-12","Quebec Athletic Club/Bulldogs","3","Montreal Canadiens","7","","","",""
"13","1920-01-14","Ottawa Senators","2","Quebec Athletic Club/Bulldogs","1","","","",""
"14","1920-01-14","Montreal Canadiens","4","Toronto St. Patricks","3","","","",""
"15","1920-01-17","Ottawa Senators","2","Montreal Canadiens","3","","","",""
"16","1920-01-17","Quebec Athletic Club/Bulldogs","3","Toronto St. Patricks","8","","","",""
"17","1920-01-21","Toronto St. Patricks","2","Montreal Canadiens","3","","","",""
"18","1920-01-21","Quebec Athletic Club/Bulldogs","1","Ottawa Senators","12","","","",""
"19","1920-01-24","Montreal Canadiens","8","Quebec Athletic Club/Bulldogs","4","","","",""
"20","1920-01-24","Ottawa Senators","3","Toronto St. Patricks","5","","","",""
"21","1920-01-28","Quebec Athletic Club/Bulldogs","3","Montreal Canadiens","4","OT","","",""
"22","1920-01-28","Toronto St. Patricks","0","Ottawa Senators","7","","","",""
"23","1920-01-31","Montreal Canadiens","3","Ottawa Senators","11","","","",""
"24","1920-01-31","Toronto St. Patricks","6","Quebec Athletic Club/Bulldogs","10","","","",""
"25","1920-02-04","Ottawa Senators","5","Quebec Athletic Club/Bulldogs","0","","","",""
"26","1920-02-04","Montreal Canadiens","6","Toronto St. Patricks","5","","","",""
"27","1920-02-07","Quebec Athletic Club/Bulldogs","2","Montreal Canadiens","6","","","",""
"28","1920-02-07","Toronto St. Patricks","4","Ottawa Senators","3","","","",""
"29","1920-02-11","Montreal Canadiens","3","Ottawa Senators","4","","","",""
"30","1920-02-11","Quebec Athletic Club/Bulldogs","2","Toronto St. Patricks","7","","","",""
"31","1920-02-14","Ottawa Senators","3","Montreal Canadiens","2","OT","","",""
"32","1920-02-16","Toronto St. Patricks","4","Quebec Athletic Club/Bulldogs","3","","","",""
"33","1920-02-18","Toronto St. Patricks","8","Montreal Canadiens","2","","","",""
"34","1920-02-18","Quebec Athletic Club/Bulldogs","3","Ottawa Senators","9","","","",""
"35","1920-02-21","Montreal Canadiens","7","Quebec Athletic Club/Bulldogs","8","OT","","",""
"36","1920-02-21","Ottawa Senators","5","Toronto St. Patricks","3","","","",""
"37","1920-02-25","Montreal Canadiens","3","Ottawa Senators","6","","","",""
"38","1920-02-25","Toronto St. Patricks","8","Quebec Athletic Club/Bulldogs","2","","","",""
"39","1920-02-28","Quebec Athletic Club/Bulldogs","6","Montreal Canadiens","8","","","",""
"40","1920-02-28","Ottawa Senators","1","Toronto St. Patricks","0","","","",""
"41","1920-03-03","Toronto St. Patricks","4","Ottawa Senators","7","","","",""
"42","1920-03-03","Montreal Canadiens","16","Quebec Athletic Club/Bulldogs","3","","","",""
"43","1920-03-06","Ottawa Senators","4","Montreal Canadiens","3","OT","","",""
"44","1920-03-06","Quebec Athletic Club/Bulldogs","2","Toronto St. Patricks","11","","","",""
"45","1920-03-08","Quebec Athletic Club/Bulldogs","6","Ottawa Senators","11","","","",""
"46","1920-03-10","Toronto St. Patricks","2","Montreal Canadiens","7","","","",""
"47","1920-03-10","Ottawa Senators","4","Quebec Athletic Club/Bulldogs","10","","","",""
"48","1920-03-13","Montreal Canadiens","4","Toronto St. Patricks","11","","","",""
