"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1960-03-23","Detroit Red Wings","2","Toronto Maple Leafs","1","","","",""
"2","1960-03-24","Chicago Black Hawks","3","Montreal Canadiens","4","","","",""
"3","1960-03-26","Chicago Black Hawks","3","Montreal Canadiens","4","OT","","",""
"4","1960-03-26","Detroit Red Wings","2","Toronto Maple Leafs","4","","","",""
"5","1960-03-27","Toronto Maple Leafs","5","Detroit Red Wings","4","3OT","","",""
"6","1960-03-29","Montreal Canadiens","4","Chicago Black Hawks","0","","","",""
"7","1960-03-29","Toronto Maple Leafs","1","Detroit Red Wings","2","OT","","",""
"8","1960-03-31","Montreal Canadiens","2","Chicago Black Hawks","0","","","",""
"9","1960-04-02","Detroit Red Wings","4","Toronto Maple Leafs","5","","","",""
"10","1960-04-03","Toronto Maple Leafs","4","Detroit Red Wings","2","","","",""
"11","1960-04-07","Toronto Maple Leafs","2","Montreal Canadiens","4","","","",""
"12","1960-04-09","Toronto Maple Leafs","1","Montreal Canadiens","2","","","",""
"13","1960-04-12","Montreal Canadiens","5","Toronto Maple Leafs","2","","","",""
"14","1960-04-14","Montreal Canadiens","4","Toronto Maple Leafs","0","","","",""
