"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"83","1977-11-30","New England Whalers","3","Houston Aeros","3","","","",""
"84","1977-12-01","Quebec Nordiques","4","Indianapolis Racers","5","","","",""
"85","1977-12-02","Birmingham Bulls","7","Edmonton Oilers","5","","","",""
"86","1977-12-02","Indianapolis Racers","4","Houston Aeros","2","","","",""
"87","1977-12-02","Winnipeg Jets","1","New England Whalers","4","","","",""
"88","1977-12-03","Cincinnati Stingers","5","New England Whalers","2","","","",""
"89","1977-12-03","Winnipeg Jets","5","Quebec Nordiques","6","","","",""
"90","1977-12-04","Indianapolis Racers","0","Birmingham Bulls","3","","","",""
"91","1977-12-04","Houston Aeros","3","Cincinnati Stingers","2","","","",""
"92","1977-12-04","Edmonton Oilers","3","Winnipeg Jets","2","","","",""
"93","1977-12-06","New England Whalers","2","Indianapolis Racers","5","","","",""
"94","1977-12-06","Houston Aeros","3","Quebec Nordiques","4","OT","","",""
"95","1977-12-07","New England Whalers","6","Birmingham Bulls","3","","","",""
"96","1977-12-07","Cincinnati Stingers","4","Edmonton Oilers","5","OT","","",""
"97","1977-12-07","Houston Aeros","2","Winnipeg Jets","5","","","",""
"98","1977-12-09","New England Whalers","2","Birmingham Bulls","1","OT","","",""
"99","1977-12-09","Houston Aeros","5","Edmonton Oilers","3","","","",""
"100","1977-12-09","Czechoslovakia","5","Indianapolis Racers","3","","","",""
"101","1977-12-09","Cincinnati Stingers","4","Winnipeg Jets","3","OT","","",""
"102","1977-12-10","Indianapolis Racers","3","Quebec Nordiques","5","","","",""
"103","1977-12-11","Houston Aeros","4","Edmonton Oilers","2","","","",""
"104","1977-12-11","Czechoslovakia","4","Quebec Nordiques","8","","","",""
"105","1977-12-11","Indianapolis Racers","1","Winnipeg Jets","7","","","",""
"106","1977-12-13","Birmingham Bulls","5","Houston Aeros","3","","","",""
"107","1977-12-13","Czechoslovakia","1","Winnipeg Jets","5","","","",""
"108","1977-12-14","Indianapolis Racers","1","Cincinnati Stingers","3","","","",""
"109","1977-12-14","Czechoslovakia","1","Edmonton Oilers","6","","","",""
"110","1977-12-14","Soviet All-Stars","2","New England Whalers","7","","","",""
"111","1977-12-15","Cincinnati Stingers","3","Birmingham Bulls","5","","","",""
"112","1977-12-15","Houston Aeros","3","Indianapolis Racers","3","","","",""
"113","1977-12-16","Czechoslovakia","3","New England Whalers","5","","","",""
"114","1977-12-17","Soviet All-Stars","5","Cincinnati Stingers","4","","","",""
"115","1977-12-17","Winnipeg Jets","6","New England Whalers","3","","","",""
"116","1977-12-18","Edmonton Oilers","2","Birmingham Bulls","3","","","",""
"117","1977-12-18","Czechoslovakia","2","Houston Aeros","3","","","",""
"118","1977-12-18","Soviet All-Stars","4","Indianapolis Racers","3","","","",""
"119","1977-12-18","New England Whalers","3","Winnipeg Jets","7","","","",""
"120","1977-12-20","Czechoslovakia","5","Cincinnati Stingers","5","","","",""
"121","1977-12-20","Edmonton Oilers","4","Houston Aeros","6","","","",""
"122","1977-12-20","Soviet All-Stars","4","Winnipeg Jets","6","","","",""
"123","1977-12-21","Czechoslovakia","0","Birmingham Bulls","5","","","",""
"124","1977-12-21","Soviet All-Stars","2","Edmonton Oilers","5","","","",""
"125","1977-12-21","Winnipeg Jets","4","Houston Aeros","3","","","",""
"126","1977-12-22","Cincinnati Stingers","4","Indianapolis Racers","1","","","",""
"127","1977-12-23","Winnipeg Jets","6","Cincinnati Stingers","4","","","",""
"128","1977-12-23","Soviet All-Stars","6","Houston Aeros","2","","","",""
"129","1977-12-23","Indianapolis Racers","3","New England Whalers","5","","","",""
"130","1977-12-26","Soviet All-Stars","1","Birmingham Bulls","6","","","",""
"131","1977-12-26","Quebec Nordiques","4","Winnipeg Jets","9","","","",""
"132","1977-12-27","Quebec Nordiques","3","Edmonton Oilers","9","","","",""
"133","1977-12-27","Birmingham Bulls","1","New England Whalers","8","","","",""
"134","1977-12-28","Indianapolis Racers","4","Cincinnati Stingers","5","OT","","",""
"135","1977-12-29","Birmingham Bulls","7","Cincinnati Stingers","1","","","",""
"136","1977-12-29","Houston Aeros","7","Indianapolis Racers","1","","","",""
"137","1977-12-30","Indianapolis Racers","5","Edmonton Oilers","8","","","",""
"138","1977-12-30","Cincinnati Stingers","5","Houston Aeros","5","","","",""
"139","1977-12-30","Birmingham Bulls","2","New England Whalers","6","","","",""
"140","1978-01-01","Quebec Nordiques","5","Birmingham Bulls","2","","","",""
"141","1978-01-01","New England Whalers","4","Cincinnati Stingers","3","OT","","",""
