"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1959-03-24","Toronto Maple Leafs","1","Boston Bruins","5","","","",""
"2","1959-03-24","Chicago Black Hawks","2","Montreal Canadiens","4","","","",""
"3","1959-03-26","Toronto Maple Leafs","2","Boston Bruins","4","","","",""
"4","1959-03-26","Chicago Black Hawks","1","Montreal Canadiens","5","","","",""
"5","1959-03-28","Montreal Canadiens","2","Chicago Black Hawks","4","","","",""
"6","1959-03-28","Boston Bruins","2","Toronto Maple Leafs","3","OT","","",""
"7","1959-03-31","Montreal Canadiens","1","Chicago Black Hawks","3","","","",""
"8","1959-03-31","Boston Bruins","2","Toronto Maple Leafs","3","OT","","",""
"9","1959-04-02","Toronto Maple Leafs","4","Boston Bruins","1","","","",""
"10","1959-04-02","Chicago Black Hawks","2","Montreal Canadiens","4","","","",""
"11","1959-04-04","Montreal Canadiens","5","Chicago Black Hawks","4","","","",""
"12","1959-04-04","Boston Bruins","5","Toronto Maple Leafs","4","","","",""
"13","1959-04-07","Toronto Maple Leafs","3","Boston Bruins","2","","","",""
"14","1959-04-09","Toronto Maple Leafs","3","Montreal Canadiens","5","","","",""
"15","1959-04-11","Toronto Maple Leafs","1","Montreal Canadiens","3","","","",""
"16","1959-04-14","Montreal Canadiens","2","Toronto Maple Leafs","3","OT","","",""
"17","1959-04-16","Montreal Canadiens","3","Toronto Maple Leafs","2","","","",""
"18","1959-04-18","Toronto Maple Leafs","3","Montreal Canadiens","5","","","",""
