"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1967-04-06","Toronto Maple Leafs","2","Chicago Black Hawks","5","","","",""
"2","1967-04-06","New York Rangers","4","Montreal Canadiens","6","","","",""
"3","1967-04-08","New York Rangers","1","Montreal Canadiens","3","","","",""
"4","1967-04-09","Toronto Maple Leafs","3","Chicago Black Hawks","1","","","",""
"5","1967-04-11","Montreal Canadiens","3","New York Rangers","2","","","",""
"6","1967-04-11","Chicago Black Hawks","1","Toronto Maple Leafs","3","","","",""
"7","1967-04-13","Montreal Canadiens","2","New York Rangers","1","OT","","",""
"8","1967-04-13","Chicago Black Hawks","4","Toronto Maple Leafs","3","","","",""
"9","1967-04-15","Toronto Maple Leafs","4","Chicago Black Hawks","2","","","",""
"10","1967-04-18","Chicago Black Hawks","1","Toronto Maple Leafs","3","","","",""
"11","1967-04-20","Toronto Maple Leafs","2","Montreal Canadiens","6","","","",""
"12","1967-04-22","Toronto Maple Leafs","3","Montreal Canadiens","0","","","",""
"13","1967-04-25","Montreal Canadiens","2","Toronto Maple Leafs","3","2OT","","",""
"14","1967-04-27","Montreal Canadiens","6","Toronto Maple Leafs","2","","","",""
"15","1967-04-29","Toronto Maple Leafs","4","Montreal Canadiens","1","","","",""
"16","1967-05-02","Montreal Canadiens","1","Toronto Maple Leafs","3","","","",""
