"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1976-10-07","Minnesota Fighting Saints","2","Cincinnati Stingers","7","","","",""
"2","1976-10-08","Houston Aeros","2","Birmingham Bulls","4","","","",""
"3","1976-10-08","New England Whalers","0","Edmonton Oilers","2","","","",""
"4","1976-10-08","Minnesota Fighting Saints","3","Indianapolis Racers","4","","","",""
"5","1976-10-08","Cincinnati Stingers","6","Phoenix Roadrunners","8","","","",""
"6","1976-10-08","Calgary Cowboys","1","Winnipeg Jets","4","","","",""
"7","1976-10-09","Phoenix Roadrunners","3","Houston Aeros","5","","","",""
"8","1976-10-09","Calgary Cowboys","2","Quebec Nordiques","5","","","",""
"9","1976-10-09","Cincinnati Stingers","7","San Diego Mariners","7","","","",""
"10","1976-10-10","Indianapolis Racers","1","Minnesota Fighting Saints","4","","","",""
"11","1976-10-10","Birmingham Bulls","3","Quebec Nordiques","4","OT","","",""
"12","1976-10-10","New England Whalers","2","Winnipeg Jets","5","","","",""
"13","1976-10-12","Calgary Cowboys","2","Birmingham Bulls","6","","","",""
"14","1976-10-12","San Diego Mariners","4","Quebec Nordiques","6","","","",""
"15","1976-10-13","Calgary Cowboys","1","Houston Aeros","2","","","",""
"16","1976-10-14","Cincinnati Stingers","7","Birmingham Bulls","7","","","",""
"17","1976-10-14","Minnesota Fighting Saints","3","Phoenix Roadrunners","4","","","",""
"18","1976-10-15","Winnipeg Jets","6","Edmonton Oilers","1","","","",""
"19","1976-10-15","Cincinnati Stingers","5","Indianapolis Racers","6","OT","","",""
"20","1976-10-15","San Diego Mariners","7","Minnesota Fighting Saints","4","","","",""
"21","1976-10-16","Birmingham Bulls","0","Houston Aeros","3","","","",""
"22","1976-10-16","Quebec Nordiques","8","New England Whalers","2","","","",""
"23","1976-10-16","Winnipeg Jets","4","Phoenix Roadrunners","6","","","",""
"24","1976-10-16","Calgary Cowboys","2","San Diego Mariners","4","","","",""
"25","1976-10-17","Indianapolis Racers","2","Edmonton Oilers","7","","","",""
"26","1976-10-17","Birmingham Bulls","1","Minnesota Fighting Saints","6","","","",""
"27","1976-10-17","Cincinnati Stingers","5","Quebec Nordiques","2","","","",""
"28","1976-10-17","Winnipeg Jets","1","San Diego Mariners","3","","","",""
"29","1976-10-19","Quebec Nordiques","6","Birmingham Bulls","5","OT","","",""
"30","1976-10-19","Phoenix Roadrunners","4","Edmonton Oilers","5","OT","","",""
"31","1976-10-19","New England Whalers","4","Houston Aeros","4","","","",""
"32","1976-10-19","Cincinnati Stingers","4","Minnesota Fighting Saints","2","","","",""
"33","1976-10-19","Indianapolis Racers","1","Winnipeg Jets","6","","","",""
"34","1976-10-21","Houston Aeros","5","Birmingham Bulls","8","","","",""
"35","1976-10-21","Quebec Nordiques","4","Calgary Cowboys","2","","","",""
"36","1976-10-21","Indianapolis Racers","4","San Diego Mariners","4","","","",""
"37","1976-10-22","Calgary Cowboys","2","Minnesota Fighting Saints","2","","","",""
"38","1976-10-22","Houston Aeros","2","New England Whalers","5","","","",""
"39","1976-10-22","Phoenix Roadrunners","4","Winnipeg Jets","3","OT","","",""
"40","1976-10-23","Birmingham Bulls","3","Indianapolis Racers","1","","","",""
"41","1976-10-23","Cincinnati Stingers","4","New England Whalers","5","","","",""
"42","1976-10-23","Houston Aeros","2","Quebec Nordiques","6","","","",""
"43","1976-10-24","San Diego Mariners","0","Calgary Cowboys","6","","","",""
"44","1976-10-24","Phoenix Roadrunners","5","Edmonton Oilers","3","","","",""
"45","1976-10-24","Birmingham Bulls","1","Winnipeg Jets","7","","","",""
"46","1976-10-26","Birmingham Bulls","3","Calgary Cowboys","9","","","",""
"47","1976-10-26","Edmonton Oilers","1","Houston Aeros","3","","","",""
"48","1976-10-26","San Diego Mariners","1","Minnesota Fighting Saints","3","","","",""
"49","1976-10-26","Cincinnati Stingers","1","New England Whalers","0","","","",""
"50","1976-10-26","Phoenix Roadrunners","3","Quebec Nordiques","11","","","",""
"51","1976-10-27","San Diego Mariners","5","Indianapolis Racers","1","","","",""
"52","1976-10-28","Edmonton Oilers","4","Birmingham Bulls","3","OT","","",""
"53","1976-10-28","Minnesota Fighting Saints","1","Houston Aeros","1","","","",""
"54","1976-10-29","San Diego Mariners","2","Cincinnati Stingers","4","","","",""
"55","1976-10-29","Quebec Nordiques","4","Indianapolis Racers","6","","","",""
"56","1976-10-29","Phoenix Roadrunners","1","New England Whalers","5","","","",""
"57","1976-10-29","Edmonton Oilers","3","Winnipeg Jets","11","","","",""
"58","1976-10-30","Houston Aeros","4","Calgary Cowboys","6","","","",""
"59","1976-10-30","Phoenix Roadrunners","3","Cincinnati Stingers","9","","","",""
"60","1976-10-30","Birmingham Bulls","4","New England Whalers","5","","","",""
"61","1976-10-30","Minnesota Fighting Saints","1","Quebec Nordiques","5","","","",""
"62","1976-10-31","Houston Aeros","4","Edmonton Oilers","0","","","",""
"63","1976-10-31","San Diego Mariners","4","Winnipeg Jets","6","","","",""
"64","1976-11-02","San Diego Mariners","4","Birmingham Bulls","3","OT","","",""
"65","1976-11-02","Minnesota Fighting Saints","3","Calgary Cowboys","4","","","",""
"66","1976-11-02","Phoenix Roadrunners","5","Quebec Nordiques","3","","","",""
"67","1976-11-02","Houston Aeros","3","Winnipeg Jets","1","","","",""
"68","1976-11-03","Indianapolis Racers","2","Cincinnati Stingers","8","","","",""
"69","1976-11-03","Minnesota Fighting Saints","2","Edmonton Oilers","4","","","",""
"70","1976-11-04","Phoenix Roadrunners","3","Birmingham Bulls","5","","","",""
"71","1976-11-04","Edmonton Oilers","2","Calgary Cowboys","4","","","",""
"72","1976-11-04","Cincinnati Stingers","2","Indianapolis Racers","5","","","",""
"73","1976-11-05","New England Whalers","4","Edmonton Oilers","3","","","",""
