"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1961-10-11","New York Rangers","6","Boston Bruins","2","","","",""
"2","1961-10-12","Toronto Maple Leafs","4","Detroit Red Wings","2","","","",""
"3","1961-10-12","Boston Bruins","3","New York Rangers","6","","","",""
"4","1961-10-14","Chicago Black Hawks","3","Detroit Red Wings","3","","","",""
"5","1961-10-14","New York Rangers","1","Montreal Canadiens","3","","","",""
"6","1961-10-14","Boston Bruins","2","Toronto Maple Leafs","3","","","",""
"7","1961-10-15","Montreal Canadiens","5","Boston Bruins","5","","","",""
"8","1961-10-15","Detroit Red Wings","2","Chicago Black Hawks","2","","","",""
"9","1961-10-15","Toronto Maple Leafs","1","New York Rangers","2","","","",""
"10","1961-10-17","Boston Bruins","3","Chicago Black Hawks","5","","","",""
"11","1961-10-18","Montreal Canadiens","5","New York Rangers","2","","","",""
"12","1961-10-19","New York Rangers","4","Chicago Black Hawks","2","","","",""
"13","1961-10-19","Boston Bruins","3","Detroit Red Wings","7","","","",""
"14","1961-10-21","New York Rangers","4","Detroit Red Wings","4","","","",""
"15","1961-10-21","Boston Bruins","2","Montreal Canadiens","6","","","",""
"16","1961-10-21","Chicago Black Hawks","1","Toronto Maple Leafs","1","","","",""
"17","1961-10-22","Toronto Maple Leafs","9","Boston Bruins","1","","","",""
"18","1961-10-22","Montreal Canadiens","3","Chicago Black Hawks","2","","","",""
"19","1961-10-22","Detroit Red Wings","5","New York Rangers","4","","","",""
"20","1961-10-25","Chicago Black Hawks","1","New York Rangers","1","","","",""
"21","1961-10-26","Detroit Red Wings","0","Boston Bruins","4","","","",""
"22","1961-10-26","Chicago Black Hawks","1","Montreal Canadiens","7","","","",""
"23","1961-10-28","Detroit Red Wings","5","Montreal Canadiens","7","","","",""
"24","1961-10-28","New York Rangers","1","Toronto Maple Leafs","5","","","",""
"25","1961-10-29","Chicago Black Hawks","2","Boston Bruins","2","","","",""
"26","1961-10-29","Montreal Canadiens","6","Detroit Red Wings","3","","","",""
"27","1961-10-29","Toronto Maple Leafs","2","New York Rangers","4","","","",""
"28","1961-10-31","New York Rangers","4","Chicago Black Hawks","2","","","",""
"29","1961-11-01","Montreal Canadiens","2","Toronto Maple Leafs","3","","","",""
"30","1961-11-02","New York Rangers","0","Detroit Red Wings","1","","","",""
"31","1961-11-02","Boston Bruins","5","Montreal Canadiens","2","","","",""
"32","1961-11-04","New York Rangers","3","Montreal Canadiens","3","","","",""
"33","1961-11-04","Chicago Black Hawks","1","Toronto Maple Leafs","2","","","",""
"34","1961-11-05","Chicago Black Hawks","4","Boston Bruins","3","","","",""
"35","1961-11-05","Toronto Maple Leafs","3","Detroit Red Wings","2","","","",""
"36","1961-11-07","Toronto Maple Leafs","0","Chicago Black Hawks","6","","","",""
"37","1961-11-08","Boston Bruins","4","New York Rangers","4","","","",""
"38","1961-11-09","Boston Bruins","1","Detroit Red Wings","2","","","",""
"39","1961-11-09","Toronto Maple Leafs","2","Montreal Canadiens","5","","","",""
"40","1961-11-11","Chicago Black Hawks","1","Montreal Canadiens","2","","","",""
"41","1961-11-11","Detroit Red Wings","1","Toronto Maple Leafs","5","","","",""
"42","1961-11-12","Toronto Maple Leafs","3","Boston Bruins","4","","","",""
"43","1961-11-12","Montreal Canadiens","0","Detroit Red Wings","3","","","",""
"44","1961-11-12","Chicago Black Hawks","1","New York Rangers","4","","","",""
"45","1961-11-15","Detroit Red Wings","0","Chicago Black Hawks","2","","","",""
"46","1961-11-15","Montreal Canadiens","2","Toronto Maple Leafs","3","","","",""
"47","1961-11-16","Montreal Canadiens","2","Boston Bruins","3","","","",""
"48","1961-11-18","Montreal Canadiens","4","New York Rangers","4","","","",""
"49","1961-11-18","Detroit Red Wings","1","Toronto Maple Leafs","6","","","",""
"50","1961-11-19","Detroit Red Wings","6","Boston Bruins","2","","","",""
"51","1961-11-19","Montreal Canadiens","3","Chicago Black Hawks","3","","","",""
"52","1961-11-19","Toronto Maple Leafs","3","New York Rangers","5","","","",""
"53","1961-11-22","Detroit Red Wings","0","New York Rangers","4","","","",""
"54","1961-11-23","New York Rangers","4","Boston Bruins","3","","","",""
"55","1961-11-23","Toronto Maple Leafs","5","Chicago Black Hawks","2","","","",""
"56","1961-11-23","Detroit Red Wings","3","Montreal Canadiens","5","","","",""
"57","1961-11-25","Boston Bruins","0","Montreal Canadiens","5","","","",""
"58","1961-11-25","New York Rangers","0","Toronto Maple Leafs","6","","","",""
"59","1961-11-26","Toronto Maple Leafs","4","Boston Bruins","1","","","",""
"60","1961-11-26","Detroit Red Wings","1","Chicago Black Hawks","4","","","",""
"61","1961-11-26","Montreal Canadiens","2","New York Rangers","2","","","",""
"62","1961-11-29","Boston Bruins","4","Chicago Black Hawks","7","","","",""
"63","1961-11-29","Montreal Canadiens","2","Toronto Maple Leafs","2","","","",""
"64","1961-11-30","Boston Bruins","1","Detroit Red Wings","3","","","",""
"65","1961-11-30","Toronto Maple Leafs","1","Montreal Canadiens","1","","","",""
"66","1961-12-02","New York Rangers","1","Boston Bruins","3","","","",""
"67","1961-12-02","Detroit Red Wings","2","Montreal Canadiens","3","","","",""
"68","1961-12-02","Chicago Black Hawks","4","Toronto Maple Leafs","6","","","",""
"69","1961-12-03","Montreal Canadiens","1","Chicago Black Hawks","0","","","",""
"70","1961-12-03","Toronto Maple Leafs","1","Detroit Red Wings","3","","","",""
"71","1961-12-03","Boston Bruins","1","New York Rangers","3","","","",""
"72","1961-12-06","Chicago Black Hawks","8","New York Rangers","3","","","",""
"73","1961-12-07","Chicago Black Hawks","5","Boston Bruins","2","","","",""
"74","1961-12-07","New York Rangers","3","Detroit Red Wings","3","","","",""
"75","1961-12-07","Toronto Maple Leafs","1","Montreal Canadiens","4","","","",""
"76","1961-12-09","Chicago Black Hawks","0","Detroit Red Wings","3","","","",""
"77","1961-12-09","New York Rangers","2","Montreal Canadiens","2","","","",""
"78","1961-12-09","Boston Bruins","2","Toronto Maple Leafs","9","","","",""
"79","1961-12-10","Montreal Canadiens","4","Boston Bruins","3","","","",""
"80","1961-12-10","Detroit Red Wings","3","Chicago Black Hawks","2","","","",""
"81","1961-12-10","Toronto Maple Leafs","3","New York Rangers","2","","","",""
"82","1961-12-13","Boston Bruins","2","Chicago Black Hawks","2","","","",""
"83","1961-12-14","Boston Bruins","0","Detroit Red Wings","5","","","",""
"84","1961-12-16","Boston Bruins","4","Montreal Canadiens","8","","","",""
"85","1961-12-16","New York Rangers","2","Toronto Maple Leafs","4","","","",""
"86","1961-12-17","Toronto Maple Leafs","4","Boston Bruins","1","","","",""
"87","1961-12-17","New York Rangers","1","Chicago Black Hawks","3","","","",""
"88","1961-12-17","Montreal Canadiens","1","Detroit Red Wings","3","","","",""
"89","1961-12-20","Detroit Red Wings","1","New York Rangers","6","","","",""
"90","1961-12-21","Detroit Red Wings","2","Boston Bruins","4","","","",""
"91","1961-12-21","Chicago Black Hawks","4","Montreal Canadiens","3","","","",""
"92","1961-12-23","Detroit Red Wings","1","Montreal Canadiens","6","","","",""
"93","1961-12-23","Chicago Black Hawks","3","New York Rangers","7","","","",""
"94","1961-12-23","Boston Bruins","7","Toronto Maple Leafs","4","","","",""
"95","1961-12-25","Montreal Canadiens","5","Boston Bruins","2","","","",""
"96","1961-12-25","Toronto Maple Leafs","3","Chicago Black Hawks","3","","","",""
"97","1961-12-25","New York Rangers","6","Detroit Red Wings","4","","","",""
"98","1961-12-27","Montreal Canadiens","3","New York Rangers","0","","","",""
"99","1961-12-27","Chicago Black Hawks","0","Toronto Maple Leafs","0","","","",""
"100","1961-12-28","Chicago Black Hawks","2","Detroit Red Wings","2","","","",""
"101","1961-12-30","Chicago Black Hawks","4","Montreal Canadiens","4","","","",""
"102","1961-12-30","Detroit Red Wings","4","Toronto Maple Leafs","6","","","",""
"103","1961-12-31","Toronto Maple Leafs","2","Detroit Red Wings","4","","","",""
"104","1961-12-31","Boston Bruins","7","New York Rangers","4","","","",""
"105","1962-01-01","New York Rangers","4","Boston Bruins","2","","","",""
"106","1962-01-01","Montreal Canadiens","0","Chicago Black Hawks","2","","","",""
"107","1962-01-03","New York Rangers","1","Chicago Black Hawks","2","","","",""
"108","1962-01-03","Montreal Canadiens","1","Toronto Maple Leafs","3","","","",""
"109","1962-01-04","Chicago Black Hawks","1","Detroit Red Wings","1","","","",""
"110","1962-01-06","Boston Bruins","2","Detroit Red Wings","6","","","",""
"111","1962-01-06","New York Rangers","1","Montreal Canadiens","5","","","",""
"112","1962-01-06","Chicago Black Hawks","3","Toronto Maple Leafs","6","","","",""
"113","1962-01-07","Boston Bruins","2","Chicago Black Hawks","0","","","",""
"114","1962-01-07","Montreal Canadiens","2","Detroit Red Wings","2","","","",""
"115","1962-01-07","Toronto Maple Leafs","4","New York Rangers","3","","","",""
"116","1962-01-10","Boston Bruins","5","Toronto Maple Leafs","7","","","",""
"117","1962-01-11","Chicago Black Hawks","6","Boston Bruins","0","","","",""
"118","1962-01-11","Toronto Maple Leafs","2","Montreal Canadiens","4","","","",""
"119","1962-01-13","New York Rangers","2","Chicago Black Hawks","4","","","",""
"120","1962-01-13","Boston Bruins","3","Montreal Canadiens","5","","","",""
"121","1962-01-13","Detroit Red Wings","3","Toronto Maple Leafs","4","","","",""
"122","1962-01-14","Montreal Canadiens","4","Boston Bruins","1","","","",""
"123","1962-01-14","Toronto Maple Leafs","2","Chicago Black Hawks","2","","","",""
"124","1962-01-14","New York Rangers","1","Detroit Red Wings","2","","","",""
"125","1962-01-17","Montreal Canadiens","7","Chicago Black Hawks","3","","","",""
"126","1962-01-17","New York Rangers","2","Toronto Maple Leafs","4","","","",""
"127","1962-01-18","Detroit Red Wings","3","Boston Bruins","5","","","",""
"128","1962-01-20","Detroit Red Wings","2","Montreal Canadiens","2","","","",""
"129","1962-01-20","Boston Bruins","5","Toronto Maple Leafs","4","","","",""
"130","1962-01-21","Toronto Maple Leafs","5","Boston Bruins","1","","","",""
"131","1962-01-21","New York Rangers","1","Chicago Black Hawks","3","","","",""
"132","1962-01-21","Montreal Canadiens","5","Detroit Red Wings","3","","","",""
"133","1962-01-24","Toronto Maple Leafs","1","Chicago Black Hawks","2","","","",""
"134","1962-01-24","Detroit Red Wings","3","New York Rangers","0","","","",""
"135","1962-01-27","Chicago Black Hawks","3","Boston Bruins","5","","","",""
"136","1962-01-27","New York Rangers","1","Montreal Canadiens","5","","","",""
"137","1962-01-27","Detroit Red Wings","2","Toronto Maple Leafs","4","","","",""
"138","1962-01-28","Montreal Canadiens","5","Boston Bruins","1","","","",""
"139","1962-01-28","Toronto Maple Leafs","2","Detroit Red Wings","2","","","",""
"140","1962-01-28","Chicago Black Hawks","3","New York Rangers","0","","","",""
"141","1962-01-31","Detroit Red Wings","1","Chicago Black Hawks","4","","","",""
"142","1962-01-31","Boston Bruins","0","New York Rangers","5","","","",""
"143","1962-02-01","New York Rangers","5","Boston Bruins","3","","","",""
"144","1962-02-01","Chicago Black Hawks","7","Detroit Red Wings","4","","","",""
"145","1962-02-01","Toronto Maple Leafs","2","Montreal Canadiens","5","","","",""
"146","1962-02-03","Boston Bruins","3","Chicago Black Hawks","6","","","",""
"147","1962-02-03","Detroit Red Wings","1","Montreal Canadiens","8","","","",""
"148","1962-02-03","New York Rangers","1","Toronto Maple Leafs","4","","","",""
"149","1962-02-04","Toronto Maple Leafs","1","Chicago Black Hawks","2","","","",""
"150","1962-02-04","Boston Bruins","0","Detroit Red Wings","6","","","",""
"151","1962-02-04","Montreal Canadiens","1","New York Rangers","2","","","",""
"152","1962-02-07","Detroit Red Wings","2","New York Rangers","2","","","",""
"153","1962-02-07","Boston Bruins","2","Toronto Maple Leafs","2","","","",""
"154","1962-02-08","Chicago Black Hawks","6","Boston Bruins","2","","","",""
"155","1962-02-10","Detroit Red Wings","2","Boston Bruins","2","","","",""
"156","1962-02-10","Chicago Black Hawks","1","New York Rangers","2","","","",""
"157","1962-02-10","Montreal Canadiens","4","Toronto Maple Leafs","2","","","",""
"158","1962-02-11","New York Rangers","5","Boston Bruins","3","","","",""
"159","1962-02-11","Montreal Canadiens","4","Chicago Black Hawks","3","","","",""
"160","1962-02-11","Toronto Maple Leafs","0","Detroit Red Wings","5","","","",""
"161","1962-02-14","New York Rangers","3","Chicago Black Hawks","4","","","",""
"162","1962-02-15","New York Rangers","3","Detroit Red Wings","4","","","",""
"163","1962-02-15","Boston Bruins","1","Montreal Canadiens","9","","","",""
"164","1962-02-17","Chicago Black Hawks","2","Montreal Canadiens","6","","","",""
"165","1962-02-17","New York Rangers","3","Toronto Maple Leafs","5","","","",""
"166","1962-02-18","Boston Bruins","0","Chicago Black Hawks","6","","","",""
"167","1962-02-18","Montreal Canadiens","2","Detroit Red Wings","4","","","",""
"168","1962-02-18","Toronto Maple Leafs","2","New York Rangers","6","","","",""
"169","1962-02-21","Detroit Red Wings","4","Chicago Black Hawks","6","","","",""
"170","1962-02-21","Boston Bruins","2","New York Rangers","4","","","",""
"171","1962-02-21","Montreal Canadiens","4","Toronto Maple Leafs","2","","","",""
"172","1962-02-24","Chicago Black Hawks","6","Detroit Red Wings","1","","","",""
"173","1962-02-24","New York Rangers","2","Montreal Canadiens","4","","","",""
"174","1962-02-24","Boston Bruins","2","Toronto Maple Leafs","7","","","",""
"175","1962-02-25","Boston Bruins","0","Chicago Black Hawks","8","","","",""
"176","1962-02-25","Toronto Maple Leafs","8","Detroit Red Wings","2","","","",""
"177","1962-02-25","Montreal Canadiens","3","New York Rangers","3","","","",""
"178","1962-02-28","Boston Bruins","2","New York Rangers","2","","","",""
"179","1962-02-28","Chicago Black Hawks","2","Toronto Maple Leafs","4","","","",""
"180","1962-03-01","Chicago Black Hawks","5","Boston Bruins","4","","","",""
"181","1962-03-03","Detroit Red Wings","2","Montreal Canadiens","2","","","",""
"182","1962-03-03","New York Rangers","1","Toronto Maple Leafs","3","","","",""
"183","1962-03-04","Toronto Maple Leafs","5","Boston Bruins","1","","","",""
"184","1962-03-04","Montreal Canadiens","2","Chicago Black Hawks","5","","","",""
"185","1962-03-04","Detroit Red Wings","4","New York Rangers","2","","","",""
"186","1962-03-06","New York Rangers","5","Detroit Red Wings","4","","","",""
"187","1962-03-08","Detroit Red Wings","3","Boston Bruins","0","","","",""
"188","1962-03-08","Toronto Maple Leafs","1","Montreal Canadiens","1","","","",""
"189","1962-03-10","Boston Bruins","2","Montreal Canadiens","5","","","",""
"190","1962-03-10","Detroit Red Wings","0","Toronto Maple Leafs","2","","","",""
