"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1938-03-22","Chicago Black Hawks","4","Montreal Canadiens","6","","","",""
"2","1938-03-22","New York Americans","2","New York Rangers","1","2OT","","",""
"3","1938-03-24","Montreal Canadiens","0","Chicago Black Hawks","4","","","",""
"4","1938-03-24","New York Rangers","4","New York Americans","3","","","",""
"5","1938-03-24","Boston Bruins","0","Toronto Maple Leafs","1","2OT","","",""
"6","1938-03-26","Chicago Black Hawks","3","Montreal Canadiens","2","OT","","",""
"7","1938-03-26","Boston Bruins","1","Toronto Maple Leafs","2","","","",""
"8","1938-03-27","New York Americans","3","New York Rangers","2","4OT","","",""
"9","1938-03-29","Toronto Maple Leafs","3","Boston Bruins","2","OT","","",""
"10","1938-03-29","Chicago Black Hawks","1","New York Americans","3","","","",""
"11","1938-03-31","New York Americans","0","Chicago Black Hawks","1","2OT","","",""
"12","1938-04-03","Chicago Black Hawks","3","New York Americans","2","","","",""
"13","1938-04-05","Chicago Black Hawks","3","Toronto Maple Leafs","1","","","",""
"14","1938-04-07","Chicago Black Hawks","1","Toronto Maple Leafs","5","","","",""
"15","1938-04-10","Toronto Maple Leafs","1","Chicago Black Hawks","2","","","",""
"16","1938-04-12","Toronto Maple Leafs","1","Chicago Black Hawks","4","","","",""
