"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1975-04-08","Chicago Black Hawks","2","Boston Bruins","8","","","",""
"2","1975-04-08","Toronto Maple Leafs","2","Los Angeles Kings","3","OT","","",""
"3","1975-04-08","New York Islanders","3","New York Rangers","2","","","",""
"4","1975-04-08","St. Louis Blues","3","Pittsburgh Penguins","4","","","",""
"5","1975-04-10","Boston Bruins","3","Chicago Black Hawks","4","OT","","",""
"6","1975-04-10","New York Rangers","8","New York Islanders","3","","","",""
"7","1975-04-10","Pittsburgh Penguins","5","St. Louis Blues","3","","","",""
"8","1975-04-10","Los Angeles Kings","2","Toronto Maple Leafs","3","OT","","",""
"9","1975-04-11","Chicago Black Hawks","6","Boston Bruins","4","","","",""
"10","1975-04-11","Toronto Maple Leafs","2","Los Angeles Kings","1","","","",""
"11","1975-04-11","New York Islanders","4","New York Rangers","3","OT","","",""
"12","1975-04-13","Chicago Black Hawks","1","Buffalo Sabres","4","","","",""
"13","1975-04-13","Vancouver Canucks","2","Montreal Canadiens","6","","","",""
"14","1975-04-13","Toronto Maple Leafs","3","Philadelphia Flyers","6","","","",""
"15","1975-04-13","New York Islanders","4","Pittsburgh Penguins","5","","","",""
"16","1975-04-15","Chicago Black Hawks","1","Buffalo Sabres","3","","","",""
"17","1975-04-15","Vancouver Canucks","2","Montreal Canadiens","1","","","",""
"18","1975-04-15","Toronto Maple Leafs","0","Philadelphia Flyers","3","","","",""
"19","1975-04-15","New York Islanders","1","Pittsburgh Penguins","3","","","",""
"20","1975-04-17","Buffalo Sabres","4","Chicago Black Hawks","5","OT","","",""
"21","1975-04-17","Pittsburgh Penguins","6","New York Islanders","4","","","",""
"22","1975-04-17","Philadelphia Flyers","2","Toronto Maple Leafs","0","","","",""
"23","1975-04-17","Montreal Canadiens","4","Vancouver Canucks","1","","","",""
"24","1975-04-19","Philadelphia Flyers","4","Toronto Maple Leafs","3","OT","","",""
"25","1975-04-19","Montreal Canadiens","4","Vancouver Canucks","0","","","",""
"26","1975-04-20","Buffalo Sabres","6","Chicago Black Hawks","2","","","",""
"27","1975-04-20","Pittsburgh Penguins","1","New York Islanders","3","","","",""
"28","1975-04-22","Chicago Black Hawks","1","Buffalo Sabres","3","","","",""
"29","1975-04-22","Vancouver Canucks","4","Montreal Canadiens","5","OT","","",""
"30","1975-04-22","New York Islanders","4","Pittsburgh Penguins","2","","","",""
"31","1975-04-24","Pittsburgh Penguins","1","New York Islanders","4","","","",""
"32","1975-04-26","New York Islanders","1","Pittsburgh Penguins","0","","","",""
"33","1975-04-27","Montreal Canadiens","5","Buffalo Sabres","6","OT","","",""
"34","1975-04-29","Montreal Canadiens","2","Buffalo Sabres","4","","","",""
"35","1975-04-29","New York Islanders","0","Philadelphia Flyers","4","","","",""
"36","1975-05-01","Buffalo Sabres","0","Montreal Canadiens","7","","","",""
"37","1975-05-01","New York Islanders","4","Philadelphia Flyers","5","OT","","",""
"38","1975-05-03","Buffalo Sabres","2","Montreal Canadiens","8","","","",""
"39","1975-05-04","Philadelphia Flyers","1","New York Islanders","0","","","",""
"40","1975-05-06","Montreal Canadiens","4","Buffalo Sabres","5","OT","","",""
"41","1975-05-07","Philadelphia Flyers","3","New York Islanders","4","OT","","",""
"42","1975-05-08","Buffalo Sabres","4","Montreal Canadiens","3","","","",""
"43","1975-05-08","New York Islanders","5","Philadelphia Flyers","1","","","",""
"44","1975-05-11","Philadelphia Flyers","1","New York Islanders","2","","","",""
"45","1975-05-13","New York Islanders","1","Philadelphia Flyers","4","","","",""
"46","1975-05-15","Buffalo Sabres","1","Philadelphia Flyers","4","","","",""
"47","1975-05-18","Buffalo Sabres","1","Philadelphia Flyers","2","","","",""
"48","1975-05-20","Philadelphia Flyers","4","Buffalo Sabres","5","OT","","",""
"49","1975-05-22","Philadelphia Flyers","2","Buffalo Sabres","4","","","",""
"50","1975-05-25","Buffalo Sabres","1","Philadelphia Flyers","5","","","",""
"51","1975-05-27","Philadelphia Flyers","2","Buffalo Sabres","0","","","",""
