"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1946-10-16","Toronto Maple Leafs","3","Detroit Red Wings","3","","","",""
"2","1946-10-17","New York Rangers","0","Montreal Canadiens","3","","","",""
"3","1946-10-19","Boston Bruins","1","Montreal Canadiens","1","","","",""
"4","1946-10-19","Detroit Red Wings","3","Toronto Maple Leafs","6","","","",""
"5","1946-10-20","Chicago Black Hawks","2","Boston Bruins","2","","","",""
"6","1946-10-20","New York Rangers","3","Detroit Red Wings","1","","","",""
"7","1946-10-23","Toronto Maple Leafs","3","Boston Bruins","3","","","",""
"8","1946-10-23","Chicago Black Hawks","6","Detroit Red Wings","5","","","",""
"9","1946-10-23","New York Rangers","4","Montreal Canadiens","1","","","",""
"10","1946-10-26","New York Rangers","1","Boston Bruins","3","","","",""
"11","1946-10-26","Detroit Red Wings","2","Montreal Canadiens","7","","","",""
"12","1946-10-26","Chicago Black Hawks","1","Toronto Maple Leafs","2","","","",""
"13","1946-10-27","Montreal Canadiens","1","Detroit Red Wings","2","","","",""
"14","1946-10-30","Toronto Maple Leafs","5","Chicago Black Hawks","2","","","",""
"15","1946-10-30","Boston Bruins","3","New York Rangers","3","","","",""
"16","1946-11-01","Toronto Maple Leafs","1","Montreal Canadiens","1","","","",""
"17","1946-11-02","Detroit Red Wings","4","New York Rangers","7","","","",""
"18","1946-11-02","Boston Bruins","5","Toronto Maple Leafs","0","","","",""
"19","1946-11-03","Boston Bruins","3","Chicago Black Hawks","5","","","",""
"20","1946-11-03","New York Rangers","1","Detroit Red Wings","3","","","",""
"21","1946-11-06","New York Rangers","2","Chicago Black Hawks","6","","","",""
"22","1946-11-06","Boston Bruins","3","Detroit Red Wings","3","","","",""
"23","1946-11-07","Chicago Black Hawks","3","Montreal Canadiens","4","","","",""
"24","1946-11-09","Boston Bruins","2","Montreal Canadiens","5","","","",""
"25","1946-11-09","New York Rangers","2","Toronto Maple Leafs","4","","","",""
"26","1946-11-10","Toronto Maple Leafs","4","Chicago Black Hawks","2","","","",""
"27","1946-11-10","Montreal Canadiens","3","Detroit Red Wings","6","","","",""
"28","1946-11-10","Boston Bruins","4","New York Rangers","0","","","",""
"29","1946-11-13","Detroit Red Wings","2","Boston Bruins","5","","","",""
"30","1946-11-13","Montreal Canadiens","4","New York Rangers","4","","","",""
"31","1946-11-14","Detroit Red Wings","3","Montreal Canadiens","4","","","",""
"32","1946-11-16","Chicago Black Hawks","6","New York Rangers","2","","","",""
"33","1946-11-16","Montreal Canadiens","0","Toronto Maple Leafs","3","","","",""
"34","1946-11-17","Montreal Canadiens","4","Boston Bruins","1","","","",""
"35","1946-11-17","Chicago Black Hawks","2","Detroit Red Wings","5","","","",""
"36","1946-11-17","Toronto Maple Leafs","5","New York Rangers","4","","","",""
"37","1946-11-20","Toronto Maple Leafs","1","Boston Bruins","4","","","",""
"38","1946-11-20","Detroit Red Wings","8","Chicago Black Hawks","6","","","",""
"39","1946-11-21","New York Rangers","1","Detroit Red Wings","3","","","",""
"40","1946-11-23","New York Rangers","3","Montreal Canadiens","2","","","",""
"41","1946-11-23","Detroit Red Wings","4","Toronto Maple Leafs","2","","","",""
"42","1946-11-24","Montreal Canadiens","4","Boston Bruins","2","","","",""
"43","1946-11-24","New York Rangers","5","Chicago Black Hawks","1","","","",""
"44","1946-11-24","Toronto Maple Leafs","5","Detroit Red Wings","0","","","",""
"45","1946-11-27","New York Rangers","2","Boston Bruins","5","","","",""
"46","1946-11-27","Toronto Maple Leafs","2","Chicago Black Hawks","5","","","",""
"47","1946-11-27","Montreal Canadiens","6","Detroit Red Wings","1","","","",""
"48","1946-11-30","Detroit Red Wings","1","Montreal Canadiens","4","","","",""
"49","1946-11-30","Chicago Black Hawks","0","Toronto Maple Leafs","11","","","",""
"50","1946-12-01","Detroit Red Wings","3","Boston Bruins","3","","","",""
"51","1946-12-01","New York Rangers","2","Chicago Black Hawks","1","","","",""
"52","1946-12-03","Chicago Black Hawks","1","Montreal Canadiens","4","","","",""
"53","1946-12-04","Toronto Maple Leafs","2","Boston Bruins","2","","","",""
"54","1946-12-04","Detroit Red Wings","0","Chicago Black Hawks","0","","","",""
"55","1946-12-04","Montreal Canadiens","1","New York Rangers","2","","","",""
"56","1946-12-07","Boston Bruins","1","Toronto Maple Leafs","5","","","",""
"57","1946-12-08","New York Rangers","6","Boston Bruins","4","","","",""
"58","1946-12-08","Montreal Canadiens","5","Chicago Black Hawks","3","","","",""
"59","1946-12-08","Toronto Maple Leafs","5","Detroit Red Wings","4","","","",""
"60","1946-12-11","Chicago Black Hawks","1","Boston Bruins","4","","","",""
"61","1946-12-11","Detroit Red Wings","1","New York Rangers","1","","","",""
"62","1946-12-11","Montreal Canadiens","3","Toronto Maple Leafs","2","","","",""
"63","1946-12-14","New York Rangers","2","Toronto Maple Leafs","3","","","",""
"64","1946-12-15","Detroit Red Wings","2","Boston Bruins","3","","","",""
"65","1946-12-15","Toronto Maple Leafs","4","Chicago Black Hawks","3","","","",""
"66","1946-12-15","Montreal Canadiens","5","New York Rangers","3","","","",""
"67","1946-12-18","New York Rangers","2","Boston Bruins","3","","","",""
"68","1946-12-18","Detroit Red Wings","2","Chicago Black Hawks","5","","","",""
"69","1946-12-19","Detroit Red Wings","1","Toronto Maple Leafs","3","","","",""
"70","1946-12-21","Boston Bruins","1","Montreal Canadiens","5","","","",""
"71","1946-12-21","Chicago Black Hawks","1","Toronto Maple Leafs","3","","","",""
"72","1946-12-22","Boston Bruins","1","Chicago Black Hawks","5","","","",""
"73","1946-12-22","Montreal Canadiens","4","Detroit Red Wings","2","","","",""
"74","1946-12-22","Toronto Maple Leafs","3","New York Rangers","1","","","",""
"75","1946-12-25","Chicago Black Hawks","5","Boston Bruins","3","","","",""
"76","1946-12-25","Toronto Maple Leafs","2","Detroit Red Wings","1","","","",""
"77","1946-12-25","Montreal Canadiens","0","New York Rangers","2","","","",""
"78","1946-12-26","Toronto Maple Leafs","1","Montreal Canadiens","4","","","",""
"79","1946-12-28","New York Rangers","2","Detroit Red Wings","2","","","",""
"80","1946-12-28","Chicago Black Hawks","2","Montreal Canadiens","8","","","",""
"81","1946-12-28","Boston Bruins","3","Toronto Maple Leafs","4","","","",""
"82","1946-12-29","Boston Bruins","2","New York Rangers","2","","","",""
"83","1946-12-31","Detroit Red Wings","5","New York Rangers","4","","","",""
"84","1947-01-01","New York Rangers","1","Boston Bruins","3","","","",""
"85","1947-01-01","Montreal Canadiens","5","Chicago Black Hawks","2","","","",""
"86","1947-01-01","Detroit Red Wings","1","Toronto Maple Leafs","2","","","",""
"87","1947-01-02","Toronto Maple Leafs","5","New York Rangers","4","","","",""
"88","1947-01-04","Boston Bruins","1","Montreal Canadiens","4","","","",""
"89","1947-01-04","New York Rangers","2","Toronto Maple Leafs","0","","","",""
"90","1947-01-05","Boston Bruins","1","Detroit Red Wings","3","","","",""
