"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2021-01-13","St. Louis Blues","4","Colorado Avalanche","1","","","2:25",""
"2","2021-01-13","Vancouver Canucks","5","Edmonton Oilers","3","","","2:24",""
"3","2021-01-13","Pittsburgh Penguins","3","Philadelphia Flyers","6","","","2:21",""
"4","2021-01-13","Chicago Blackhawks","1","Tampa Bay Lightning","5","","","2:26",""
"5","2021-01-13","Montreal Canadiens","4","Toronto Maple Leafs","5","OT","","2:38",""
"6","2021-01-14","San Jose Sharks","4","Arizona Coyotes","3","SO","2,274","2:37",""
"7","2021-01-14","Washington Capitals","6","Buffalo Sabres","4","","","2:22",""
"8","2021-01-14","Carolina Hurricanes","3","Detroit Red Wings","0","","","2:25","at Little Caesars Arena (Detroit, MI)"
"9","2021-01-14","Vancouver Canucks","2","Edmonton Oilers","5","","","2:30",""
"10","2021-01-14","Minnesota Wild","4","Los Angeles Kings","3","OT","","2:37",""
"11","2021-01-14","Boston Bruins","3","New Jersey Devils","2","SO","","2:29",""
"12","2021-01-14","Columbus Blue Jackets","1","Nashville Predators","3","","","2:29",""
"13","2021-01-14","New York Islanders","4","New York Rangers","0","","","2:30",""
"14","2021-01-14","Anaheim Ducks","2","Vegas Golden Knights","5","","","2:24",""
"15","2021-01-14","Calgary Flames","3","Winnipeg Jets","4","OT","","2:26",""
"16","2021-01-15","Washington Capitals","","Buffalo Sabres","","","","",""
"17","2021-01-15","St. Louis Blues","","Colorado Avalanche","","","","",""
"18","2021-01-15","Toronto Maple Leafs","","Ottawa Senators","","","","",""
"19","2021-01-15","Pittsburgh Penguins","","Philadelphia Flyers","","","","",""
"20","2021-01-15","Chicago Blackhawks","","Tampa Bay Lightning","","","","",""
"21","2021-01-16","San Jose Sharks","","Arizona Coyotes","","","","",""
"22","2021-01-16","Vancouver Canucks","","Calgary Flames","","","","",""
"23","2021-01-16","Carolina Hurricanes","","Detroit Red Wings","","","","","at Little Caesars Arena (Detroit, MI)"
"24","2021-01-16","Montreal Canadiens","","Edmonton Oilers","","","","",""
"25","2021-01-16","Minnesota Wild","","Los Angeles Kings","","","","",""
"26","2021-01-16","Boston Bruins","","New Jersey Devils","","","","",""
"27","2021-01-16","Columbus Blue Jackets","","Nashville Predators","","","","",""
"28","2021-01-16","New York Islanders","","New York Rangers","","","","",""
"29","2021-01-16","Toronto Maple Leafs","","Ottawa Senators","","","","",""
"30","2021-01-16","Anaheim Ducks","","Vegas Golden Knights","","","","",""
"31","2021-01-17","Chicago Blackhawks","","Florida Panthers","","","","",""
"32","2021-01-17","Washington Capitals","","Pittsburgh Penguins","","","","",""
"33","2021-01-18","Minnesota Wild","","Anaheim Ducks","","","","",""
"34","2021-01-18","Vancouver Canucks","","Calgary Flames","","","","",""
"35","2021-01-18","Columbus Blue Jackets","","Detroit Red Wings","","","","","at Little Caesars Arena (Detroit, MI)"
"36","2021-01-18","Montreal Canadiens","","Edmonton Oilers","","","","",""
"37","2021-01-18","Carolina Hurricanes","","Nashville Predators","","","","",""
"38","2021-01-18","Boston Bruins","","New York Islanders","","","","","at Nassau Veterans Memorial Coliseum (Uniondale, NY)"
"39","2021-01-18","Buffalo Sabres","","Philadelphia Flyers","","","","",""
"40","2021-01-18","San Jose Sharks","","St. Louis Blues","","","","",""
"41","2021-01-18","Winnipeg Jets","","Toronto Maple Leafs","","","","",""
"42","2021-01-18","Arizona Coyotes","","Vegas Golden Knights","","","","",""
"43","2021-01-19","Columbus Blue Jackets","","Detroit Red Wings","","","","","at Little Caesars Arena (Detroit, MI)"
"44","2021-01-19","Chicago Blackhawks","","Florida Panthers","","","","",""
"45","2021-01-19","Colorado Avalanche","","Los Angeles Kings","","","","",""
"46","2021-01-19","Carolina Hurricanes","","Nashville Predators","","","","",""
"47","2021-01-19","New Jersey Devils","","New York Rangers","","","","",""
"48","2021-01-19","Winnipeg Jets","","Ottawa Senators","","","","",""
"49","2021-01-19","Buffalo Sabres","","Philadelphia Flyers","","","","",""
"50","2021-01-19","Washington Capitals","","Pittsburgh Penguins","","","","",""
"51","2021-01-19","Dallas Stars","","Tampa Bay Lightning","","","","",""
"52","2021-01-20","Minnesota Wild","","Anaheim Ducks","","","","",""
"53","2021-01-20","San Jose Sharks","","St. Louis Blues","","","","",""
"54","2021-01-20","Edmonton Oilers","","Toronto Maple Leafs","","","","",""
"55","2021-01-20","Montreal Canadiens","","Vancouver Canucks","","","","",""
"56","2021-01-20","Arizona Coyotes","","Vegas Golden Knights","","","","",""
"57","2021-01-21","Philadelphia Flyers","","Boston Bruins","","","","",""
"58","2021-01-21","Florida Panthers","","Carolina Hurricanes","","","","",""
"59","2021-01-21","Tampa Bay Lightning","","Columbus Blue Jackets","","","","",""
"60","2021-01-21","Colorado Avalanche","","Los Angeles Kings","","","","",""
"61","2021-01-21","New Jersey Devils","","New York Islanders","","","","","at Nassau Veterans Memorial Coliseum (Uniondale, NY)"
"62","2021-01-21","Winnipeg Jets","","Ottawa Senators","","","","",""
"63","2021-01-21","Montreal Canadiens","","Vancouver Canucks","","","","",""
"64","2021-01-22","Colorado Avalanche","","Anaheim Ducks","","","","",""
"65","2021-01-22","Vegas Golden Knights","","Arizona Coyotes","","","","",""
"66","2021-01-22","Detroit Red Wings","","Chicago Blackhawks","","","","",""
"67","2021-01-22","Nashville Predators","","Dallas Stars","","","","",""
"68","2021-01-22","San Jose Sharks","","Minnesota Wild","","","","",""
"69","2021-01-22","New York Rangers","","Pittsburgh Penguins","","","","",""
"70","2021-01-22","Edmonton Oilers","","Toronto Maple Leafs","","","","",""
"71","2021-01-22","Buffalo Sabres","","Washington Capitals","","","","",""
"72","2021-01-23","Philadelphia Flyers","","Boston Bruins","","","","",""
"73","2021-01-23","Florida Panthers","","Carolina Hurricanes","","","","",""
"74","2021-01-23","Tampa Bay Lightning","","Columbus Blue Jackets","","","","",""
"75","2021-01-23","Los Angeles Kings","","St. Louis Blues","","","","",""
"76","2021-01-23","Montreal Canadiens","","Vancouver Canucks","","","","",""
"77","2021-01-23","Ottawa Senators","","Winnipeg Jets","","","","",""
"78","2021-01-24","Colorado Avalanche","","Anaheim Ducks","","","","",""
"79","2021-01-24","Vegas Golden Knights","","Arizona Coyotes","","","","",""
"80","2021-01-24","Toronto Maple Leafs","","Calgary Flames","","","","",""
"81","2021-01-24","Detroit Red Wings","","Chicago Blackhawks","","","","",""
"82","2021-01-24","Nashville Predators","","Dallas Stars","","","","",""
"83","2021-01-24","San Jose Sharks","","Minnesota Wild","","","","",""
"84","2021-01-24","New York Islanders","","New Jersey Devils","","","","",""
"85","2021-01-24","New York Rangers","","Pittsburgh Penguins","","","","",""
"86","2021-01-24","Los Angeles Kings","","St. Louis Blues","","","","",""
"87","2021-01-24","Edmonton Oilers","","Winnipeg Jets","","","","",""
"88","2021-01-24","Buffalo Sabres","","Washington Capitals","","","","",""
"89","2021-01-25","Ottawa Senators","","Vancouver Canucks","","","","",""
