"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1942-10-31","Boston Bruins","2","Montreal Canadiens","3","","","",""
"2","1942-10-31","New York Rangers","2","Toronto Maple Leafs","7","","","",""
"3","1942-11-01","Boston Bruins","0","Detroit Red Wings","3","","","",""
"4","1942-11-05","Boston Bruins","1","Chicago Black Hawks","5","","","",""
"5","1942-11-05","New York Rangers","5","Detroit Red Wings","12","","","",""
"6","1942-11-07","Montreal Canadiens","3","New York Rangers","4","OT","","",""
"7","1942-11-07","Detroit Red Wings","2","Toronto Maple Leafs","5","","","",""
"8","1942-11-08","Chicago Black Hawks","3","Detroit Red Wings","3","OT","","",""
"9","1942-11-08","New York Rangers","4","Montreal Canadiens","10","","","",""
"10","1942-11-10","Chicago Black Hawks","3","New York Rangers","5","OT","","",""
"11","1942-11-12","Chicago Black Hawks","2","Montreal Canadiens","5","","","",""
"12","1942-11-12","Boston Bruins","1","Toronto Maple Leafs","3","","","",""
"13","1942-11-14","New York Rangers","3","Boston Bruins","5","","","",""
"14","1942-11-14","Detroit Red Wings","5","Montreal Canadiens","2","","","",""
"15","1942-11-14","Chicago Black Hawks","4","Toronto Maple Leafs","3","","","",""
"16","1942-11-15","Toronto Maple Leafs","4","Chicago Black Hawks","5","","","",""
"17","1942-11-15","Montreal Canadiens","1","Detroit Red Wings","3","","","",""
"18","1942-11-15","Boston Bruins","4","New York Rangers","3","","","",""
"19","1942-11-17","Montreal Canadiens","1","Boston Bruins","4","","","",""
"20","1942-11-19","Detroit Red Wings","2","Chicago Black Hawks","6","","","",""
"21","1942-11-19","Toronto Maple Leafs","7","New York Rangers","3","","","",""
"22","1942-11-21","Montreal Canadiens","0","Toronto Maple Leafs","8","","","",""
"23","1942-11-22","Toronto Maple Leafs","6","Boston Bruins","7","","","",""
"24","1942-11-22","Montreal Canadiens","3","Chicago Black Hawks","3","","","",""
"25","1942-11-22","Detroit Red Wings","4","New York Rangers","4","","","",""
"26","1942-11-24","Chicago Black Hawks","5","Boston Bruins","5","","","",""
"27","1942-11-24","Detroit Red Wings","4","Montreal Canadiens","4","","","",""
"28","1942-11-26","New York Rangers","2","Chicago Black Hawks","1","","","",""
"29","1942-11-26","Toronto Maple Leafs","1","Detroit Red Wings","2","","","",""
"30","1942-11-28","Boston Bruins","6","Montreal Canadiens","2","","","",""
"31","1942-11-28","New York Rangers","6","Toronto Maple Leafs","8","","","",""
"32","1942-11-29","Toronto Maple Leafs","2","Chicago Black Hawks","3","","","",""
"33","1942-11-29","Montreal Canadiens","3","Detroit Red Wings","7","","","",""
"34","1942-11-29","Boston Bruins","2","New York Rangers","3","","","",""
"35","1942-12-01","Detroit Red Wings","2","Boston Bruins","5","","","",""
"36","1942-12-03","New York Rangers","1","Chicago Black Hawks","3","","","",""
"37","1942-12-03","Toronto Maple Leafs","2","Montreal Canadiens","4","","","",""
"38","1942-12-05","Montreal Canadiens","1","Toronto Maple Leafs","9","","","",""
"39","1942-12-06","New York Rangers","4","Boston Bruins","5","","","",""
"40","1942-12-06","Montreal Canadiens","2","Chicago Black Hawks","5","","","",""
"41","1942-12-06","Toronto Maple Leafs","2","Detroit Red Wings","2","","","",""
"42","1942-12-08","Chicago Black Hawks","6","Boston Bruins","9","","","",""
"43","1942-12-10","Chicago Black Hawks","2","Toronto Maple Leafs","7","","","",""
"44","1942-12-12","Montreal Canadiens","2","Boston Bruins","3","","","",""
"45","1942-12-12","Detroit Red Wings","4","Toronto Maple Leafs","5","","","",""
"46","1942-12-13","Toronto Maple Leafs","2","Chicago Black Hawks","5","","","",""
"47","1942-12-13","Boston Bruins","1","Detroit Red Wings","1","","","",""
"48","1942-12-13","Montreal Canadiens","7","New York Rangers","3","","","",""
"49","1942-12-15","Detroit Red Wings","2","Boston Bruins","3","","","",""
"50","1942-12-17","Detroit Red Wings","3","Chicago Black Hawks","1","","","",""
"51","1942-12-17","Toronto Maple Leafs","8","Montreal Canadiens","1","","","",""
"52","1942-12-17","Boston Bruins","7","New York Rangers","3","","","",""
"53","1942-12-19","New York Rangers","1","Montreal Canadiens","1","","","",""
"54","1942-12-19","Boston Bruins","3","Toronto Maple Leafs","3","","","",""
"55","1942-12-20","Boston Bruins","4","Chicago Black Hawks","4","","","",""
"56","1942-12-20","Montreal Canadiens","3","Detroit Red Wings","4","","","",""
"57","1942-12-20","Toronto Maple Leafs","8","New York Rangers","2","","","",""
"58","1942-12-22","Toronto Maple Leafs","4","Boston Bruins","4","","","",""
"59","1942-12-25","New York Rangers","3","Detroit Red Wings","1","","","",""
"60","1942-12-25","Chicago Black Hawks","2","Montreal Canadiens","2","","","",""
"61","1942-12-26","Boston Bruins","2","Toronto Maple Leafs","7","","","",""
"62","1942-12-27","Chicago Black Hawks","1","Detroit Red Wings","6","","","",""
"63","1942-12-27","Boston Bruins","2","Montreal Canadiens","4","","","",""
"64","1942-12-27","Toronto Maple Leafs","1","New York Rangers","3","","","",""
"65","1942-12-29","New York Rangers","5","Boston Bruins","3","","","",""
"66","1942-12-31","Detroit Red Wings","2","New York Rangers","0","","","",""
