"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2020-08-01","Winnipeg Jets","1","Calgary Flames","4","","","2:26","at Rogers Place (Edmonton, AB)"
"2","2020-08-01","Chicago Blackhawks","6","Edmonton Oilers","4","","","2:27",""
"3","2020-08-01","Florida Panthers","1","New York Islanders","2","","","2:25","at Scotiabank Arena (Toronto, ON)"
"4","2020-08-01","Montreal Canadiens","3","Pittsburgh Penguins","2","OT","","3:01","at Scotiabank Arena (Toronto, ON)"
"5","2020-08-01","New York Rangers","2","Carolina Hurricanes","3","","","2:28","at Scotiabank Arena (Toronto, ON)"
"6","2020-08-02","Philadelphia Flyers","4","Boston Bruins","1","","","2:37","at Scotiabank Arena (Toronto, ON)"
"7","2020-08-02","St. Louis Blues","1","Colorado Avalanche","2","","","2:28","at Rogers Place (Edmonton, AB)"
"8","2020-08-02","Arizona Coyotes","4","Nashville Predators","3","","","2:27","at Rogers Place (Edmonton, AB)"
"9","2020-08-02","Columbus Blue Jackets","2","Toronto Maple Leafs","0","","","2:25",""
"10","2020-08-02","Minnesota Wild","3","Vancouver Canucks","0","","","2:32","at Rogers Place (Edmonton, AB)"
"11","2020-08-03","Chicago Blackhawks","3","Edmonton Oilers","6","","","2:25",""
"12","2020-08-03","Dallas Stars","3","Vegas Golden Knights","5","","","2:23","at Rogers Place (Edmonton, AB)"
"13","2020-08-03","Washington Capitals","2","Tampa Bay Lightning","3","2OT","","2:42","at Scotiabank Arena (Toronto, ON)"
"14","2020-08-03","Montreal Canadiens","1","Pittsburgh Penguins","3","","","2:36","at Scotiabank Arena (Toronto, ON)"
"15","2020-08-03","Winnipeg Jets","3","Calgary Flames","2","","","2:26","at Rogers Place (Edmonton, AB)"
"16","2020-08-03","New York Rangers","1","Carolina Hurricanes","4","","","2:28","at Scotiabank Arena (Toronto, ON)"
"17","2020-08-04","Arizona Coyotes","","Nashville Predators","","","","","at Rogers Place (Edmonton, AB)"
"18","2020-08-04","Florida Panthers","","New York Islanders","","","","","at Scotiabank Arena (Toronto, ON)"
"19","2020-08-04","Carolina Hurricanes","","New York Rangers","","","","","at Scotiabank Arena (Toronto, ON)"
"20","2020-08-04","Columbus Blue Jackets","","Toronto Maple Leafs","","","","",""
"21","2020-08-04","Minnesota Wild","","Vancouver Canucks","","","","","at Rogers Place (Edmonton, AB)"
"22","2020-08-04","Calgary Flames","","Winnipeg Jets","","","","","at Rogers Place (Edmonton, AB)"
"23","2020-08-05","New York Islanders","","Florida Panthers","","","","","at Scotiabank Arena (Toronto, ON)"
"24","2020-08-05","Pittsburgh Penguins","","Montreal Canadiens","","","","","at Scotiabank Arena (Toronto, ON)"
"25","2020-08-05","Colorado Avalanche","","Dallas Stars","","","","","at Rogers Place (Edmonton, AB)"
"26","2020-08-05","Tampa Bay Lightning","","Boston Bruins","","","","","at Scotiabank Arena (Toronto, ON)"
"27","2020-08-05","Nashville Predators","","Arizona Coyotes","","","","","at Rogers Place (Edmonton, AB)"
"28","2020-08-05","Edmonton Oilers","","Chicago Blackhawks","","","","","at Rogers Place (Edmonton, AB)"
"29","2020-08-06","Toronto Maple Leafs","","Columbus Blue Jackets","","","","","at Scotiabank Arena (Toronto, ON)"
"30","2020-08-06","Vancouver Canucks","","Minnesota Wild","","","","","at Rogers Place (Edmonton, AB)"
"31","2020-08-06","Carolina Hurricanes","","New York Rangers","","","","","at Scotiabank Arena (Toronto, ON)"
"32","2020-08-06","Washington Capitals","","Philadelphia Flyers","","","","","at Scotiabank Arena (Toronto, ON)"
"33","2020-08-06","Vegas Golden Knights","","St. Louis Blues","","","","","at Rogers Place (Edmonton, AB)"
"34","2020-08-06","Calgary Flames","","Winnipeg Jets","","","","","at Rogers Place (Edmonton, AB)"
"35","2020-08-07","Vancouver Canucks","","Minnesota Wild","","","","","at Rogers Place (Edmonton, AB)"
"36","2020-08-07","Pittsburgh Penguins","","Montreal Canadiens","","","","","at Scotiabank Arena (Toronto, ON)"
"37","2020-08-07","New York Islanders","","Florida Panthers","","","","","at Scotiabank Arena (Toronto, ON)"
"38","2020-08-07","Edmonton Oilers","","Chicago Blackhawks","","","","","at Rogers Place (Edmonton, AB)"
"39","2020-08-07","Toronto Maple Leafs","","Columbus Blue Jackets","","","","","at Scotiabank Arena (Toronto, ON)"
"40","2020-08-07","Nashville Predators","","Arizona Coyotes","","","","","at Rogers Place (Edmonton, AB)"
"41","2020-08-08","New York Rangers","","Carolina Hurricanes","","","","","at Scotiabank Arena (Toronto, ON)"
"42","2020-08-08","Winnipeg Jets","","Calgary Flames","","","","","at Rogers Place (Edmonton, AB)"
"43","2020-08-08","Vegas Golden Knights","","Colorado Avalanche","","","","","at Rogers Place (Edmonton, AB)"
"44","2020-08-08","Chicago Blackhawks","","Edmonton Oilers","","","","",""
"45","2020-08-08","Montreal Canadiens","","Pittsburgh Penguins","","","","","at Scotiabank Arena (Toronto, ON)"
"46","2020-08-08","Philadelphia Flyers","","Tampa Bay Lightning","","","","","at Scotiabank Arena (Toronto, ON)"
"47","2020-08-09","Arizona Coyotes","","Nashville Predators","","","","","at Rogers Place (Edmonton, AB)"
"48","2020-08-09","Florida Panthers","","New York Islanders","","","","","at Scotiabank Arena (Toronto, ON)"
"49","2020-08-09","Dallas Stars","","St. Louis Blues","","","","","at Rogers Place (Edmonton, AB)"
"50","2020-08-09","Columbus Blue Jackets","","Toronto Maple Leafs","","","","",""
"51","2020-08-09","Minnesota Wild","","Vancouver Canucks","","","","","at Rogers Place (Edmonton, AB)"
"52","2020-08-09","Boston Bruins","","Washington Capitals","","","","","at Scotiabank Arena (Toronto, ON)"
