"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1978-04-11","Detroit Red Wings","5","Atlanta Flames","3","","","",""
"2","1978-04-11","New York Rangers","1","Buffalo Sabres","4","","","",""
"3","1978-04-11","Colorado Rockies","2","Philadelphia Flyers","3","OT","","",""
"4","1978-04-11","Los Angeles Kings","3","Toronto Maple Leafs","7","","","",""
"5","1978-04-13","Philadelphia Flyers","3","Colorado Rockies","1","","","",""
"6","1978-04-13","Atlanta Flames","2","Detroit Red Wings","3","","","",""
"7","1978-04-13","Toronto Maple Leafs","4","Los Angeles Kings","0","","","",""
"8","1978-04-13","Buffalo Sabres","3","New York Rangers","4","OT","","",""
"9","1978-04-15","New York Rangers","1","Buffalo Sabres","4","","","",""
"10","1978-04-17","Chicago Black Hawks","1","Boston Bruins","6","","","",""
"11","1978-04-17","Detroit Red Wings","2","Montreal Canadiens","6","","","",""
"12","1978-04-17","Toronto Maple Leafs","1","New York Islanders","4","","","",""
"13","1978-04-17","Buffalo Sabres","1","Philadelphia Flyers","4","","","",""
"14","1978-04-19","Chicago Black Hawks","3","Boston Bruins","4","OT","","",""
"15","1978-04-19","Detroit Red Wings","4","Montreal Canadiens","2","","","",""
"16","1978-04-19","Toronto Maple Leafs","2","New York Islanders","3","OT","","",""
"17","1978-04-19","Buffalo Sabres","2","Philadelphia Flyers","3","","","",""
"18","1978-04-21","Boston Bruins","4","Chicago Black Hawks","3","OT","","",""
"19","1978-04-21","Montreal Canadiens","4","Detroit Red Wings","2","","","",""
"20","1978-04-21","New York Islanders","0","Toronto Maple Leafs","2","","","",""
"21","1978-04-22","Philadelphia Flyers","1","Buffalo Sabres","4","","","",""
"22","1978-04-23","Philadelphia Flyers","4","Buffalo Sabres","2","","","",""
"23","1978-04-23","Boston Bruins","5","Chicago Black Hawks","2","","","",""
"24","1978-04-23","Montreal Canadiens","8","Detroit Red Wings","0","","","",""
"25","1978-04-23","New York Islanders","1","Toronto Maple Leafs","3","","","",""
"26","1978-04-25","Detroit Red Wings","2","Montreal Canadiens","4","","","",""
"27","1978-04-25","Toronto Maple Leafs","1","New York Islanders","2","OT","","",""
"28","1978-04-25","Buffalo Sabres","2","Philadelphia Flyers","4","","","",""
"29","1978-04-27","New York Islanders","2","Toronto Maple Leafs","5","","","",""
"30","1978-04-29","Toronto Maple Leafs","2","New York Islanders","1","OT","","",""
"31","1978-05-02","Philadelphia Flyers","2","Boston Bruins","3","OT","","",""
"32","1978-05-02","Toronto Maple Leafs","3","Montreal Canadiens","5","","","",""
"33","1978-05-04","Philadelphia Flyers","5","Boston Bruins","7","","","",""
"34","1978-05-04","Toronto Maple Leafs","2","Montreal Canadiens","3","","","",""
"35","1978-05-06","Montreal Canadiens","6","Toronto Maple Leafs","1","","","",""
"36","1978-05-07","Boston Bruins","1","Philadelphia Flyers","3","","","",""
"37","1978-05-09","Boston Bruins","4","Philadelphia Flyers","2","","","",""
"38","1978-05-09","Montreal Canadiens","2","Toronto Maple Leafs","0","","","",""
"39","1978-05-11","Philadelphia Flyers","3","Boston Bruins","6","","","",""
"40","1978-05-13","Boston Bruins","1","Montreal Canadiens","4","","","",""
"41","1978-05-16","Boston Bruins","2","Montreal Canadiens","3","OT","","",""
"42","1978-05-18","Montreal Canadiens","0","Boston Bruins","4","","","",""
"43","1978-05-21","Montreal Canadiens","3","Boston Bruins","4","OT","","",""
"44","1978-05-23","Boston Bruins","1","Montreal Canadiens","4","","","",""
"45","1978-05-25","Montreal Canadiens","4","Boston Bruins","1","","","",""
