"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1960-10-05","Detroit Red Wings","1","Chicago Black Hawks","1","","","",""
"2","1960-10-05","Boston Bruins","1","New York Rangers","2","","","",""
"3","1960-10-06","Chicago Black Hawks","4","Detroit Red Wings","2","","","",""
"4","1960-10-06","Toronto Maple Leafs","0","Montreal Canadiens","5","","","",""
"5","1960-10-08","Boston Bruins","1","Montreal Canadiens","1","","","",""
"6","1960-10-08","New York Rangers","5","Toronto Maple Leafs","2","","","",""
"7","1960-10-09","Montreal Canadiens","4","Boston Bruins","4","","","",""
"8","1960-10-09","New York Rangers","2","Chicago Black Hawks","3","","","",""
"9","1960-10-09","Toronto Maple Leafs","3","Detroit Red Wings","3","","","",""
"10","1960-10-11","Detroit Red Wings","3","Boston Bruins","3","","","",""
"11","1960-10-11","Montreal Canadiens","3","New York Rangers","2","","","",""
"12","1960-10-12","Toronto Maple Leafs","0","Chicago Black Hawks","3","","","",""
"13","1960-10-13","Detroit Red Wings","3","Montreal Canadiens","4","","","",""
"14","1960-10-15","New York Rangers","4","Montreal Canadiens","8","","","",""
"15","1960-10-15","Boston Bruins","1","Toronto Maple Leafs","1","","","",""
"16","1960-10-16","Boston Bruins","2","Chicago Black Hawks","5","","","",""
"17","1960-10-16","Montreal Canadiens","4","Detroit Red Wings","6","","","",""
"18","1960-10-16","Toronto Maple Leafs","7","New York Rangers","2","","","",""
"19","1960-10-19","Chicago Black Hawks","0","New York Rangers","2","","","",""
"20","1960-10-19","Montreal Canadiens","1","Toronto Maple Leafs","3","","","",""
"21","1960-10-20","Boston Bruins","0","Detroit Red Wings","5","","","",""
"22","1960-10-22","Chicago Black Hawks","4","Montreal Canadiens","2","","","",""
"23","1960-10-22","Detroit Red Wings","2","Toronto Maple Leafs","1","","","",""
"24","1960-10-23","Chicago Black Hawks","2","Boston Bruins","2","","","",""
"25","1960-10-23","Toronto Maple Leafs","3","Detroit Red Wings","1","","","",""
"26","1960-10-23","Montreal Canadiens","4","New York Rangers","2","","","",""
"27","1960-10-25","Montreal Canadiens","4","Chicago Black Hawks","8","","","",""
"28","1960-10-26","Detroit Red Wings","3","New York Rangers","4","","","",""
"29","1960-10-27","New York Rangers","4","Boston Bruins","6","","","",""
"30","1960-10-29","Boston Bruins","2","Montreal Canadiens","3","","","",""
"31","1960-10-29","Chicago Black Hawks","4","Toronto Maple Leafs","8","","","",""
"32","1960-10-30","Montreal Canadiens","3","Boston Bruins","5","","","",""
"33","1960-10-30","Chicago Black Hawks","1","Detroit Red Wings","2","","","",""
"34","1960-10-30","Toronto Maple Leafs","3","New York Rangers","1","","","",""
"35","1960-11-02","New York Rangers","4","Chicago Black Hawks","4","","","",""
"36","1960-11-02","Boston Bruins","2","Toronto Maple Leafs","2","","","",""
