"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1975-04-08","Phoenix Roadrunners","2","Quebec Nordiques","5","","","",""
"2","1975-04-09","Minnesota Fighting Saints","6","New England Whalers","5","","","",""
"3","1975-04-09","Toronto Toros","3","San Diego Mariners","5","","","",""
"4","1975-04-10","Cleveland Crusaders","5","Houston Aeros","8","","","",""
"5","1975-04-10","Phoenix Roadrunners","2","Quebec Nordiques","6","","","",""
"6","1975-04-11","Minnesota Fighting Saints","2","New England Whalers","3","OT","","",""
"7","1975-04-12","Cleveland Crusaders","3","Houston Aeros","5","","","",""
"8","1975-04-12","Quebec Nordiques","3","Phoenix Roadrunners","0","","","",""
"9","1975-04-12","Toronto Toros","6","San Diego Mariners","7","","","",""
"10","1975-04-13","Houston Aeros","1","Cleveland Crusaders","3","","","",""
"11","1975-04-13","New England Whalers","3","Minnesota Fighting Saints","8","","","",""
"12","1975-04-14","San Diego Mariners","2","Toronto Toros","5","","","",""
"13","1975-04-15","Houston Aeros","7","Cleveland Crusaders","2","","","",""
"14","1975-04-15","New England Whalers","5","Minnesota Fighting Saints","2","","","",""
"15","1975-04-15","Quebec Nordiques","5","Phoenix Roadrunners","6","OT","","",""
"16","1975-04-16","San Diego Mariners","5","Toronto Toros","6","","","",""
"17","1975-04-17","Cleveland Crusaders","1","Houston Aeros","3","","","",""
"18","1975-04-17","Phoenix Roadrunners","2","Quebec Nordiques","4","","","",""
"19","1975-04-18","Minnesota Fighting Saints","4","New England Whalers","0","","","",""
"20","1975-04-18","Toronto Toros","3","San Diego Mariners","4","","","",""
"21","1975-04-19","New England Whalers","1","Minnesota Fighting Saints","6","","","",""
"22","1975-04-21","San Diego Mariners","6","Toronto Toros","4","","","",""
"23","1975-04-22","Minnesota Fighting Saints","1","Quebec Nordiques","4","","","",""
"24","1975-04-23","Minnesota Fighting Saints","5","Quebec Nordiques","3","","","",""
"25","1975-04-25","Houston Aeros","4","San Diego Mariners","0","","","",""
"26","1975-04-26","Quebec Nordiques","6","Minnesota Fighting Saints","1","","","",""
"27","1975-04-27","Quebec Nordiques","2","Minnesota Fighting Saints","4","","","",""
"28","1975-04-27","Houston Aeros","2","San Diego Mariners","1","","","",""
"29","1975-04-29","San Diego Mariners","0","Houston Aeros","6","","","",""
"30","1975-04-29","Minnesota Fighting Saints","3","Quebec Nordiques","6","","","",""
"31","1975-05-01","San Diego Mariners","4","Houston Aeros","5","OT","","",""
"32","1975-05-01","Quebec Nordiques","4","Minnesota Fighting Saints","2","","","",""
"33","1975-05-03","Quebec Nordiques","2","Houston Aeros","6","","","",""
"34","1975-05-06","Quebec Nordiques","3","Houston Aeros","5","","","",""
"35","1975-05-10","Houston Aeros","2","Quebec Nordiques","0","","","",""
"36","1975-05-12","Houston Aeros","7","Quebec Nordiques","2","","","",""
